Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year,Url
176480,88,Bjelovarsko-bilogorska,Bjelovar,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,A,1.,2025.,https://www.njuskalo.hr/nekretnine/stan-prodaja-bjelovar-88.24m2-oglas-43280960
235000,65,Bjelovarsko-bilogorska,Bjelovar,Centar,2-sobni,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/solin-dvoetazni-stan-65-m2-izvrsnoj-lokaciji-oglas-42013086
83000,80,Bjelovarsko-bilogorska,Garešnica,Garešnica,2-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,D,4.,1980.,https://www.njuskalo.hr/nekretnine/stan-centru-garesnica-72.00-m2-oglas-41768021
69999,67,Bjelovarsko-bilogorska,Bjelovar,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,A+,1.,Unknown,https://www.njuskalo.hr/nekretnine/prodajem-stan-centru-bjelovar-67.00-m2-oglas-42218303
300000,235,Bjelovarsko-bilogorska,Daruvar,Daruvar,2-sobni,U kuæi,Dvoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-prvi-red-mora-sukosan-53m-215.000-oglas-42817863
88000,45,Bjelovarsko-bilogorska,Bjelovar,Centar,1-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,2015.,https://www.njuskalo.hr/nekretnine/bjelovar-centar-stan-namjesten-45.44-m2-oglas-42926697
89000,51,Bjelovarsko-bilogorska,Bjelovar,Centar,1-sobni,U stambenoj zgradi,Jednoetažni,Za renoviranje,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-centar-stan-51.90-m2-adaptaciju-oglas-41090686
190000,143,Bjelovarsko-bilogorska,Bjelovar,Sjever,2-sobni,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-prizemlju-143.89-m2-oglas-37395643
116750,75,Bjelovarsko-bilogorska,Bjelovar,Sjever,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-kat-75.32-m2-oglas-37395642
99000,67,Bjelovarsko-bilogorska,Bjelovar,Sjever,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-kat-67.45-m2-oglas-37395641
189720,94,Bjelovarsko-bilogorska,Bjelovar,Naselje kralja Zvonimira,3-sobni,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-cetverosobni-stan-oglas-34563642
163508,83,Bjelovarsko-bilogorska,Bjelovar,Centar,3-sobni,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-centar-dvoetazni-stan-84-m2-izgradnja-2024-godini-oglas-42216839
139289,71,Bjelovarsko-bilogorska,Bjelovar,Centar,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-centar-stan-69-m2-izgradnja-2024-g-oglas-42216838
84000,45,Bjelovarsko-bilogorska,Bjelovar,Centar,1-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,2015.,https://www.njuskalo.hr/nekretnine/bjelovar-stan-45.35-m2-oglas-41986095
122300,72,Bjelovarsko-bilogorska,Bjelovar,Sjever,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-izgradnji-72.04-m2-oglas-41578211
144400,87,Bjelovarsko-bilogorska,Bjelovar,Sjever,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-izgradnji-87.23-m2-oglas-41578210
145000,135,Bjelovarsko-bilogorska,Bjelovar,Sjever,3-sobni,U kuæi,Dvoetažni,Unknown,Unknown,Prizemlje,1982.,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-kuci-135.73-m2-oglas-39058050
170000,89,Bjelovarsko-bilogorska,Bjelovar,Sjever,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/trosobni-dvoetazni-stan-potkrovlju-oglas-38350887
100,86,Bjelovarsko-bilogorska,Bjelovar,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1925.,https://www.njuskalo.hr/nekretnine/bjelovar-centar-novouredeni-stan-71.14-m2-oglas-35995990
180000,180,Bjelovarsko-bilogorska,Bjelovar,Centar,4-sobni,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,1905.,https://www.njuskalo.hr/nekretnine/stan-secesijskoj-kuci-vrtom-centru-bjelovara-oglas-40063240
91500,61,Bjelovarsko-bilogorska,Daruvar,Daruvar,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,C,3.,1890.,https://www.njuskalo.hr/nekretnine/trosobni-stan-centru-oglas-41169992
63000,41,Bjelovarsko-bilogorska,Daruvar,Daruvar,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,C,3.,1890.,https://www.njuskalo.hr/nekretnine/dvosobni-stan-centru-oglas-41169991
250000,208,Bjelovarsko-bilogorska,Bjelovar,Centar,4-sobni,U stambenoj zgradi,Dvoetažni,Unknown,A+,1.,2009.,https://www.njuskalo.hr/nekretnine/luksuzni-penthouse-3s-db-209m-garaza-rostilj-bjelovar-oglas-39120141
149500,115,Bjelovarsko-bilogorska,Grubišno Polje,Grubišno Polje,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,A+,1.,1985.,https://www.njuskalo.hr/nekretnine/stan-grubisno-polje-115.00-m2-oglas-39490063
139000,78,Bjelovarsko-bilogorska,Bjelovar,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/prodajem-stan-oglas-41305013
152000,75,Bjelovarsko-bilogorska,Bjelovar,Centar,2-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/prodaja-stana-novogradnja-borik-bjelovar-oglas-43157598
20000,57,Bjelovarsko-bilogorska,Velika Trnovitica,Velika Trnovitica,2-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,2.,1982.,https://www.njuskalo.hr/nekretnine/stan-oglas-42823695
200000,121,Bjelovarsko-bilogorska,Bjelovar,Vinkoviæevo Naselje,4-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,C,Prizemlje,1986.,https://www.njuskalo.hr/nekretnine/ekskluzivno-cetverosobni-stan-oglas-29609294
115000,120,Bjelovarsko-bilogorska,Bjelovar,Centar,4-sobni,U stambenoj zgradi,Dvoetažni,Djelomièno namješten,Unknown,1.,1966.,https://www.njuskalo.hr/nekretnine/cetverosobni-stan-centru-oglas-38669249
99000,66,Bjelovarsko-bilogorska,Daruvar,Daruvar,3-sobni,U stambenoj zgradi,Višeetažni,Potpuno namješten,Unknown,1.,1966.,https://www.njuskalo.hr/nekretnine/daruvar-centar-namjesten-trosobni-stan-oglas-43157271
