Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors
1600,69,Brodsko-posavska,Slavonski Brod,Šestinac,3-sobni,U stambenoj zgradi,Jednoetažni
44500,28,Brodsko-posavska,Slavonski Brod,Kolonija,2-sobni,U stambenoj zgradi,Jednoetažni
130000,76,Brodsko-posavska,Slavonski Brod,Livada,3-sobni,U stambenoj zgradi,Jednoetažni
93000,60,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,2-sobni,U stambenoj zgradi,Jednoetažni
125000,120,Brodsko-posavska,Slavonski Brod,Centar,4-sobni,U stambenoj zgradi,Jednoetažni
196329,93,Brodsko-posavska,Slavonski Brod,Naselje Huge Badaliæa,4-sobni,U stambenoj zgradi,Jednoetažni
140000,77,Brodsko-posavska,Slavonski Brod,Livada,3-sobni,U stambenoj zgradi,Jednoetažni
85000,62,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,2-sobni,U stambenoj zgradi,Jednoetažni
147000,94,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
102125,53,Brodsko-posavska,Slavonski Brod,Naselje Zrinski-Frankopana,1-sobni,U stambenoj zgradi,Jednoetažni
189486,86,Brodsko-posavska,Slavonski Brod,Centar,3-sobni,U stambenoj zgradi,Jednoetažni
282200,112,Brodsko-posavska,Slavonski Brod,Centar,3-sobni,U stambenoj zgradi,Jednoetažni
110000,72,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,2-sobni,U stambenoj zgradi,Jednoetažni
141702,76,Brodsko-posavska,Slavonski Brod,Kolonija,3-sobni,U stambenoj zgradi,Jednoetažni
115604,62,Brodsko-posavska,Slavonski Brod,Kolonija,3-sobni,U stambenoj zgradi,Jednoetažni
99000,80,Brodsko-posavska,Slavonski Brod,Centar,3-sobni,U stambenoj zgradi,Jednoetažni
128117,67,Brodsko-posavska,Slavonski Brod,Naselje Zrinski-Frankopana,3-sobni,U stambenoj zgradi,Jednoetažni
135660,71,Brodsko-posavska,Slavonski Brod,Naselje Zrinski-Frankopana,3-sobni,U stambenoj zgradi,Jednoetažni
109915,57,Brodsko-posavska,Slavonski Brod,Naselje Zrinski-Frankopana,3-sobni,U stambenoj zgradi,Jednoetažni
91875,48,Brodsko-posavska,Slavonski Brod,Naselje Zrinski-Frankopana,2-sobni,U stambenoj zgradi,Jednoetažni
116445,55,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
130416,59,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
144650,65,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
120120,54,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
143000,65,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
160000,129,Brodsko-posavska,Slavonski Brod,Centar,3-sobni,U stambenoj zgradi,Jednoetažni
126280,57,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
255200,102,Brodsko-posavska,Slavonski Brod,Centar,3-sobni,U stambenoj zgradi,Jednoetažni
261800,119,Brodsko-posavska,Slavonski Brod,Centar,4-sobni,U stambenoj zgradi,Jednoetažni
125000,55,Brodsko-posavska,Slavonski Brod,Centar,2-sobni,U stambenoj zgradi,Jednoetažni
97000,62,Brodsko-posavska,Nova Gradiška,Nova Gradiška,2-sobni,U stambenoj zgradi,Jednoetažni
87000,47,Brodsko-posavska,Slavonski Brod,Naselje Matije Ivaniæa,2-sobni,U stambenoj zgradi,Jednoetažni
57000,30,Brodsko-posavska,Slavonski Brod,Naselje Matije Ivaniæa,1-sobni,U stambenoj zgradi,Jednoetažni
87000,47,Brodsko-posavska,Slavonski Brod,Naselje Matije Ivaniæa,2-sobni,U stambenoj zgradi,Jednoetažni
64500,34,Brodsko-posavska,Slavonski Brod,Naselje Matije Ivaniæa,1-sobni,U stambenoj zgradi,Jednoetažni
87000,47,Brodsko-posavska,Slavonski Brod,Naselje Matije Ivaniæa,2-sobni,U stambenoj zgradi,Jednoetažni
70000,37,Brodsko-posavska,Slavonski Brod,Naselje Matije Ivaniæa,2-sobni,U stambenoj zgradi,Jednoetažni
64500,34,Brodsko-posavska,Slavonski Brod,Naselje Matije Ivaniæa,1-sobni,U stambenoj zgradi,Jednoetažni
