Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
29.05.2024.,4471,235000,43.5422549,16.4919632,65,Bjelovarsko-bilogorska,Bjelovar,Centar,2,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/solin-dvoetazni-stan-65-m2-izvrsnoj-lokaciji-oglas-42013086
29.05.2024.,671,360000,44.119371,15.2313648,101,Bjelovarsko-bilogorska,Bjelovar,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2017.,https://www.njuskalo.hr/nekretnine/zadar-moderan-penthouse-pogledom-more-novogradnja-oglas-43520565
29.05.2024.,5254,76000,45.5759,16.941841,80,Bjelovarsko-bilogorska,Garešnica,Garešnica,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,D,4.,1980.,https://www.njuskalo.hr/nekretnine/stan-centru-garesnica-72.00-m2-oglas-41768021
29.05.2024.,3992,57000,45.904023221276,16.852415800095,41,Bjelovarsko-bilogorska,Bjelovar,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-bjelovar-42.00-m2-oglas-43538146
29.05.2024.,5847,160000,45.911319332987,16.854650304299,98,Bjelovarsko-bilogorska,Bjelovar,Sjever,3,U stambenoj zgradi,Jednoetažni,Unknown,D,2.,1997.,https://www.njuskalo.hr/nekretnine/sjever-novouredeni-stan-oglas-40117448
29.05.2024.,13892,115000,45.8939324,16.8409466,120,Bjelovarsko-bilogorska,Bjelovar,Centar,4,U stambenoj zgradi,Dvoetažni,Djelomično namješten,Unknown,1.,1966.,https://www.njuskalo.hr/nekretnine/cetverosobni-stan-centru-oglas-38669249
29.05.2024.,2329,200000,45.8925995,16.8343311,121,Bjelovarsko-bilogorska,Bjelovar,Vinkovićevo Naselje,4,U stambenoj zgradi,Jednoetažni,Potpuno namješten,C,Prizemlje,1986.,https://www.njuskalo.hr/nekretnine/ekskluzivno-cetverosobni-stan-oglas-29609294
27.05.2024.,2596,75000,45.593246348423,17.224656680946,49,Bjelovarsko-bilogorska,Daruvar,Daruvar,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,C,4.,1986.,https://www.njuskalo.hr/nekretnine/stan-centar-daruvara-50-m2-oglas-42969828
25.05.2024.,1785,2200,45.90232,16.856792,94,Bjelovarsko-bilogorska,Bjelovar,Centar,5,U stambenoj zgradi,Višeetažni,Unknown,Unknown,Unknown,2024.,https://www.njuskalo.hr/nekretnine/bjelovar-centar-viseetazni-3s-5s-stanovi-urbanoj-vili-exclusiv-oglas-43558335
25.05.2024.,700,2200,45.90231918625,16.856792176253,94,Bjelovarsko-bilogorska,Bjelovar,Centar,3,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Unknown,2024.,https://www.njuskalo.hr/nekretnine/bjelovar-centar-troetazni-5-sobni-stan-urbanoj-vili-94-m2-oglas-43627448
