Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
02.05.2024.,3783,65000,45.25990536264485,17.38236665725708,73,Brodsko-posavska,Nova Gradiška,Nova Gradiška,2,U kući,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-gradiska-oglas-30671409
11.05.2024.,317,35000,45.158459768798,18.03514018882,25,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,Unknown,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-25.00-m2-oglas-43707958
10.05.2024.,455,165000,45.256477628391,17.425884731043,68,Brodsko-posavska,Rešetari,Rešetari,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/resetari-2s-db-68.56m2-165.000-oglas-43108877
09.05.2024.,343,88150,45.25613681893583,17.38263487815857,55,Brodsko-posavska,Nova Gradiška,Nova Gradiška,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,D,Visoko prizemlje,1976.,https://www.njuskalo.hr/nekretnine/stan-gradiska-55.97-m2-visoko-prizemlje-oglas-43670698
09.05.2024.,1533,128117,45.181447885951,18.025872883738,67,Brodsko-posavska,Slavonski Brod,Naselje Zrinski-Frankopana,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/nas-z-frankopan-3sobni-stan-64-m2-pm-kat-oglas-42277506
09.05.2024.,319,185454,45.144674351914,17.981245982615,103,Brodsko-posavska,Slavonski Brod,Jelas,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/ive-vojnovica-3sobni-stan-103-m2-vrtom-2pm-oglas-43545323
09.05.2024.,1504,103950,45.157335052747,18.013575430686,49,Brodsko-posavska,Slavonski Brod,Centar,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/j-j-strossmayera-2sobni-stan-49-m2-iii-kat-lift-novogradnja-oglas-43281442
09.05.2024.,1971,124124,45.157500656691,18.013215455179,56,Brodsko-posavska,Slavonski Brod,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/j-j-strossmayera-luksuzna-novogradnja-dvosoban-stan-52.60-m2-oglas-41803303
09.05.2024.,23928,99000,45.156898113904,18.015408728159,80,Brodsko-posavska,Slavonski Brod,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/m-gupca-trosobni-stan-80-m2-kat-centr-plin-parking-oglas-37196683
09.05.2024.,299,140137,45.166575596726,17.992001331058,73,Brodsko-posavska,Slavonski Brod,Budainka,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/budainka-novogradnja-3sobni-stan-73-m2-kat-oglas-43458708
09.05.2024.,687,85571,45.166438900475,17.991931286299,43,Brodsko-posavska,Slavonski Brod,Budainka,Unknown,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/budainka-novogradnja-garsonijera-prizemlju-povrsine-43-m2-oglas-43437741
09.05.2024.,648,116600,45.169740145138,18.027400451409,53,Brodsko-posavska,Slavonski Brod,Livada,2,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/najava-projekta-green-meadow-dvosobni-stan-53-m2-1-2-kat-novogradn-oglas-43264917
09.05.2024.,326,134200,45.168500382893,18.029609800691,61,Brodsko-posavska,Slavonski Brod,Livada,2,U stambenoj zgradi,Jednoetažni,Unknown,A,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/najava-projekta-green-meadow-dvosobni-stan-61-m2-vrt-32-m2-novogra-oglas-43264916
09.05.2024.,615,193200,45.167006630541,18.028450225744,92,Brodsko-posavska,Slavonski Brod,Livada,4,U stambenoj zgradi,Jednoetažni,Unknown,A,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/najava-projekta-green-meadow-4-sobni-stan-92-m2-prizemlje-vrtom-1-oglas-43256091
09.05.2024.,6017,116445,45.15734656906,18.013492975124,55,Brodsko-posavska,Slavonski Brod,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/m-gupca-najava-projekta-novogradnja-stanovi-raznih-povrsina-55-1-oglas-41911527
09.05.2024.,737,143000,45.15704126532,18.015544980768,65,Brodsko-posavska,Slavonski Brod,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/j-j-strossmayera-luksuzna-novogradnja-dvosoban-stan-60-m2-oglas-41803278
09.05.2024.,2730,91875,45.179427125348,18.026491056397,48,Brodsko-posavska,Slavonski Brod,Naselje Zrinski-Frankopana,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/nas-z-frankopan-dvosobni-stan-45-m2-kat-oglas-41986222
