Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
10.05.2024.,3010,5500,42.658869660681,18.090285763156,90,Dubrovačko-neretvanska,Dubrovnik,Gruž,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-luksuzni-kompleks-stanova-pogledom-gruski-akvatorij-oglas-42605619
06.05.2024.,3572,291000,42.691759591489,18.047445868908,57,Dubrovačko-neretvanska,Dubrovnik - Okolica,Zaton,Unknown,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/studio-apartman-novogradnji-pogledom-more-blizini-dubrovnika-oglas-41134373
01.05.2024.,1325,200000,42.694109110812,18.046215785684,60,Dubrovačko-neretvanska,Dubrovnik - Okolica,Zaton,2,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,Visoko prizemlje,2024.,https://www.njuskalo.hr/nekretnine/prodaje-se-stan-potkrovlju-novogradnje-zaton-oglas-43085540
30.04.2024.,7757,219750,42.651026987398,18.084964954551,50,Dubrovačko-neretvanska,Dubrovnik,Lapad,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,4.,1972.,https://www.njuskalo.hr/nekretnine/stan-lapadu-povrsine-50-m2-dvije-sobe-blizina-svih-sadrzaja-oglas-43100242
26.04.2024.,752,235494,42.516086389269,18.369231908683,87,Dubrovačko-neretvanska,Konavle,Gruda,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-87.22-m2-novogradnja-oglas-43154081
26.04.2024.,386,298863,42.516086389269,18.369231908683,110,Dubrovačko-neretvanska,Konavle,Gruda,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-110.69-m2-novogradnja-oglas-43154068
12.05.2024.,23681,1,42.64969663486,18.096898173706,79,Dubrovačko-neretvanska,Dubrovnik,Gornji Kono,3,U stambenoj zgradi,Jednoetažni,Unknown,C,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-dubrovnik-79.00-m2-oglas-29272571
12.05.2024.,1364,170000,42.95591824756,16.72700041274,100,Dubrovačko-neretvanska,Vela Luka,Vela Luka,3,U stambenoj zgradi,Višeetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-vela-luka-80.00-m2-oglas-42504842
12.05.2024.,1994,124000,42.945415686397,17.133878708755,40,Dubrovačko-neretvanska,Korčula,Korčula,1,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,2.,2012.,https://www.njuskalo.hr/nekretnine/stan-korcula-40.19-m2-oglas-42454390
12.05.2024.,48,180000,42.949213,17.14603,60,Dubrovačko-neretvanska,Korčula,Korčula,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/stan-atraktivnoj-lokaciji-korcula-60m-balkonom-oglas-43712606
12.05.2024.,6941,490000,42.642794299988,18.108108752564,60,Dubrovačko-neretvanska,Dubrovnik,Stari grad,3,U stambenoj zgradi,Dvoetažni,Potpuno namješten,B,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-gradu-prvi-red-zidina-oglas-37399217
12.05.2024.,1523,390000,42.642903194894075,18.109376522057282,50,Dubrovačko-neretvanska,Dubrovnik,Stari grad,1,U kući,Jednoetažni,Potpuno namješten,A,1.,1700.,https://www.njuskalo.hr/nekretnine/jednosobni-stan-dubrovnik-stari-grad-1-kat-50.00-m2-oglas-42592928
11.05.2024.,3389,415000,42.983633306767,17.087399698269,103,Dubrovačko-neretvanska,Orebić,Viganj,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,C,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-viganj-vrhunski-opremljen-stan-103.00-m2-3-npp-oglas-35595128
11.05.2024.,183,315000,42.945661496561,17.169408954992,105,Dubrovačko-neretvanska,Korčula,Korčula,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2020.,https://www.njuskalo.hr/nekretnine/korcula-apartman-vrtom-odlicnoj-lokaciji-oglas-43571286
11.05.2024.,10512,138000,43.03591242115,17.639744035177,93,Dubrovačko-neretvanska,Metković,Metković,3,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-metkovic-93.00-m2-oglas-38394113
11.05.2024.,20,2700,42.513950173683,18.372928050248,111,Dubrovačko-neretvanska,Konavle,Gruda,4,U stambenoj zgradi,Jednoetažni,Unknown,A+,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/stan-prodaja-konavle-gruda-111-m2-4-soban-oglas-43706517
