Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
01.04.2024.,357,300000,44.824435963562,13.93299536856,120,Istarska,Medulin,Medulin,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/medulin-istra-1-kat-120m2-pogled-more-oglas-39689204
01.04.2024.,331,300000,44.822097711847,13.936522172946,120,Istarska,Medulin,Medulin,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2023.,https://www.njuskalo.hr/nekretnine/medulin-istra-2-kat-120m2-pogled-more-oglas-39689203
01.04.2024.,436,267000,44.824556723528,13.935661557203,75,Istarska,Medulin,Medulin,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/medulin-70.81m2-200m-mora-exkluziva-oglas-39495670
01.04.2024.,634,1400000,44.830604080316,13.89708356833,500,Istarska,Medulin,Pomer,5,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2022.,https://www.njuskalo.hr/nekretnine/pomer-prodaje-se-zgrada-7-stanova-oglas-38857362
01.04.2024.,438,229000,44.823746118196,13.934979553038,62,Istarska,Medulin,Medulin,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/medulin-istra-1-kat-62.63m2-oglas-38857357
01.04.2024.,429,259000,44.823160755981,13.935986027127,62,Istarska,Medulin,Medulin,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/medulin-istra-2-kat-62.63m2-oglas-38857356
01.04.2024.,418,293000,44.823632855254,13.935171399179,81,Istarska,Medulin,Medulin,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/medulin-vrhunska-lokacija-200-m-plaze-prizemlje-vrt-oglas-38849968
01.04.2024.,860,479500,44.817200079617,13.870487075858,138,Istarska,Medulin,Banjole,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2022.,https://www.njuskalo.hr/nekretnine/banjole-penthouse-pogledom-more-oglas-37938010
01.04.2024.,692,400000,44.817984804476,13.867468641146,75,Istarska,Medulin,Banjole,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2022.,https://www.njuskalo.hr/nekretnine/banjole-prizemni-stan-bazenom-garazom-oglas-37938008
01.04.2024.,694,420000,44.818253504998,13.871469788567,75,Istarska,Medulin,Banjole,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2022.,https://www.njuskalo.hr/nekretnine/banjole-stan-bazenom-vrtom-garazom-oglas-37938009
01.04.2024.,929,316900,44.823387083624,13.935446348046,75,Istarska,Medulin,Medulin,2,U stambenoj zgradi,Jednoetažni,Unknown,A+,2.,2022.,https://www.njuskalo.hr/nekretnine/medulin-2-kat-50.78m2-50m-mora-pogled-more-oglas-36609474
01.04.2024.,1113,315000,44.823966835981,13.935780953326,105,Istarska,Medulin,Medulin,4,U kući,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/medulin-2-apartmana-prekrasan-pogled-terasa-vrt-blizini-mora-oglas-36544502
01.04.2024.,1242,305000,44.818907021187,13.871466255739,118,Istarska,Medulin,Banjole,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/banjole-namjesteni-penthouse-krovnom-terasom-pogled-more-bazen-oglas-36763786
01.04.2024.,132,300000,44.837291964947,13.848116469006,63,Istarska,Medulin,Pješčana Uvala,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2019.,https://www.njuskalo.hr/nekretnine/pjescana-uvala-pogled-more-1-kat-garaza-oglas-43309305
30.03.2024.,126,207000,44.799940700854,13.908429622035,70,Istarska,Medulin,Premantura,3,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/premantura-dvosoban-stan-konoba-oglas-43091017
30.03.2024.,119,290000,44.802805572752,13.908823331932,103,Istarska,Medulin,Premantura,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/premantura-stan-1-katu-blizini-mora-oglas-43057950
30.03.2024.,93,176000,44.801911175827,13.910131979619,53,Istarska,Medulin,Premantura,3,U kući,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/premantura-dvosoban-stan-blizini-mora-oglas-43057945
30.03.2024.,95,206000,44.802370794352,13.91214349833,68,Istarska,Medulin,Premantura,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-pogledom-more-premantura-oglas-43057946
30.03.2024.,222,141000,44.801817033038,13.908571569144,44,Istarska,Medulin,Premantura,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/premantura-stan-500-m-mora-oglas-43057942
30.03.2024.,86,320000,44.835212738128,13.867218454424,98,Istarska,Medulin,Vinkuran,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/video-vinkuran-luksuzan-stan-bazenom-prvi-red-mora-oglas-43297157
29.03.2024.,150,362000,44.823573423732,13.933163413594,127,Istarska,Medulin,Medulin,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/medulin-stan-top-lokacija-50-metara-rive-oglas-42577471
29.03.2024.,140,491000,44.8232208792,13.936268722258,127,Istarska,Medulin,Medulin,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/istra-medulin-top-lokacija-svega-30-metara-rive-stan-oglas-42569571
28.03.2024.,103,300000,44.835565221108,13.852452954823,63,Istarska,Medulin,Pješčana Uvala,2,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2019.,https://www.njuskalo.hr/nekretnine/stan-pjescana-uvala-novogradnja-pogled-more-ekskluziva-oglas-43281592
27.03.2024.,1140,240000,44.83136747407314,13.896530211115266,91,Istarska,Medulin,Pomer,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/pomer-91.00-m2-novogradnja-oglas-41245629
26.03.2024.,291,176000,44.825367811285,13.933675298261,42,Istarska,Medulin,Medulin,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/moderni-stan-pogledom-more-5-minuta-plaze-oglas-41141270
26.03.2024.,336,250000,44.838636941953,13.85027959144,75,Istarska,Medulin,Medulin,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/vrhunski-stan-puli-2ss-db-prizemlje-100m-mora-parking-vrt-oglas-41237603
26.03.2024.,231,206185,44.824117464961,13.936214661618,55,Istarska,Medulin,Medulin,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/top-moderni-stan-pogledom-more-5-minuta-plaze-oglas-41141271
26.03.2024.,349,154000,44.824811471034,13.933041980797,42,Istarska,Medulin,Medulin,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/moderan-apartman-odlicnoj-lokaciji-5-minuta-plaze-oglas-41141269
26.03.2024.,219,235640,44.823638596332,13.934818826526,55,Istarska,Medulin,Medulin,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/top-moderni-stan-pogledom-more-5-minuta-plaze-oglas-41134608
26.03.2024.,207,338205,44.822536300387,13.937770851945,96,Istarska,Medulin,Medulin,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/raskosni-penthouse-pogledom-more-5-minuta-plaze-1-kat-oglas-41128053
26.03.2024.,192,399900,44.824668448557,13.935888129922,96,Istarska,Medulin,Medulin,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/raskosni-penthouse-pogledom-more-5-minuta-plaze-2-kat-oglas-41128052
26.03.2024.,231,285000,44.817650986719,13.869372489539,84,Istarska,Medulin,Banjole,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/banjole-prizemni-stan-s2-vrtom-parkingom-oglas-41043827
26.03.2024.,253,217500,44.819252494243,13.869404832781,62,Istarska,Medulin,Banjole,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/banjole-stan-s3-1-kat-2s-db-novogradnja-oglas-41043826
26.03.2024.,250,225500,44.817197321442,13.869399845671,64,Istarska,Medulin,Banjole,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/banjole-stan-s4-1-kat-2s-db-novogradnja-oglas-41043825
26.03.2024.,218,228000,44.81786242995,13.868697148961,59,Istarska,Medulin,Banjole,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/banjole-stan-s5-2-kat-2s-db-novogradnja-oglas-41043824
26.03.2024.,222,236500,44.818422596292,13.87057339356,62,Istarska,Medulin,Banjole,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/banjole-stan-s6-2-kat-2s-db-novogradnja-oglas-41043823
26.03.2024.,855,149500,44.837119208623,13.848979775055,125,Istarska,Medulin,Pješčana Uvala,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/stan-125-m2-parking-150-m-mora-oglas-41024355
26.03.2024.,246,235000,44.817979197112,13.867397823906,69,Istarska,Medulin,Banjole,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/banjole-prizemni-stan-s1-vrtom-parkingom-oglas-41043828
26.03.2024.,304,238500,44.829548760883,13.897553426166,85,Istarska,Medulin,Pomer,3,U stambenoj zgradi,Jednoetažni,Unknown,A,2.,2023.,https://www.njuskalo.hr/nekretnine/super-cijena-stan-pomeru-mirna-lokacija-oglas-41153955
26.03.2024.,255,420000,44.817013301139,13.868956742377,120,Istarska,Medulin,Banjole,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2000.,https://www.njuskalo.hr/nekretnine/banjole-stan-bazenom-pogled-more-120-m2-oglas-40990658
26.03.2024.,251,240268,44.82427461234,13.933445115014,74,Istarska,Medulin,Medulin,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/medulin-top-stan-izgradnji-prizemlje-vrtom-74.28-m2-oglas-40731696
26.03.2024.,269,230268,44.823751181794,13.935184567951,74,Istarska,Medulin,Medulin,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/medulin-top-stan-izgradnji-mirnoj-lokaciji-1-katu-oglas-40731694
