Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
30.05.2024.,141,74999,45.481412,15.548904,34,Karlovačka,Karlovac,Grabrik,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,8.,Unknown,https://www.njuskalo.hr/nekretnine/prodaja-stan-grabrik-maksimilijana-vrhovca-1s-34m2-oglas-43878516
29.05.2024.,2428,120000,45.491980486351,15.555030673645,101,Karlovačka,Karlovac,Zvijezda,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1905.,https://www.njuskalo.hr/nekretnine/prodaja-stana-karlovac-102-m2-adaptaciju-oglas-43082298
29.05.2024.,1510,300000,45.479045483075,15.541816541964,137,Karlovačka,Karlovac,Švarča,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-novogradnji-oglas-43013300
29.05.2024.,934,290000,45.47810524165,15.543280272702,127,Karlovačka,Karlovac,Švarča,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-novogradnji-oglas-43013299
29.05.2024.,114,129999,45.491053,15.542737,70,Karlovačka,Karlovac,Novi Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,1982.,https://www.njuskalo.hr/nekretnine/prodaja-stan-centar-ivana-mestrovica-3s-70m2-oglas-43871345
29.05.2024.,101,53998,45.450053,15.507439,65,Karlovačka,Duga Resa,Duga Resa,2,U kući,Jednoetažni,Unknown,Unknown,2.,1980.,https://www.njuskalo.hr/nekretnine/prodaja-stan-duga-resa-tusmer-2s-65m2-oglas-43871315
29.05.2024.,73,47899,45.457001,15.492526,25,Karlovačka,Duga Resa,Duga Resa,Unknown,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1964.,https://www.njuskalo.hr/nekretnine/prodaja-stan-duga-resa-bana-josipa-jelacica-26-garsonjera-25m2-oglas-43871313
29.05.2024.,59,117000,45.497671565155,15.549825050322,90,Karlovačka,Karlovac,Banija,3,U kući,Jednoetažni,Unknown,Unknown,1.,1903.,https://www.njuskalo.hr/nekretnine/stan-prodaja-karlovac-banija-90-m2-3-soban-oglas-43871082
29.05.2024.,140,59000,45.498047376004,15.548980068422,46,Karlovačka,Karlovac,Banija,3,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,1903.,https://www.njuskalo.hr/nekretnine/stan-prodaja-karlovac-banija-46-m2-2-soban-oglas-43871081
28.05.2024.,122,79000,45.26306472559,15.209916678356,51,Karlovačka,Ogulin,Ogulin,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/karlovacka-zupanija-ogulin-prodaje-se-stan-51.27-m2-oglas-43854520
