Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
12.05.2024.,947,282400,46.153667196545,16.843828821998,112,Koprivničko-križevačka,Koprivnica,Lenišće,4,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/stan-s12-lenisce-112.96-m2-novogradnja-oglas-41192087
11.05.2024.,3819,165000,46.166774451806,16.825308934599,86,Koprivničko-križevačka,Koprivnica,Banovac,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-koprivnica-86.25-m2-j-j-strossmayera-oglas-40945605
11.05.2024.,1687,295200,46.158775,16.839642,123,Koprivničko-križevačka,Koprivnica,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,B,Unknown,2008.,https://www.njuskalo.hr/nekretnine/komforan-stan-zgradi-liftom-garaznim-mjestom-podrumu-oglas-41555271
11.05.2024.,439,121000,46.1626,16.832235,45,Koprivničko-križevačka,Koprivnica,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,C,1.,2008.,https://www.njuskalo.hr/nekretnine/strogi-centar-kat-45-m2-zgrada-2008-g-oglas-43625685
11.05.2024.,7478,154990,46.17798,16.816061,58,Koprivničko-križevačka,Koprivnica,Taraščice,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,B,1.,Unknown,https://www.njuskalo.hr/nekretnine/3-soban-stan-lift-garaza-parkirno-mjesto-oglas-41047320
11.05.2024.,3771,109990,46.18294,16.826826,41,Koprivničko-križevačka,Koprivnica,Taraščice,2,U stambenoj zgradi,Jednoetažni,Unknown,B,2.,Unknown,https://www.njuskalo.hr/nekretnine/izvrsno-lociran-centar-2-sobni-stan-41-m2-odmah-useljiv-oglas-42520588
11.05.2024.,1325,94000,46.146045139851,16.837100082224,33,Koprivničko-križevačka,Koprivnica,Lenišće,1,U stambenoj zgradi,Jednoetažni,Unknown,A+,Unknown,2012.,https://www.njuskalo.hr/nekretnine/koprivnica-garsonijera-33.41m2-oglas-43109073
11.05.2024.,115,158025,46.176470264886,16.871718652411,73,Koprivničko-križevačka,Koprivnica - Okolica,Herešin,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/fantastican-stan-novogradnja-oglas-43706113
11.05.2024.,81,109800,46.176856033475,16.87464451886,51,Koprivničko-križevačka,Koprivnica - Okolica,Herešin,3,U stambenoj zgradi,Jednoetažni,Unknown,A+,1.,Unknown,https://www.njuskalo.hr/nekretnine/predivan-stan-novogradnja-oglas-43706112
11.05.2024.,20,226926,46.178336282599,16.874505057337,108,Koprivničko-križevačka,Koprivnica - Okolica,Herešin,3,U stambenoj zgradi,Dvoetažni,Unknown,A+,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-pred-zavrsetkom-oglas-43706110
11.05.2024.,12,223692,46.176602284687,16.875081261478,106,Koprivničko-križevačka,Koprivnica - Okolica,Herešin,3,U stambenoj zgradi,Dvoetažni,Unknown,A+,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-kakav-sigurno-zelite-oglas-43706022
11.05.2024.,11,221214,46.175858662609,16.873662444317,105,Koprivničko-križevačka,Koprivnica - Okolica,Herešin,3,U stambenoj zgradi,Dvoetažni,Unknown,A+,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-novogradnji-oglas-43706020
10.05.2024.,1438,162750,46.16454,16.835781,70,Koprivničko-križevačka,Koprivnica,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,B,2.,2024.,https://www.njuskalo.hr/nekretnine/stan-3-sobni-podno-grijanje-oglas-42129090
10.05.2024.,1172,159750,46.16329,16.828672,69,Koprivničko-križevačka,Koprivnica,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,B,2.,2024.,https://www.njuskalo.hr/nekretnine/3-sobni-stan-69.44-m2-podno-grijanje-oglas-42092889
10.05.2024.,1007,217565,46.164696,16.832079,93,Koprivničko-križevačka,Koprivnica,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,B,1.,2024.,https://www.njuskalo.hr/nekretnine/93.54-m2-4-sobni-stan-kat-novogradnja-oglas-42092297
10.05.2024.,175,179990,46.162808612427,16.826608744922,79,Koprivničko-križevačka,Koprivnica,Centar,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,3.,1986.,https://www.njuskalo.hr/nekretnine/stan-prodaja-koprivnica-centar-79.16m2-3s-3-kat-oglas-43592791
10.05.2024.,115,120000,46.1439655389697,16.83754570048649,40,Koprivničko-križevačka,Koprivnica,Lenišće,1,U stambenoj zgradi,Jednoetažni,Potpuno namješten,B,Prizemlje,2017.,https://www.njuskalo.hr/nekretnine/stan-koprivnica-40.00-m2-novogradnja-oglas-43703147
10.05.2024.,1764,2100,46.024469054002,16.539910914005,65,Koprivničko-križevačka,Križevci,Križevci,3,U stambenoj zgradi,Jednoetažni,Unknown,A+,Unknown,2024.,https://www.njuskalo.hr/nekretnine/stan-krizevci-90.61-m2-novogradnja-oglas-43183068
10.05.2024.,2657,108000,46.166072950949484,16.82019026936834,57,Koprivničko-križevačka,Koprivnica,Taraščice,2,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-57.21-m2-koprivnica-oglas-42254620
10.05.2024.,15537,249000,46.1605,16.829077,90,Koprivničko-križevačka,Koprivnica,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,B,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-koprivnica-72.00-m2-novogradnja-oglas-32531115
10.05.2024.,1026,120000,46.02495,16.54533,101,Koprivničko-križevačka,Križevci,Križevci,3,U stambenoj zgradi,Jednoetažni,Za renoviranje,C,1.,Unknown,https://www.njuskalo.hr/nekretnine/atraktivni-stan-krizevcima-101.91-m2-cijena-120.000-oglas-43443976
10.05.2024.,2609,157000,46.15483126045095,16.82100064333193,63,Koprivničko-križevačka,Koprivnica,Dubovec,3,U stambenoj zgradi,Jednoetažni,Djelomično namješten,B,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-koprivnica-60.00-m2-novogradnja-oglas-40979098
10.05.2024.,3031,190000,46.1592731394943,16.82396785084805,85,Koprivničko-križevačka,Koprivnica,Centar,3,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivne-urbane-vile-2.150-eur-m2-oglas-41101668
10.05.2024.,1256,195000,46.159866,16.82388,75,Koprivničko-križevačka,Koprivnica,Centar,4,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/cetverosoban-stan-dvoristem-vrlo-atraktivnoj-lokaciji-oglas-42345305
10.05.2024.,1541,155000,46.159866,16.82388,62,Koprivničko-križevačka,Koprivnica,Centar,3,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/trosoban-stan-vrlo-atraktivnoj-lokaciji-novogradnja-oglas-42344588
10.05.2024.,2066,275200,46.14772,16.820232,128,Koprivničko-križevačka,Koprivnica,Pri Magdaleni,5,U kući,Dvoetažni,Djelomično namješten,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivne-urbane-vile-2.150-eur-m2-oglas-41101493
10.05.2024.,3097,262400,46.1556,16.82621,122,Koprivničko-križevačka,Koprivnica,Pri Magdaleni,5,U kući,Dvoetažni,Djelomično namješten,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivne-urbane-vile-2.150-eur-m2-oglas-41089524
10.05.2024.,1357,160000,46.159866,16.82388,61,Koprivničko-križevačka,Koprivnica,Centar,3,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/trosoban-stan-dvoristem-vrlo-atraktivnoj-lokaciji-novogradnja-oglas-42344722
09.05.2024.,2469,114999,46.15774427220803,16.822087954606882,59,Koprivničko-križevačka,Koprivnica,Cinderišče,2,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/dvosoban-stan-59.00m2-prizemlje-trg-kralja-zvonimira-tkz-oglas-42470936
09.05.2024.,4114,141450,46.156837,16.837658,57,Koprivničko-križevačka,Koprivnica,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,C,2.,Unknown,https://www.njuskalo.hr/nekretnine/3-sobni-stan-57-m2-parkirno-mjesto-oglas-41610069
09.05.2024.,3602,145900,46.17142,16.825123,73,Koprivničko-križevačka,Koprivnica,Taraščice,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/komforan-4-soban-stan-tarascice-73-m2-oglas-40467739
09.05.2024.,9116,130000,46.14507148614219,16.81972714187047,86,Koprivničko-križevačka,Koprivnica,Cinderišče,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,2011.,https://www.njuskalo.hr/nekretnine/stan-oglas-40143581
08.05.2024.,1603,219000,46.158057090473285,16.83868455184592,79,Koprivničko-križevačka,Koprivnica,Centar,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,A,3.,Unknown,https://www.njuskalo.hr/nekretnine/luksuzan-stan-79m2-papagajka-opremljen-garaza-spremiste-oglas-43180976
08.05.2024.,872,190490,46.161672359318,16.834704386888,88,Koprivničko-križevačka,Koprivnica,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/predivna-novogradnja-centru-koprivnce-oglas-40071466
08.05.2024.,732,191350,46.158894190711,16.832276784485,89,Koprivničko-križevačka,Koprivnica,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/predivna-novogradnja-centru-koprivnce-oglas-40071460
08.05.2024.,790,236070,46.158975365373,16.833828146807,109,Koprivničko-križevačka,Koprivnica,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/predivna-novogradnja-centru-koprivnce-oglas-40071459
08.05.2024.,990,124055,46.159728135607,16.833960219313,57,Koprivničko-križevačka,Koprivnica,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-centru-koprivnice-oglas-40071445
08.05.2024.,900,181890,46.161565744402,16.832371394871,84,Koprivničko-križevačka,Koprivnica,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-centru-koprivnice-oglas-40071438
08.05.2024.,2040,149800,46.157186156741,16.81393688586,62,Koprivničko-križevačka,Koprivnica,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,B,1.,2025.,https://www.njuskalo.hr/nekretnine/stan-centru-62.65-m2-trosobni-novogradnja-149.800-oglas-42484220
08.05.2024.,1749,139800,46.157186156741,16.81393688586,58,Koprivničko-križevačka,Koprivnica,Centar,3,U stambenoj zgradi,Jednoetažni,Nenamješten,B,1.,2025.,https://www.njuskalo.hr/nekretnine/stan-centru-58.43-m2-trosobni-novogradnja-139.800-oglas-42483655
08.05.2024.,2109,173200,46.157186156741,16.81393688586,72,Koprivničko-križevačka,Koprivnica,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,B,2.,2025.,https://www.njuskalo.hr/nekretnine/stan-centru-72.17-m2-cetverosobni-novogradnja-173.200-oglas-42484282
08.05.2024.,3659,101000,46.155823,16.8333,47,Koprivničko-križevačka,Koprivnica,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,B,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/pored-stadiona-stan-2-sobni-47-m2-oglas-42105018
08.05.2024.,1051,171800,46.161,16.83996,79,Koprivničko-križevačka,Koprivnica,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,B,1.,2024.,https://www.njuskalo.hr/nekretnine/pored-stadiona-3-sobni-stan-79.90-m2-oglas-42105195
