Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
29.05.2024.,2186,149000,46.02543901176,15.903739648105,62,Krapinsko-zagorska,Zabok,Zabok,2,U stambenoj zgradi,Jednoetažni,Nenamješten,B,1.,2024.,https://www.njuskalo.hr/nekretnine/zabok-centar-stan-62.10-m-novogradnja-oglas-42474041
24.05.2024.,603,2200,46.145796818949,15.880705118179,68,Krapinsko-zagorska,Krapina - Okolica,Mihaljekov Jarek,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2024.,https://www.njuskalo.hr/nekretnine/stan-mihaljekov-jarek-68.00-m2-novogradnja-oglas-43835433
04.05.2024.,4083,167980,46.078652131054,15.904663810181,110,Krapinsko-zagorska,Sveti Križ Začretje,Sveti Križ Začretje,4,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,1.,2001.,https://www.njuskalo.hr/nekretnine/stan-sveti-kriz-zacretje-centar-90.80-m2-parking-oglas-38830876
29.05.2024.,2215,119000,46.026580790715,15.906081832613,73,Krapinsko-zagorska,Zabok,Zabok,2,U stambenoj zgradi,Dvoetažni,Nenamješten,B,3.,Unknown,https://www.njuskalo.hr/nekretnine/zabok-stan-strogi-centar-oglas-43177308
29.05.2024.,1855,200000,46.024928856346,15.904207304261,90,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Nenamješten,B,2.,2024.,https://www.njuskalo.hr/nekretnine/zabok-novogradnja-stan-90.5-m-oglas-42474042
29.05.2024.,1463,145000,46.023935396491,15.905029434427,61,Krapinsko-zagorska,Zabok,Zabok,1,U stambenoj zgradi,Jednoetažni,Nenamješten,B,2.,2024.,https://www.njuskalo.hr/nekretnine/zabok-stan-61.28-m-novogradnja-oglas-42474040
29.05.2024.,3164,209000,46.025837,15.914018,72,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,3.,2016.,https://www.njuskalo.hr/nekretnine/zabok-prodaje-se-stan-centru-oglas-42965161
29.05.2024.,336,79000,46.15414938069,15.763141650762,60,Krapinsko-zagorska,Pregrada,Pregrada,3,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,2.,1989.,https://www.njuskalo.hr/nekretnine/stan-pregrada-60.00-m2-oglas-43848925
29.05.2024.,6606,65000,45.995889451904,15.919004799744,36,Krapinsko-zagorska,Oroslavje,Oroslavje,2,U stambenoj zgradi,Jednoetažni,Unknown,B,Suteren,2020.,https://www.njuskalo.hr/nekretnine/novogradnja-moguca-kupnja-preko-apn-a-oglas-40183841
29.05.2024.,1043,295000,45.996751686243,15.918685843354,160,Krapinsko-zagorska,Oroslavje,Oroslavje,4,U kući,Dvoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-prodaja-oroslavje-160-m2-4-soban-oglas-42871941
29.05.2024.,870,70000,46.052926956291,16.176144288589,74,Krapinsko-zagorska,Konjščina,Konjščina,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/konjscina-visoko-prizemlje-75-m2-3-soban-stan-oglas-43334883
29.05.2024.,373,70000,46.0538807588,16.178088843846,74,Krapinsko-zagorska,Konjščina,Konjščina,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/konjscina-visoko-prizemlje-75-m2-3-soban-stan-oglas-43334882
28.05.2024.,2662,140000,Unknown,Unknown,93,Krapinsko-zagorska,Krapina,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1975.,https://www.njuskalo.hr/nekretnine/krapina-centar-izuzetan-stan-93m2-perkirno-mjesto-ostava-oglas-42863071
