Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
02.04.2024.,131,215000,44.556276084216,14.877792934317,46,Ličko-senjska,Novalja,Novalja,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2018.,https://www.njuskalo.hr/nekretnine/pag-novalja-apartman-pogledom-more-46.46-m2-ukljucenim-park-oglas-43280673
12.05.2024.,629,215000,44.99077267149,14.910627707982,85,Ličko-senjska,Senj,Senj,3,U kući,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/senj-etaza-kuce-3skl-zaseban-roh-bau-apartman-garaza-oglas-41624127
12.05.2024.,457,420595,44.56519015435637,14.868568285246795,120,Ličko-senjska,Novalja,Novalja,5,U stambenoj zgradi,Jednoetažni,Unknown,A,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/apartman-novalja-120.00-m2-novogradnja-vrt-oglas-41005794
12.05.2024.,512,305000,44.548677362507505,14.882573153563499,93,Ličko-senjska,Novalja,Novalja,4,U stambenoj zgradi,Jednoetažni,Nenamješten,A,2.,2023.,https://www.njuskalo.hr/nekretnine/stan-novalja-93.00-m2-novogradnja-oglas-40565615
11.05.2024.,45,238343,44.55995352056598,14.88659737727238,60,Ličko-senjska,Novalja,Novalja,2,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,1.,2024.,https://www.njuskalo.hr/nekretnine/novalja-stan-prodaja-dvosobni-kat-60-m2-oglas-43510687
11.05.2024.,99,365645,44.565742038284,14.870321208847,104,Ličko-senjska,Novalja,Novalja,4,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,2.,2024.,https://www.njuskalo.hr/nekretnine/stan-novalja-104.00-m2-novogradnja-4-sob-2-terase-pogled-more-oglas-42893896
11.05.2024.,76,303600,44.5483598789622,14.883837242021144,92,Ličko-senjska,Novalja,Novalja,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,2.,2024.,https://www.njuskalo.hr/nekretnine/stan-novalja-prodaja-92-m2-trosobni-4-terase-novogradnja-oglas-43283497
11.05.2024.,133,388675,44.565534397128,14.870122148581,111,Ličko-senjska,Novalja,Novalja,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-novalja-111-m2-novogradnja-3-sob-prizemlje-vrt-blizu-plaze-oglas-42894230
11.05.2024.,125,253000,44.565534397128,14.870122148581,72,Ličko-senjska,Novalja,Novalja,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-novalja-72.00-m2-novogradnja-3-sob-kat-blizu-plaze-oglas-42894214
11.05.2024.,106,301560,44.56561649757168,14.870074662580322,86,Ličko-senjska,Novalja,Novalja,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-novalja-86-m2-novogradnja-3-sob-prizemlje-vrt-blizu-plaze-oglas-42894014
11.05.2024.,168,181230,44.56571911897774,14.870141397357145,51,Ličko-senjska,Novalja,Novalja,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-novalja-51.00-m2-novogradnja-3-sob-terasa-blizu-plaze-babe-oglas-42893980
11.05.2024.,124,247000,44.56383222750958,14.86942153988133,63,Ličko-senjska,Novalja,Novalja,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-novalja-63.00-m2-novogradnja-3-sob-kat-2-terase-pogled-oglas-42893378
11.05.2024.,429,149000,44.564241472442,14.874845020911,59,Ličko-senjska,Novalja,Novalja,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,C,3.,Unknown,https://www.njuskalo.hr/nekretnine/stan-novalja-59.00-m2-2-sob-terasa-pogled-oglas-42894286
11.05.2024.,123,216125,44.56570770112279,14.870090644645558,62,Ličko-senjska,Novalja,Novalja,2,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-novalja-62-m2-novogradnja-2-sob-prizemlje-vrt-blizu-plaze-oglas-42894042
11.05.2024.,119,252000,44.565892110166,14.869838456605,63,Ličko-senjska,Novalja,Novalja,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,2.,2024.,https://www.njuskalo.hr/nekretnine/stan-novalja-63.00-m2-novogradnja-3-sob-pogled-more-oglas-42893337
10.05.2024.,1090,76000,44.840614011289,15.417213221254,67,Ličko-senjska,Vrhovine,Vrhovine,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/otocac-vrhovine-stan-okolici-plitvica-oglas-41289560
10.05.2024.,133,244335,44.565742038284,14.870321208847,70,Ličko-senjska,Novalja,Novalja,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,2.,2024.,https://www.njuskalo.hr/nekretnine/stan-novalja-70.00-m2-3-sob-pogled-more-blizu-plaze-babe-oglas-42893944
10.05.2024.,117,258000,44.565892110166,14.869838456605,65,Ličko-senjska,Novalja,Novalja,3,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-novalja-65.00-m2-novogradnja-3-sob-pogled-more-oglas-42893425
