Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
24.04.2024.,336,132773,46.393616603503,16.422108370178,49,Međimurska,Čakovec,Globetka,2,U stambenoj zgradi,Jednoetažni,Unknown,A,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-cakovec-top-lokacija-2-sobni-49.18m2-novogradnja-galerija-sjever-oglas-43069649
24.04.2024.,184,167765,46.393616603503,16.422108370178,64,Međimurska,Čakovec,Globetka,2,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-cakovec-top-lokacija-2-sobni-64.53m2-novogradnja-galerija-sjever-oglas-43069484
24.04.2024.,6674,147000,46.405546618268,16.447023286895,124,Međimurska,Čakovec - Okolica,Mihovljan,4,U kući,Dvoetažni,Unknown,A,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-mihovljan-novogradnja-124.00-m2-izdana-uporabna-dozvola-oglas-39843474
12.05.2024.,567,224062,46.370926798685,16.414977913988,123,Međimurska,Strahoninec,Strahoninec,4,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,1.,2024.,https://www.njuskalo.hr/nekretnine/urbana-vila-strahoninec-penthouse-s3-oglas-43334727
12.05.2024.,585,171375,46.370926798685,16.414977913988,108,Međimurska,Strahoninec,Strahoninec,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/urbana-vila-strahoninec-s2-oglas-43334691
12.05.2024.,868,157687,46.370926798685,16.414977913988,92,Međimurska,Strahoninec,Strahoninec,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/urbana-vila-strahoninec-s1-oglas-43334646
11.05.2024.,2794,177600,46.378524804129,16.447086391738,74,Međimurska,Čakovec,Jug,2,U stambenoj zgradi,Višeetažni,Potpuno namješten,A,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/cakovec-jug-visoko-prizemlje-74.00-m2-odmah-useljiv-namjesten-oglas-43399899
10.05.2024.,2929,330000,46.379383656975,16.441006385448,167,Međimurska,Čakovec,Jug,5,U kući,Dvoetažni,Nenamješten,A+,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-cakovec-167.00-m2-novogradnja-oglas-39527886
10.05.2024.,2989,350000,46.379383656975,16.441006385448,188,Međimurska,Čakovec,Jug,5,U kući,Dvoetažni,Nenamješten,A+,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/cakovec-luksuzna-novogradnja-5-sobni-stan-neto-169.53-m2-80-m2-v-oglas-39511609
10.05.2024.,2459,330000,46.377159455768,16.443335074242,167,Međimurska,Čakovec,Jug,5,U stambenoj zgradi,Dvoetažni,Unknown,A+,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-prodaja-cakovec-luksuzna-izvedba-oprema-168-m2-330.000-oglas-39660670
