Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
22.04.2024.,723,151000,45.55651341804884,18.65726891341265,58,Osječko-baranjska,Osijek,Retfala,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,1.,Unknown,https://www.njuskalo.hr/nekretnine/trosoban-stan-58m2-dvoristem-zasebnom-ostavom-urbanoj-vili-oglas-43534096
27.03.2024.,7286,199000,45.553154,18.667519,94,Osječko-baranjska,Osijek,Gornji grad / Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,Unknown,https://www.njuskalo.hr/nekretnine/cetverosoban-stan-prvom-katu-urbane-vile-oglas-40095453
11.05.2024.,184,73000,45.546814210354,18.716919891181,33,Osječko-baranjska,Osijek,Jug II,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,1989.,https://www.njuskalo.hr/nekretnine/jednosoban-stan-33-m2-jug-ii-2-kat-oglas-43706900
10.05.2024.,91,223535,45.55989089272621,18.7238458755283,118,Osječko-baranjska,Osijek,Donji grad,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/donji-grad-luksuzni-cetverosobni-stanovi-105m2-vrt-111m2-118m2-oglas-43705259
10.05.2024.,13730,126500,45.560059210802,18.644935872283,55,Osječko-baranjska,Osijek,Retfala,2,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-osijek-retfala-novogradnja-dvosobni-stan-43-m2-oglas-37922974
10.05.2024.,237,2500,45.56001812263233,18.668208211396504,107,Osječko-baranjska,Osijek,Gornji grad / Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/prodaja-osijek-centar-cetverosobni-107.78-m2-drugi-kat-lift-oglas-43257921
10.05.2024.,4864,221540,45.556560912089,18.72637762257,87,Osječko-baranjska,Osijek,Donji grad,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2025.,https://www.njuskalo.hr/nekretnine/donji-grad-luksuzni-cetverosobni-88m2-99m2-dvoriste-parking-loda-oglas-37893087
10.05.2024.,1822,133119,45.555556290084,18.724735914901,63,Osječko-baranjska,Osijek,Donji grad,2,U stambenoj zgradi,Jednoetažni,Unknown,A+,1.,2025.,https://www.njuskalo.hr/nekretnine/dvosoban-63.39-m2-vrt-dravu-donjogradsku-promenadu-garaza-oglas-43228289
10.05.2024.,1275,96999,45.62864,18.77535,56,Osječko-baranjska,Osijek,Gornji grad / Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/trosoban-stan-centar-osijeka-oglas-43272751
10.05.2024.,1489,168900,45.56121541191,18.67135864721,63,Osječko-baranjska,Osijek,Gornji grad / Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/ilirska-luksuzni-4-sobni-64m2-dvoriste-50m2-prizemlje-parking-oglas-42256824
10.05.2024.,1320,236540,45.556560912089,18.72637762257,100,Osječko-baranjska,Osijek,Donji grad,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2025.,https://www.njuskalo.hr/nekretnine/luksuzni-4-sobni-101m2-vrt-100m2-solar-dizalice-topline-parking-oglas-40820908
10.05.2024.,140,120000,45.31346843442,18.418304936741,86,Osječko-baranjska,Đakovo,Đakovo,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,4.,Unknown,https://www.njuskalo.hr/nekretnine/stan-centru-dakova-4-kat-86.69-m2-oglas-43699873
10.05.2024.,58,175056,45.5647013,18.6476449,83,Osječko-baranjska,Osijek,Retfala,3,U stambenoj zgradi,Višeetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/retfala-trosoban-stan-cvrsnicka-1-kat-83.36-m2-oglas-43698787
10.05.2024.,32,190785,45.5647013,18.6476449,90,Osječko-baranjska,Osijek,Retfala,3,U stambenoj zgradi,Višeetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/retfala-atraktivna-lokacija-cvrsnicka-2-kat-91-m2-oglas-43698777
09.05.2024.,749,279000,45.561882,18.662628,110,Osječko-baranjska,Osijek,Gornji grad / Centar,3,U stambenoj zgradi,Jednoetažni,Djelomično namješten,A,2.,2024.,https://www.njuskalo.hr/nekretnine/stan-s3-ilirska-ulica-osijek-110m2-novogradnja-oglas-43430877
09.05.2024.,4345,65000,45.552765,18.708397,25,Osječko-baranjska,Osijek,Sjenjak,1,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/stan-osijek-vijenac-ivana-mestrovica-38.22-m2-oglas-34239738
09.05.2024.,579,155000,45.54510125106517,18.717047513264692,86,Osječko-baranjska,Osijek,Jug II,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,1.,1980.,https://www.njuskalo.hr/nekretnine/prodaja-osijek-jug-2-trosobni-stan-86.28-m2-oglas-43208985
09.05.2024.,265,29500,45.548462567626,18.700904887429,25,Osječko-baranjska,Osijek,Vatrogasno naselje,1,U kući,Jednoetažni,Za renoviranje,G,Prizemlje,1962.,https://www.njuskalo.hr/nekretnine/jednosobni-stan-25-m2-vatrogasno-naselje-oglas-43695257
09.05.2024.,106,88665,45.55817211866,18.609454176259,76,Osječko-baranjska,Osijek - Okolica,Višnjevac,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-potkrovlju-dva-parkirna-mjesta-visnjevac-76-m2-oglas-43693694
09.05.2024.,195,131000,45.549045433297,18.685810785438,61,Osječko-baranjska,Osijek,Bosutsko naselje,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,6.,Unknown,https://www.njuskalo.hr/nekretnine/praktican-trosoban-stan-bosutsko-naselje-61.29-m2-oglas-43693693
09.05.2024.,709,74358,45.62009475772703,18.63360300159428,43,Osječko-baranjska,Darda,Darda,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-dvosobni-43.74m2-solar-dizalice-topline-2-kat-bgaraza-oglas-42567302
09.05.2024.,558,175365,45.55659694742288,18.726405541530312,65,Osječko-baranjska,Osijek,Donji grad,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/ekskluzivna-lokacija-luksuzni-stanovi-65m2.114m2.130m2donji-grad-oglas-43427953
