Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
10.05.2024.,7884,29900,45.492581843491,16.953359895514,76,Požeško-slavonska,Lipik,Marino Selo,2,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-marino-selo-76.00-m2-p-r-l-k-a-oglas-38906335
08.05.2024.,53646,79999,45.335810126538,17.679840873103,64,Požeško-slavonska,Požega,Centar,2,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,1.,1960.,https://www.njuskalo.hr/nekretnine/stan-gradiska-57-m2-oglas-9857630
06.05.2024.,23940,56000,45.333399954463,17.680106274784,56,Požeško-slavonska,Požega,Centar,3,U stambenoj zgradi,Višeetažni,Roh-bau,Unknown,Unknown,2008.,https://www.njuskalo.hr/nekretnine/stan-pozega-90.00-m2-oglas-34359583
04.05.2024.,2884,70000,45.335262,17.665522,70,Požeško-slavonska,Požega,Babin vir,3,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-pozegi-oglas-43123401
23.04.2024.,15601,50000,45.33439782948187,17.6674265265639,58,Požeško-slavonska,Požega,Babin vir,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,1978.,https://www.njuskalo.hr/nekretnine/stan-pozega-antuna-gustava-matosa-30-p-58.69-m2-oglas-39442557
23.04.2024.,32469,55000,45.339805242661,17.675183415413,65,Požeško-slavonska,Požega,Sajmište,4,U stambenoj zgradi,Jednoetažni,Unknown,C,Potkrovlje,2007.,https://www.njuskalo.hr/nekretnine/stan-pozega-65.67-m2-oglas-32229795
16.04.2024.,135,358000,45.36746,17.92797,128,Požeško-slavonska,Kutjevo,Poreč,5,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/porec-vranici-4sb-db-226.14m2-porec-luksuzna-dvojna-vila-oglas-42103206
12.04.2024.,691,89900,45.43256267481725,17.19905819097927,89,Požeško-slavonska,Pakrac,Pakrac,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,1.,1967.,https://www.njuskalo.hr/nekretnine/stan-pakrac-90-m2-1-kat-strogi-centar-luksuzan-prostran-oglas-43430978
26.03.2024.,1361,34000,45.426679032604,17.881219141047,70,Požeško-slavonska,Kutjevo,Kutjevo,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-kutjevo-70.05-m2-oglas-42741072
26.03.2024.,6737,50000,45.33225289307982,17.66439630782202,58,Požeško-slavonska,Požega,Babin vir,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,1978.,https://www.njuskalo.hr/nekretnine/stan-pozega-antuna-gustava-matosa-30-p-58.69-m2-oglas-40503692
18.03.2024.,2489,158000,45.334695776942,17.67603635788,76,Požeško-slavonska,Požega,Centar,3,U stambenoj zgradi,Jednoetažni,Djelomično namješten,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-pozega-76.00-m2-novogradnja-oglas-43202355
