Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
25.04.2024.,399,478000,44.958035220917,14.400064832314,122,Primorsko-goranska,Cres,Cres,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2022.,https://www.njuskalo.hr/nekretnine/cres-novogradnja-3s-db-loda-oglas-38557753
25.04.2024.,1327,260000,44.960050288232,14.401429432905,60,Primorsko-goranska,Cres,Cres,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2022.,https://www.njuskalo.hr/nekretnine/cres-novogradnja-1s-db-loda-oglas-38557751
23.04.2024.,210,363000,44.957510828073,14.4028298903,119,Primorsko-goranska,Cres,Cres,4,U stambenoj zgradi,Jednoetažni,Unknown,A,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/cres-stan-atraktivnoj-lokaciji-blizini-mora-3s-db-115-m2-oglas-42926861
23.04.2024.,790,256000,44.959437112317,14.400096639381,58,Primorsko-goranska,Cres,Cres,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/cres-novogradnja-prekrasnim-pogledom-1s-db-oglas-40753583
23.04.2024.,660,471500,44.957035828822,14.401254802132,114,Primorsko-goranska,Cres,Cres,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/cres-prekrasan-stan-lijepim-pogledom-3s-db-oglas-40753584
23.04.2024.,50,364000,44.957899853569,14.401385413895,130,Primorsko-goranska,Cres,Cres,4,U stambenoj zgradi,Jednoetažni,Unknown,A,Prizemlje,2022.,https://www.njuskalo.hr/nekretnine/otok-cres-grad-cres-3s-db-stan-okucnicom-novogradnji-oglas-43536177
22.04.2024.,858,482000,44.957643236642,14.402918211872,114,Primorsko-goranska,Cres,Cres,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/cres-prekrasan-stan-110-m2-3s-db-spremistem-dva-parkirna-mje-oglas-39006880
22.04.2024.,1300,550000,44.956450959082,14.403588994235,135,Primorsko-goranska,Cres,Cres,4,U stambenoj zgradi,Dvoetažni,Unknown,A+,1.,2021.,https://www.njuskalo.hr/nekretnine/cres-prekrasan-stan-novogradnji-135-m2-3s-db-dva-parkirna-mj-oglas-38121301
18.04.2024.,1130,300000,44.958421750884,14.403231519484,87,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,C,2.,Unknown,https://www.njuskalo.hr/nekretnine/cres-3-skl-stan-rivi-87-m2-prvi-red-mora-oglas-39980044
16.04.2024.,140,570000,44.958980414039,14.400319100492,118,Primorsko-goranska,Cres,Cres,4,U kući,Jednoetažni,Unknown,A,Prizemlje,2010.,https://www.njuskalo.hr/nekretnine/otok-cres-grad-cres-izuzetan-stan-3s-db-top-lokaciji-oglas-43160049
16.04.2024.,229,550000,44.958491461151,14.400548963965,104,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,A,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/otok-cres-izuzetan-2s-db-stan-top-lokaciji-prvi-red-mora-oglas-42879922
16.04.2024.,79,369000,44.956362515023,14.401595798591,123,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,A+,2.,2024.,https://www.njuskalo.hr/nekretnine/otok-cres-melin-2s-db-stan-vrhunskoj-novogradnji-oglas-43458402
16.04.2024.,76,352000,44.958246347669,14.401930495667,116,Primorsko-goranska,Cres,Cres,4,U stambenoj zgradi,Jednoetažni,Unknown,A+,1.,2024.,https://www.njuskalo.hr/nekretnine/otok-cres-melin-3s-db-stan-vrhunskoj-novogradnji-oglas-43458401
15.04.2024.,703,300000,44.959168536693,14.40370090076,87,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/otok-cres-grad-cres-stan-ocaravajucim-pogledom-prvi-red-mora-oglas-41035728
15.04.2024.,613,380000,44.957156940778,14.401357087265,97,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/cres-stan-dvosobni-dnevnim-boravkom-prizemlju-oglas-38857477
15.04.2024.,701,670000,44.959321103177,14.403727836242,193,Primorsko-goranska,Cres,Cres,5,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Penthouse,2023.,https://www.njuskalo.hr/nekretnine/cres-penthouse-jednosobni-apartman-dnevnim-boravkom-panoramski-oglas-38883817
14.04.2024.,5682,260000,44.9606942,14.4091703,69,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/immobilie-cres-stan-prvi-red-mora-oglas-28584597
12.04.2024.,176,478000,44.958619329057,14.400395998129,122,Primorsko-goranska,Cres,Cres,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2023.,https://www.njuskalo.hr/nekretnine/cres-stan-trosobni-dnevnim-boravkom-oglas-42071472
12.04.2024.,554,489000,44.957699007815,14.401734845244,120,Primorsko-goranska,Cres,Cres,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2023.,https://www.njuskalo.hr/nekretnine/cres-stan-trosobni-dnevnim-boravkom-oglas-38883741
12.04.2024.,1645,390000,44.895195242909,14.368227589631,78,Primorsko-goranska,Cres,Valun,3,U stambenoj zgradi,Dvoetažni,Unknown,A+,1.,Unknown,https://www.njuskalo.hr/nekretnine/otok-cres-valun-stan-prvi-red-mora-oglas-38487878
12.04.2024.,181,374000,44.956632545589,14.401219329597,99,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/cres-stan-dvosobni-dnevnim-boravkom-oglas-38857479
12.04.2024.,237,260000,44.959017284834,14.400277102742,60,Primorsko-goranska,Cres,Cres,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2023.,https://www.njuskalo.hr/nekretnine/cres-stan-jednosobni-dnevnim-boravkom-oglas-42071473
11.04.2024.,643,229000,44.959966511293,14.402054140701,122,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/cres-dvoetazni-stan-samom-centru-cresa-oglas-41729804
11.04.2024.,682,134000,44.8088608,14.3658109,44,Primorsko-goranska,Cres,Martinšćica,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1983.,https://www.njuskalo.hr/nekretnine/cres-martinscica-zaglav-studio-apartman-44m2-pogled-more-oglas-43421955
10.04.2024.,890,249000,44.957988180128,14.401177059793,69,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,1983.,https://www.njuskalo.hr/nekretnine/otok-cres-cres-stan-drugi-red-mora-oglas-40073011
05.04.2024.,369,380000,44.957438260596,14.403665184285,115,Primorsko-goranska,Cres,Cres,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2023.,https://www.njuskalo.hr/nekretnine/cres-novogradnja-trosoban-luksuzan-stan-blizini-svih-sadrzaja-id-4-oglas-42004539
03.04.2024.,822,299000,44.958688873258,14.400243166882,87,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/cres-novogradnja-3-stan-87-m2-s3.1-oglas-38857341
02.04.2024.,344,237000,44.958253362624,14.402470701675,122,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,1700.,https://www.njuskalo.hr/nekretnine/cres-dvoetazni-stan-centru-oglas-41747825
02.04.2024.,763,258000,44.959316165141,14.401600882943,70,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,1980.,https://www.njuskalo.hr/nekretnine/cres-prodaja-stana-vrhunskim-pogledom-more-oglas-40889443
02.02.2024.,216,390000,44.893884124003,14.371811907822,83,Primorsko-goranska,Cres,Valun,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2005.,https://www.njuskalo.hr/nekretnine/otok-cres-valun-dvoetazni-stan-more-oglas-42653866
25.01.2024.,736,259000,44.957443561532,14.399873473344,70,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/stan-pogledom-samo-50m-mora-cres-oglas-40183996
07.12.2023.,1300,170000,44.80948,14.360099,35,Primorsko-goranska,Cres,Miholašćica,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,A,Prizemlje,1983.,https://www.njuskalo.hr/nekretnine/apartman-cres-zaglav-oglas-42183110
24.10.2023.,306,270000,44.8569977,14.3975424,70,Primorsko-goranska,Cres,Cres,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/otok-cres-stan-70m2-drugi-red-mora-oglas-41729100
22.08.2023.,7220,125000,44.80890737151692,14.335834573931743,35,Primorsko-goranska,Cres,Martinšćica,1,U kući,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/lijepi-apartman-otoku-cresu-prvi-red-mora-oglas-39518114
18.08.2023.,3248,119200,44.80649994481,14.340244422831,35,Primorsko-goranska,Cres,Martinšćica,Unknown,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/lijepi-apartman-otoku-cresu-prvi-red-mora-oglas-41188040
28.02.2023.,3683,155000,44.957453564287,14.401653516247,59,Primorsko-goranska,Cres,Cres,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/cres-2s-db-59m2-oglas-39047659
09.05.2024.,986,139000,45.367945739716,14.460298553921,90,Primorsko-goranska,Čavle,Grobnik,3,U kući,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/grobnik-cavle-etaza-kuce-garazom-okucnicom-mogucnost-zamjene-oglas-42872701
13.05.2024.,231,80000,Unknown,Unknown,24,Primorsko-goranska,Čavle,Mavrinci,2,U kući,Jednoetažni,Unknown,C,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/mavrinci-cavle-prodaja-stana-24.11m2-oglas-43335214
13.05.2024.,535,279000,45.346772397166,14.480841637455,88,Primorsko-goranska,Čavle,Buzdohanj,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,1.,2012.,https://www.njuskalo.hr/nekretnine/cavle-buzdohanj-prekrasna-nekretnina-okucnicom-oglas-39908941
11.05.2024.,1224,206000,45.359521134669,14.498840913766,100,Primorsko-goranska,Čavle,Cernik,3,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,1995.,https://www.njuskalo.hr/nekretnine/cernik-prodaja-predivnog-osuncanog-stana-kuci-privatni-parking-oglas-40474107
11.05.2024.,1078,279000,45.345221280892,14.483359848893,88,Primorsko-goranska,Čavle,Buzdohanj,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,2010.,https://www.njuskalo.hr/nekretnine/buzdohanj-prodaja-dvoetaznog-stana-87.50m2-terasa-parking-oglas-39941079
10.05.2024.,2828,234000,45.365280649991,14.497809953446,100,Primorsko-goranska,Čavle,Čavle,3,U stambenoj zgradi,Jednoetažni,Unknown,A,2.,2014.,https://www.njuskalo.hr/nekretnine/cavle-lijepi-stan-prodaju-100-m-oglas-33192138
09.05.2024.,535,279000,45.364788619164,14.497880029531,88,Primorsko-goranska,Čavle,Čavle,4,U kući,Dvoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/cavle-buzdohanj-3s-db-stan-etaza-88-m2-oglas-39933918
09.05.2024.,949,180500,45.364355815395,14.49799789554,95,Primorsko-goranska,Čavle,Čavle,4,U kući,Jednoetažni,Unknown,Unknown,Visoko potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/cavle-prodaj-stana-95m2-parking-odlicna-lokacija-oglas-41221544
06.05.2024.,523,279000,45.346256723866,14.481842222653,87,Primorsko-goranska,Čavle,Buzdohanj,4,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/predivna-etaza-87.50-m2-3s-db-dvoetazni-oglas-39901019
06.05.2024.,152,79000,45.363986588457,14.528271608048,24,Primorsko-goranska,Čavle,Mavrinci,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/mavrinci-stan-oglas-43429699
06.05.2024.,354,279000,45.347395713623,14.482033253798,87,Primorsko-goranska,Čavle,Buzdohanj,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/cavle-dvoetazni-3s-db-oglas-41051461
03.05.2024.,1878,185000,45.362257892409,14.530564958687,107,Primorsko-goranska,Čavle,Mavrinci,4,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/grobnik-mavrinci-etaza-kuce-107m2-garaza-oglas-39661010
02.05.2024.,505,96000,45.364255405251,14.496356197983,54,Primorsko-goranska,Čavle,Čavle,3,U kući,Jednoetažni,Unknown,Unknown,Unknown,1950.,https://www.njuskalo.hr/nekretnine/cavle-etaza-uredenje-oglas-41898126
02.05.2024.,576,100000,45.358010591804,14.498427682002,95,Primorsko-goranska,Čavle,Cernik,4,U kući,Jednoetažni,Unknown,Unknown,1.,1968.,https://www.njuskalo.hr/nekretnine/cavle-etaza-kuce-nedovrsenom-stanju-oglas-42541738
02.05.2024.,374,83000,45.362703554012,14.528729309561,24,Primorsko-goranska,Čavle,Mavrinci,2,U stambenoj zgradi,Jednoetažni,Unknown,C,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/mavrinci-1s-db-oglas-39800395
01.05.2024.,132,81000,45.361981553511,14.53254486096,24,Primorsko-goranska,Čavle,Mavrinci,2,U kući,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/grobnik-mavrinci-24.11m2-2-sobni-stan-oglas-43412908
30.04.2024.,1208,96000,45.361805818436,14.496390609327,54,Primorsko-goranska,Čavle,Čavle,3,U kući,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/cavle-etaza-kuce-samom-centru-oglas-40996660
30.04.2024.,573,279000,45.362564005174,14.497876053236,279,Primorsko-goranska,Čavle,Čavle,4,U kući,Dvoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/cavle-3s-db-87.70-m2-oglas-39979236
27.04.2024.,133,82000,45.362367708801,14.532012920125,24,Primorsko-goranska,Čavle,Mavrinci,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/cavle-mavrinci-2s-stan-24.11m2-1-kat-oglas-43347824
27.04.2024.,1752,224000,45.362451883205,14.500916581645,100,Primorsko-goranska,Čavle,Čavle,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2014.,https://www.njuskalo.hr/nekretnine/cavle-stan-2s-db-namjesteno-oglas-35444869
27.04.2024.,99,279000,45.347925549774,14.480135221629,88,Primorsko-goranska,Čavle,Buzdohanj,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/cavle-3-db-balkonima-terasom-220-m2-okucnice-parking-oglas-42793354
27.04.2024.,144,135000,45.362620760206,14.496321910658,133,Primorsko-goranska,Čavle,Čavle,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/cavle-lijepa-etaza-kuce-133-m2-tri-balkona-oglas-43570787
26.04.2024.,96,82000,45.361621547203,14.528661928382,25,Primorsko-goranska,Čavle,Mavrinci,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/cavle-n-n-mavrinci-1s-kl-stan-25-m2-oglas-43350835
26.04.2024.,254,78000,45.362273952589,14.528006537106,25,Primorsko-goranska,Čavle,Mavrinci,2,U kući,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/mavrinci-dvosoban-klasican-stan-parkingom-oglas-43336114
