Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
02.04.2024.,708,262000,43.761621333589,15.775328845624,94,Šibensko-kninska,Vodice,Vodice,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2007.,https://www.njuskalo.hr/nekretnine/vodice-centar-250m-plaze-stan-94.67m2-pogled-more-oglas-38557435
02.04.2024.,1415,196000,43.744824901367,15.825631537162,69,Šibensko-kninska,Vodice,Srima,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,2004.,https://www.njuskalo.hr/nekretnine/srima-370m-plaze-apartman-prizemlju-69.20m2-vrtom-54.57m-oglas-38358420
02.04.2024.,3720,1150000,43.7407357861,15.899957952737,293,Šibensko-kninska,Šibenik,Šubićevac,5,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2022.,https://www.njuskalo.hr/nekretnine/sibenik-novogradnja-4-soban-stan-293.50-m2-vrtom-bazenom-oglas-38143390
02.04.2024.,1118,199000,43.76152514992,15.779513736568,88,Šibensko-kninska,Vodice,Vodice,4,U stambenoj zgradi,Jednoetažni,Unknown,B,Potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/vodice-samo-450m-plave-plaze-trosoban-apartman-galerijom-88.95m-oglas-38052994
02.04.2024.,1119,218000,43.761498396478,15.774629479566,106,Šibensko-kninska,Vodice,Vodice,4,U stambenoj zgradi,Jednoetažni,Unknown,B,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/vodice-samo-450m-plave-plaze-jednosoban-dvosoban-apartman-106.96-oglas-38046693
02.04.2024.,545,444000,43.760751436426,15.777791870162,149,Šibensko-kninska,Vodice,Vodice,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/vodice-komforan-3-sobni-stan-149.43m2-velika-terasa-vrt-230m-pla-oglas-37989740
02.04.2024.,1021,375000,43.823323764005,15.59074562064,98,Šibensko-kninska,Murter,Murter,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2022.,https://www.njuskalo.hr/nekretnine/murter-novogradnja-apartman-prizemlju-98.06m2-vrtom-pogledom-n-oglas-38137507
02.04.2024.,1021,360000,43.822815989048,15.590373840359,92,Šibensko-kninska,Murter,Murter,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2022.,https://www.njuskalo.hr/nekretnine/murter-novogradnja-apartman-1-katu-92.32m2-pogledom-more-oglas-38137505
02.04.2024.,1032,319000,43.757429495301,15.743410312494,113,Šibensko-kninska,Tribunj,Tribunj,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2022.,https://www.njuskalo.hr/nekretnine/tribunj-novogradnja-apartman-112.23m2-pogled-more-vrt-85m2-park-oglas-37695293
02.04.2024.,875,642350,43.757433362186,15.742455683333,128,Šibensko-kninska,Tribunj,Tribunj,3,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/tribunj-centar-2-red-mora-novogradnja-apartman-128.47m2-oglas-37715955
