Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
09.05.2024.,3220,115000,46.3862,16.4308,80,Sisačko-moslavačka,Sisak,Centar,3,U kući,Jednoetažni,Potpuno namješten,Unknown,Visoko prizemlje,1939.,https://www.njuskalo.hr/nekretnine/stan-sisak-80.00-m2-oglas-42921288
09.05.2024.,784,79000,45.33976376546003,16.97609782218933,48,Sisačko-moslavačka,Novska,Brestača,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-novska-48.00-m2-novogradnja-oglas-43171126
09.05.2024.,583,60000,45.463920624667,16.759333463319,45,Sisačko-moslavačka,Kutina,Kutina,2,U stambenoj zgradi,Jednoetažni,Djelomično namješten,D,3.,Unknown,https://www.njuskalo.hr/nekretnine/stan-kutina-45.73-m2-oglas-43666406
08.05.2024.,3707,57000,45.4826,16.380291,40,Sisačko-moslavačka,Sisak,Centar,2,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,5.,Unknown,https://www.njuskalo.hr/nekretnine/2s-stan-sisak-blizina-centra-oglas-43134698
07.05.2024.,4571,85000,45.466053420285,16.370332529291,60,Sisačko-moslavačka,Sisak,Brzaj,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,5.,1986.,https://www.njuskalo.hr/nekretnine/stan-sisku-60.05-m2-brzaj-oglas-41638892
07.05.2024.,2469,64000,45.496063,16.370028,56,Sisačko-moslavačka,Sisak,Zeleni brijeg,2,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,5.,1971.,https://www.njuskalo.hr/nekretnine/stan-sisak-56.00-m2-oglas-43305480
06.05.2024.,360,450,45.481683015484634,16.389964968134752,62,Sisačko-moslavačka,Sisak,Centar,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,3.,1974.,https://www.njuskalo.hr/nekretnine/iznajmljujem-stan-sisak-trg-62-m2-0955885718-oglas-43671834
06.05.2024.,4321,42000,45.47552522517,16.367998123169,61,Sisačko-moslavačka,Sisak,Zibel,3,U kući,Jednoetažni,Nenamješten,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-sisak-restauraciju-lokacija-oglas-42506224
06.05.2024.,1519,65000,45.4723,16.376965,50,Sisačko-moslavačka,Sisak,Brzaj,2,U stambenoj zgradi,Višeetažni,Potpuno namješten,Unknown,5.,Unknown,https://www.njuskalo.hr/nekretnine/sisak-dvosoban-50m2-oglas-43410786
04.05.2024.,696,63500,45.48901,16.381947,44,Sisačko-moslavačka,Sisak,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,4.,1967.,https://www.njuskalo.hr/nekretnine/prodaje-se-stan-sisak-44m2-oglas-43649245
30.04.2024.,3157,1590,45.33976376546,16.976097822189,1,Sisačko-moslavačka,Novska,Brestača,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-brestaca-1.00-m2-oglas-40416796
