Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
28.04.2023.,286,195092,Unknown,Unknown,61,Splitsko-dalmatinska,Seget,Seget Donji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,2023.,https://www.njuskalo.hr/nekretnine/seget-donji-dvosobni-stan-trecem-katu-200-m-mora-61.76-m2-oglas-40346924
28.04.2023.,286,494424,43.520740117758,16.223003706773,160,Splitsko-dalmatinska,Seget,Seget Donji,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,4.,2023.,https://www.njuskalo.hr/nekretnine/seget-donji-luksuzni-trosobni-stan-200m-mora-160-m2-oglas-40346923
28.04.2023.,298,174412,43.519954351471,16.222780707925,70,Splitsko-dalmatinska,Seget,Seget Donji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/seget-donji-jednosobni-stan-prizemlju-200m-mora-70.91-m2-oglas-40346922
28.04.2023.,331,172536,Unknown,Unknown,70,Splitsko-dalmatinska,Seget,Seget Donji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/seget-donji-dvosobni-stan-prizemlju-200m-mora-70.24-m2-oglas-40346919
28.04.2023.,512,212520,Unknown,Unknown,75,Splitsko-dalmatinska,Seget,Seget Donji,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/seget-donji-trosobni-stan-prvom-katu-200m-mora-75.76-m2-oglas-40346918
28.04.2023.,279,226688,Unknown,Unknown,75,Splitsko-dalmatinska,Seget,Seget Donji,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/seget-donji-trosobni-stan-drugom-katu-200m-mora-75.76-m2-oglas-40346917
28.04.2023.,274,240856,Unknown,Unknown,75,Splitsko-dalmatinska,Seget,Seget Donji,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,2023.,https://www.njuskalo.hr/nekretnine/seget-donji-trosobni-stan-trecem-katu-200m-mora-75.76-m2-oglas-40346916
28.04.2023.,1063,126750,Unknown,Unknown,45,Splitsko-dalmatinska,Seget,Seget Donji,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/seget-donji-jednosobni-stan-prvom-katu-200m-mora-45.97-m2-oglas-40346915
28.04.2023.,467,135200,Unknown,Unknown,45,Splitsko-dalmatinska,Seget,Seget Donji,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/seget-donji-jednosobni-stan-drugom-katu-200m-mora-45.97-m2-oglas-40346914
28.04.2023.,496,143650,Unknown,Unknown,45,Splitsko-dalmatinska,Seget,Seget Donji,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,2023.,https://www.njuskalo.hr/nekretnine/seget-donji-jednosobni-stan-trecem-katu-200m-mora-45.97-m2-oglas-40346913
25.04.2023.,7581,249000,43.512686852169,16.457136188357,75,Splitsko-dalmatinska,Split,Plokite,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,1970.,https://www.njuskalo.hr/nekretnine/split-plokite-dvosoban-komforan-stan-75m2-odmah-useljiv-oglas-38059362
18.04.2023.,363,260000,Unknown,Unknown,88,Splitsko-dalmatinska,Kaštela,Kaštel Stari,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/dvosobni-stan-drugom-katu-krovnom-terasom-88-m2-krovna-terasa-oglas-40273101
01.04.2023.,381,230000,43.493094297425,16.260999675856,76,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/200m-mora-dvosobni-stan-prizemlju-novogradnje-vrtom-112-m2-oglas-40132560
01.04.2023.,383,250000,Unknown,Unknown,84,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/200-m-mora-dvosobni-stan-prizemlju-novogradnje-vrtom-138-m2-oglas-40132559
01.04.2023.,570,189000,43.49141937612,16.262807781128,66,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-prvom-katu-200m-mora-66-m2-oglas-40132558
01.04.2023.,382,209000,Unknown,Unknown,68,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-prvom-katu-vrtom-200m-mora-oglas-40132557
01.04.2023.,331,275000,43.492533807995,16.258707572664,84,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Višeetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/luksuzni-penthouse-krovnom-terasom-70-m2-73-m2-200-m-mora-oglas-40132556
01.04.2023.,321,270000,Unknown,Unknown,87,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Višeetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/luksuzni-penthouse-krovnom-terasom-70-m2-73-m2-200-m-mora-oglas-40132555
01.04.2023.,396,280000,Unknown,Unknown,100,Splitsko-dalmatinska,Trogir - Okolica,Mastrinka,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/drugi-red-mora-trosobni-stan-prizemlje-100-m2-mastrinka-oglas-40132554
30.03.2023.,1235,204000,Unknown,Unknown,97,Splitsko-dalmatinska,Kaštela,Kaštel Stari,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2021.,https://www.njuskalo.hr/nekretnine/prekrasan-stan-prizemlju-novogradnje-vrtom-97.04m2-kastel-stari-oglas-40117380
27.03.2023.,299,330000,Unknown,Unknown,130,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,2.,2022.,https://www.njuskalo.hr/nekretnine/novogradnja-luksuzni-penthouse-stan-krovnom-terasom-62m2-68-m2-oglas-40090130
27.03.2023.,283,230000,Unknown,Unknown,64,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2022.,https://www.njuskalo.hr/nekretnine/novogradnja-dvosobni-stan-prvom-katu-garaznim-mjestom-64-m2-oglas-40090129
27.03.2023.,291,220000,Unknown,Unknown,62,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2022.,https://www.njuskalo.hr/nekretnine/novogradnja-dvosobni-stan-prvom-katu-garaznim-mjestom-62-m2-oglas-40090128
27.03.2023.,308,210000,Unknown,Unknown,75,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-prizemlju-75.78m2-s1-oglas-40090127
27.03.2023.,461,160000,Unknown,Unknown,56,Splitsko-dalmatinska,Okrug,Okrug Gornji,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-jednosobni-stan-prizemlju-novogradnje-56.87m2-oglas-40090126
27.03.2023.,310,225000,Unknown,Unknown,75,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-prvom-katu-75.78m2-oglas-40090125
27.03.2023.,310,170000,Unknown,Unknown,56,Splitsko-dalmatinska,Okrug,Okrug Gornji,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-jednosobni-stan-prvom-katu-novogradnje-56.87m2-oglas-40090124
27.03.2023.,266,400000,Unknown,Unknown,75,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-krovnom-terasom-drugom-katu-75.78m2-oglas-40090123
27.03.2023.,339,180000,Unknown,Unknown,56,Splitsko-dalmatinska,Okrug,Okrug Gornji,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-jednosobni-stan-drugom-katu-novogradnje-56.87m2-oglas-40090122
27.03.2023.,328,235000,Unknown,Unknown,77,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-prvom-katu-78.22m2-s2-oglas-40090121
27.03.2023.,272,335000,Unknown,Unknown,77,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-krovnom-terasom-drugi-kat-77.22-m2-oglas-40090120
27.03.2023.,612,170000,Unknown,Unknown,70,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/okrug-g-dvosobni-stan-vrtom-bazenom-70-m2-50-m2-vrt-oglas-40090119
27.03.2023.,629,170000,Unknown,Unknown,67,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/seaside-residence-dvosobni-stan-prvom-katu-67-m2-oglas-40090118
27.03.2023.,330,250000,Unknown,Unknown,67,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/seaside-residence-penthouse-stan-krovnom-terasom-67m2-68-m2-oglas-40090117
20.03.2023.,369,320000,Unknown,Unknown,100,Splitsko-dalmatinska,Trogir - Okolica,Mastrinka,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/drugi-red-mora-trosobni-stan-prvi-kat-100-m2-mastrinka-oglas-40017142
20.03.2023.,292,330000,Unknown,Unknown,100,Splitsko-dalmatinska,Trogir - Okolica,Mastrinka,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/drugi-red-mora-trosobni-stan-drugi-kat-100-m2-mastrinka-oglas-40017141
20.03.2023.,346,350000,Unknown,Unknown,100,Splitsko-dalmatinska,Trogir - Okolica,Mastrinka,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/drugi-red-mora-trosobni-stan-treci-kat-100-m2-mastrinka-oglas-40017140
19.03.2023.,9684,90000,Unknown,Unknown,70,Splitsko-dalmatinska,Kaštela,Kaštel Novi,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/kastel-dvosobni-stan-kuci-70-m2-oglas-40007817
09.03.2023.,320,223200,43.493394363215,16.261254877597,69,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-69.75-m2-200m-mora-oglas-39917434
09.03.2023.,311,242000,Unknown,Unknown,75,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-75.6-m2-200m-mora-oglas-39917432
09.03.2023.,319,211000,Unknown,Unknown,65,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-65.76-m2-200m-mora-oglas-39917431
09.03.2023.,354,230000,43.494837654107,16.260434278397,69,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-69.75-m2-prvi-kat-200m-mora-oglas-39917429
09.03.2023.,319,250000,Unknown,Unknown,75,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-75.6-m2-prvi-kat-200m-mora-oglas-39917428
09.03.2023.,311,217000,Unknown,Unknown,65,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-65.76-m2-prvi-kat-200m-mora-oglas-39917426
09.03.2023.,290,412000,43.493194299368,16.261386593821,121,Splitsko-dalmatinska,Okrug,Okrug Gornji,3,U stambenoj zgradi,Višeetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/200m-mora-luksuzni-trosobni-penthouse-krovnom-terasom-159.28-m2-oglas-39917424
09.03.2023.,289,596000,Unknown,Unknown,175,Splitsko-dalmatinska,Okrug,Okrug Gornji,3,U stambenoj zgradi,Višeetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/200m-mora-luksuzni-trosobni-penthouse-krovnom-terasom-221-m2-oglas-39917422
08.03.2023.,348,240000,Unknown,Unknown,66,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-vrtom-66.10m2-80m2-oglas-39908852
08.03.2023.,381,225000,Unknown,Unknown,66,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-prvom-katu-novogradnje-66.10-m2-oglas-39908851
08.03.2023.,321,260000,Unknown,Unknown,50,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-trecem-katu-krovnom-terasom-50.10-m2-oglas-39908850
08.03.2023.,398,275000,43.491369395299,16.261050364967,60,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-etaziran-stan-drugom-katu-krovnom-terasom-60-m2-oglas-39908848
08.03.2023.,2553,250000,43.540436572289,16.491424365707,109,Splitsko-dalmatinska,Solin,Centar,4,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/solin-centar-cetverosobni-stan-prizemlje-kuce-zaseban-ulaz-109-m2-oglas-39908847
06.03.2023.,12281,145000,43.514874549586,16.449119769589,40,Splitsko-dalmatinska,Split,Bol,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-muslimanci-oglas-39892753
18.02.2023.,298,335000,43.492822833458,16.261145052713,77,Splitsko-dalmatinska,Okrug,Okrug Gornji,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-dvosobni-stan-krovnom-terasom-drugi-kat-77.22-m2-oglas-39725678
11.02.2023.,905,320000,43.522512353468,16.250590830298,111,Splitsko-dalmatinska,Trogir,Trogir,2,U stambenoj zgradi,Višeetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/srcu-trogira-potpuno-ureden-stan-uhodan-turisticko-iznajmljiva-oglas-39667768
09.02.2023.,309,310000,Unknown,Unknown,91,Splitsko-dalmatinska,Okrug,Okrug Gornji,3,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/okrug-gornji-trosobni-stan-drugom-katu-91-m2-krovna-terasa-oglas-39652652
