Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
26.04.2024.,92,455000,46.315,16.330056,181,Varaždinska,Varaždin,Banfica,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/varazdin-banfica-luksuzno-opremljen-cetverosoban-penthouse-182-m2-n-oglas-43562617
25.04.2024.,186,320000,Unknown,Unknown,104,Varaždinska,Varaždin,Centar,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/3-soban-stan-104.60-m2-dvoristem-parkingom-ekskluzivna-lokacija-oglas-43002891
25.04.2024.,298,624822,46.308700252602,16.3424794307,189,Varaždinska,Varaždin,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,5.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-visokog-standarda-gradnje-varazdin-oglas-41540931
25.04.2024.,578,233392,46.25654815747563,16.619700001677927,175,Varaždinska,Ludbreg,Ludbreg,5,U stambenoj zgradi,Jednoetažni,Nenamješten,A,5.,2024.,https://www.njuskalo.hr/nekretnine/ludbreg-penthouse-stambena-zgrada-novogradnji-s33-oglas-43102210
24.04.2024.,2701,125000,46.303493114947486,16.335857669771116,49,Varaždinska,Varaždin,Đurek,2,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,5.,2007.,https://www.njuskalo.hr/nekretnine/stan-varazdin-49.00-m2-oglas-42238960
24.04.2024.,490,213980,46.308375929394,16.337692509262,82,Varaždinska,Varaždin,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/3s-stan-potkrovlje-top-lokacija-varazdin-oglas-41409807
24.04.2024.,884,321530,46.30972591671,16.341977197642,116,Varaždinska,Varaždin,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/kvalitetna-novogradnja-samo-cetiri-stana-oglas-41103508
24.04.2024.,2316,160000,46.308180772736,16.340022987872,75,Varaždinska,Varaždin,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,C,9.,1979.,https://www.njuskalo.hr/nekretnine/stan-najljepsim-pogledom-oglas-40420456
24.04.2024.,1328,222248,46.306865517512,16.341615540397,74,Varaždinska,Varaždin,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-visokog-standarda-gradnje-varazdin-oglas-38401009
24.04.2024.,300,585519,46.307074196739,16.341825919127,177,Varaždinska,Varaždin,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,5.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-visokog-standarda-gradnje-varazdin-oglas-41540938
24.04.2024.,4135,239800,46.309044119794,16.339619431387,84,Varaždinska,Varaždin,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,5.,2022.,https://www.njuskalo.hr/nekretnine/stan-najtrazenijoj-novogradnji-oglas-39158235
24.04.2024.,2207,238000,46.307443362036,16.337997721298,83,Varaždinska,Varaždin,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,4.,2022.,https://www.njuskalo.hr/nekretnine/stan-novogradnji-prostranom-terasom-oglas-39158234
24.04.2024.,572,213180,46.29404868538106,16.377079627563106,106,Varaždinska,Varaždin - Okolica,Kućan Marof,4,U kući,Jednoetažni,Unknown,A,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-varazdin-kucan-marof-4-sobni-106.59-m2-novogradnja-urbana-vila-oglas-43216177
