Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
30.05.2024.,7528,127500,45.831804483804,17.387199997902,75,Virovitičko-podravska,Virovitica,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2011.,https://www.njuskalo.hr/nekretnine/stan-virovitica-75.00-m2-oglas-41290599
30.05.2024.,200,220000,45.8347770716,17.38628669035,111,Virovitičko-podravska,Virovitica,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,A,2.,2022.,https://www.njuskalo.hr/nekretnine/virovitica-111m2-centar-stan-oglas-43797218
27.05.2024.,3906,10000,45.712387817619515,17.863478500974765,55,Virovitičko-podravska,Čađavica,Zvonimirovac,2,U kući,Jednoetažni,Za renoviranje,Unknown,Prizemlje,1960.,https://www.njuskalo.hr/nekretnine/stan-osijek-73.00-m2-oglas-41157713
26.05.2024.,696,130000,45.831512,17.384884,73,Virovitičko-podravska,Virovitica,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-virovitica-centar-73-m2-oglas-43850018
23.05.2024.,9428,71000,45.701788592921,17.706828117371,90,Virovitičko-podravska,Slatina,Slatina,3,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-slatina-90.00-m2-kolodvorska-16-oglas-37095579
18.05.2024.,2883,125000,45.954061150991,17.264837352729,75,Virovitičko-podravska,Pitomača,Pitomača,4,U stambenoj zgradi,Jednoetažni,Djelomično namješten,A+,Prizemlje,2022.,https://www.njuskalo.hr/nekretnine/stan-pitomaca-75.00-m2-oglas-41596216
17.05.2024.,3344,66720,45.70176540748084,17.698930099817012,63,Virovitičko-podravska,Slatina,Slatina,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,2008.,https://www.njuskalo.hr/nekretnine/stan-slatina-63.00-m2-oglas-42929139
16.05.2024.,4836,92400,45.83748557335519,17.38796710968018,44,Virovitičko-podravska,Virovitica,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-59-m2-centar-virovitice-novogradnja-oglas-41797028
15.05.2024.,570,147000,45.846292484438,17.435873822948,84,Virovitičko-podravska,Virovitica - Okolica,Požari,2,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2023.,https://www.njuskalo.hr/nekretnine/virovitica-stanovi-vilama-cca-80m2-oglas-43433560
13.05.2024.,3405,80000,45.829304,17.379684,54,Virovitičko-podravska,Virovitica,Centar,2,U stambenoj zgradi,Jednoetažni,Djelomično namješten,E,Prizemlje,1961.,https://www.njuskalo.hr/nekretnine/stan-54m-virovitica-oglas-43149600
13.05.2024.,3126,88000,45.748668452393,17.696168348215,70,Virovitičko-podravska,Slatina,Bakić,3,U kući,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-centru-slatine-oglas-40787165
09.05.2024.,1000,72000,45.829621595179,17.384598255157,37,Virovitičko-podravska,Virovitica,Centar,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,4.,Unknown,https://www.njuskalo.hr/nekretnine/stan-virovitica-38.00-m2-garazom-17-m2-oglas-43627636
26.04.2024.,1589,58000,45.832258837294,17.387157467673,66,Virovitičko-podravska,Virovitica,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,C,1.,1940.,https://www.njuskalo.hr/nekretnine/stan-e-3-katu-centar-virovitica-66-m-oglas-43563310
26.04.2024.,1040,55000,45.832656513332,17.387455093795,63,Virovitičko-podravska,Virovitica,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,D,1.,1940.,https://www.njuskalo.hr/nekretnine/stan-e-2-katu-pomocna-prostorija-centar-virovitica-64-m-oglas-43563309
26.04.2024.,719,60000,45.832900786612,17.386051646901,131,Virovitičko-podravska,Virovitica,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,C,Potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-e-4-potkrovlju-zgrade-centar-virovitice-132-m-oglas-43563308
25.04.2024.,2532,18000,45.58389796620669,17.95246481895447,134,Virovitičko-podravska,Zdenci,Zdenci,4,U kući,Jednoetažni,Unknown,Unknown,Potkrovlje,1987.,https://www.njuskalo.hr/nekretnine/stan-kuci-zdenci-134.00-m2-oglas-40980892
23.04.2024.,10446,114004,45.833552413978,17.389011629611,51,Virovitičko-podravska,Virovitica,Centar,2,U stambenoj zgradi,Jednoetažni,Djelomično namješten,A,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-virovitica-42.00-m2-novogradnja-oglas-33322485
23.04.2024.,14276,165880,45.83014212868846,17.38922352573123,75,Virovitičko-podravska,Virovitica,Suvara,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-virovitica-96.00-m2-novogradnja-oglas-33322667
23.04.2024.,14000,167156,45.833552413978,17.389011629611,75,Virovitičko-podravska,Virovitica,Centar,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,2.,2024.,https://www.njuskalo.hr/nekretnine/stan-virovitica-72.00-m2-novogradnja-oglas-33322219
26.03.2024.,1512,105000,45.953036896207,17.23263502121,70,Virovitičko-podravska,Pitomača,Pitomača,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-pitomaca-70.00-m2-oglas-43268749
19.03.2024.,4416,27000,45.922519645,17.272992835,58,Virovitičko-podravska,Pitomača,Stari Gradac,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1965.,https://www.njuskalo.hr/nekretnine/stan-stari-gradac-58.00-m2-oglas-41389225
09.03.2024.,4327,90000,45.520750509487,17.849699368369,63,Virovitičko-podravska,Orahovica,Orahovica,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,4.,1991.,https://www.njuskalo.hr/nekretnine/stan-drziceva-dvosobni-renoviran-blizu-autobusnog-kolodvora-oglas-42967034
08.02.2024.,1743,39000,45.950568929102,17.26080641693,80,Virovitičko-podravska,Pitomača,Pitomača,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/prodaje-se-stan-pitomaci-80.00-m2-javna-drazba-oglas-42507462
