Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
10.05.2024.,67,195000,45.190501187435,18.817216877441,66,Vukovarsko-srijemska,Privlaka,Privlaka,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/dalmacija-privlaka-novogradnja-prizemlju-vrtom-oglas-43411588
09.05.2024.,13086,47000,45.374870153866,18.965086516182,54,Vukovarsko-srijemska,Vukovar,Borovo Naselje,3,U stambenoj zgradi,Dvoetažni,Nenamješten,E,Prizemlje,1940.,https://www.njuskalo.hr/nekretnine/trosoban-stan-borovo-naselje-oglas-40065661
09.05.2024.,393,212900,45.189735065768,18.820085805698,1,Vukovarsko-srijemska,Privlaka,Privlaka,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/zadar-privlaka-moderan-stan-novogradnja-oglas-41309343
09.05.2024.,5488,141000,45.2900345347469,18.812505656890135,71,Vukovarsko-srijemska,Vinkovci,Centar,3,U stambenoj zgradi,Dvoetažni,Djelomično namješten,Unknown,2.,2000.,https://www.njuskalo.hr/nekretnine/prodajem-stan-76.92-m2-strogi-centar-grada-oglas-41370924
09.05.2024.,25881,62000,45.291014339845,18.806945918583,85,Vukovarsko-srijemska,Vinkovci,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-centru-grada-pjesacka-zona-prodaja-oglas-34403995
09.05.2024.,10044,51000,45.084574939211,18.730683464176,73,Vukovarsko-srijemska,Županja,Županja,3,U kući,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/zupanja-trosoban-stan-73.58-m2-oglas-37403108
09.05.2024.,4638,98000,45.291551991907,18.807658077709,57,Vukovarsko-srijemska,Vinkovci,Centar,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2005.,https://www.njuskalo.hr/nekretnine/vinkovci-stan-58-m2-centar-oglas-42145504
09.05.2024.,5080,49000,45.290386047006,18.805421827715,48,Vukovarsko-srijemska,Vinkovci,Centar,4,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,1910.,https://www.njuskalo.hr/nekretnine/vinkovci-centar-dvorisni-stan-oglas-40906948
09.05.2024.,19460,195000,45.291975549271,18.807491667939,220,Vukovarsko-srijemska,Vinkovci,Centar,5,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/predivan-luksuzan-dvoetazni-stan-vinkovci-220-m2-prodaja-oglas-34403997
09.05.2024.,2788,44000,44.979514914932,18.919390833438,60,Vukovarsko-srijemska,Vrbanja,Vrbanja,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/vrbanja-stan-centru-60-m-oglas-40420394
07.05.2024.,4802,64000,45.290968251891,18.805034009802,64,Vukovarsko-srijemska,Vinkovci,Centar,2,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,1970.,https://www.njuskalo.hr/nekretnine/vinkovci-dvorisni-stan-oglas-40482692
07.05.2024.,411,57500,45.37857313044334,18.96355032920837,56,Vukovarsko-srijemska,Vukovar,Borovo Naselje,3,U stambenoj zgradi,Dvoetažni,Unknown,C,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/132-vukovar-kresimira-cosica-10-odlican-dvoetazni-stan-56.24-m2-p-oglas-43677938
07.05.2024.,4926,53000,45.35547013948,18.99273276329,44,Vukovarsko-srijemska,Vukovar,Centar,2,U stambenoj zgradi,Jednoetažni,Djelomično namješten,D,4.,Unknown,https://www.njuskalo.hr/nekretnine/126-vukovar-olajnica-17-25-stan-44.20-m2-4-kat-bez-lifta-zatvoreno-oglas-41481257
06.05.2024.,4773,178350,45.353955547426,18.992564912725,118,Vukovarsko-srijemska,Vukovar,Centar,4,U stambenoj zgradi,Jednoetažni,Nenamješten,B,Unknown,1983.,https://www.njuskalo.hr/nekretnine/sta-centru-vukovara-122.00-m2-oglas-40003733
06.05.2024.,5260,145286,45.353955547426,18.992564912725,95,Vukovarsko-srijemska,Vukovar,Centar,4,U stambenoj zgradi,Jednoetažni,Nenamješten,B,Unknown,1983.,https://www.njuskalo.hr/nekretnine/stan-vukovar-89.00-m2-oglas-39995112
06.05.2024.,4931,152210,45.353955547426,18.992564912725,98,Vukovarsko-srijemska,Vukovar,Centar,4,U stambenoj zgradi,Jednoetažni,Nenamješten,B,Unknown,1983.,https://www.njuskalo.hr/nekretnine/stan-centru-vukovara-oglas-40003601
03.05.2024.,2789,93000,45.071925204375134,18.695677532549364,93,Vukovarsko-srijemska,Županja,Županja,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,2019.,https://www.njuskalo.hr/nekretnine/stan-zupanja-centar-93.77-m2-prodaja-oglas-41681794
03.05.2024.,4842,98000,45.357106598405,18.991152432741,75,Vukovarsko-srijemska,Vukovar,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,C,1.,1978.,https://www.njuskalo.hr/nekretnine/ekskluzivno-stan-odlicnoj-lokaciji-centru-grada-oglas-41109319
03.05.2024.,1966,55433,45.373666982826,18.957771096144,58,Vukovarsko-srijemska,Vukovar,Borovo Naselje,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,6.,Unknown,https://www.njuskalo.hr/nekretnine/131-vukovar-ul-domovinskog-rata-54-20-odlican-stan-58.35-m2-6-kat-oglas-43406742
02.05.2024.,150,319320,45.189878965213,18.820682644789,79,Vukovarsko-srijemska,Privlaka,Privlaka,3,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,Unknown,https://www.njuskalo.hr/nekretnine/apartman-novoj-zgradi-70-m-mora-oglas-43224586
01.05.2024.,375,45000,45.356273729236,18.991282166903,33,Vukovarsko-srijemska,Vukovar,Centar,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,1968.,https://www.njuskalo.hr/nekretnine/vukovar-zupanijska-ulica-1-sobni-stan-33m2-prodajemo-oglas-43599715
30.04.2024.,6462,100000,45.29226,18.806093,88,Vukovarsko-srijemska,Vinkovci,Nazorov Blok,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,Potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/prodaja-stana-vinkovci-88.00-m2-oglas-42535582
30.04.2024.,91,189000,45.187717662607,18.820909802154,63,Vukovarsko-srijemska,Privlaka,Privlaka,3,U stambenoj zgradi,Jednoetažni,Unknown,A,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/privlaka-prizemlje-pogledom-zalazak-sunca-oglas-43356143
30.04.2024.,78,185000,45.189449990761,18.821033338992,61,Vukovarsko-srijemska,Privlaka,Privlaka,3,U stambenoj zgradi,Jednoetažni,Unknown,A,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/privlaka-prizemlje-pogledom-zalazak-sunca-oglas-43356142
30.04.2024.,67,330000,45.189164119996,18.816743482504,97,Vukovarsko-srijemska,Privlaka,Privlaka,3,U stambenoj zgradi,Jednoetažni,Unknown,A,2.,2024.,https://www.njuskalo.hr/nekretnine/privlaka-zadar-penthouse-pogledom-oglas-43356135
29.04.2024.,1577,60000,45.38139157704204,18.95729541778564,62,Vukovarsko-srijemska,Vukovar,Borovo Naselje,2,U stambenoj zgradi,Jednoetažni,Unknown,C,4.,Unknown,https://www.njuskalo.hr/nekretnine/130-vukovar-vijenac-k-branimira-5-8-odlican-stan-62.35-m2-4-kat-zgra-oglas-43350111
29.04.2024.,14665,65000,45.35246663213775,18.99906043974454,68,Vukovarsko-srijemska,Vukovar,Centar,2,U stambenoj zgradi,Jednoetažni,Nenamješten,D,3.,Unknown,https://www.njuskalo.hr/nekretnine/90-vukovar-j-j-strossmayera-5b-23-stan-68-m2-3-kat-zgradi-bez-li-oglas-35378017
27.04.2024.,8430,113000,45.089066,18.740004,65,Vukovarsko-srijemska,Županja,Županja,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,1.,2010.,https://www.njuskalo.hr/nekretnine/prodajem-namjesten-trosoban-stan-zupanji-65-m-oglas-38251853
24.04.2024.,2292,265000,45.284878324437,18.81456978099,180,Vukovarsko-srijemska,Vinkovci,Radićev Blok,4,U kući,Dvoetažni,Unknown,Unknown,Unknown,2024.,https://www.njuskalo.hr/nekretnine/stan-vinkovci-180.00-m2-oglas-43095525
23.04.2024.,3800,98000,45.290267614517,18.806535929662,257,Vukovarsko-srijemska,Vinkovci,Centar,4,U kući,Jednoetažni,Unknown,Unknown,Unknown,1999.,https://www.njuskalo.hr/nekretnine/stan-vinkovci-centar-anina-ulica-257.00-m2-oglas-42052884
