Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
20.09.2023.,587,250000,44.105346807381,15.25027241422,50,Zadarska,Zadar,Bulevar,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/luksuzni-stan-50m2-bulevar-zadar-oglas-41462943
18.09.2023.,501,300000,44.134280450977,15.215743614697,60,Zadarska,Zadar,Borik,3,U stambenoj zgradi,Jednoetažni,Unknown,A,2.,2003.,https://www.njuskalo.hr/nekretnine/zadar-borik-stan-60.80-m2-blizina-plaze-odlicna-lokacija-oglas-41423678
12.09.2023.,251,455000,44.121327309801,15.247222019696,126,Zadarska,Zadar,Višnjik,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/zadar-visnjik-stan-126.50-m2-izusetna-lokacija-oglas-41378904
11.09.2023.,398,359000,44.121219483389,15.247629715466,118,Zadarska,Zadar,Višnjik,3,U stambenoj zgradi,Jednoetažni,Unknown,A+,1.,2023.,https://www.njuskalo.hr/nekretnine/zadar-visnjik-stan-118.25-m2-top-lokacija-oglas-41371140
08.09.2023.,999,158600,44.077212734994,15.28494709895,61,Zadarska,Bibinje,Bibinje,2,U stambenoj zgradi,Jednoetažni,Unknown,A+,1.,2024.,https://www.njuskalo.hr/nekretnine/bibinje-stanovi-novogradnja-stambeno-poslovni-objekt-povoljno-oglas-41349825
22.08.2023.,211,343094,44.119371,15.2313648,100,Zadarska,Zadar,Borik,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/novogradnja-borik-dvosoban-stan-prizemlju-vrtom-oglas-41221608
22.08.2023.,186,365024,Unknown,Unknown,107,Zadarska,Zadar,Borik,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,1.,2023.,https://www.njuskalo.hr/nekretnine/novogradnja-borik-dvosoban-stan-prvom-katu-oglas-41221607
22.08.2023.,193,360604,Unknown,Unknown,106,Zadarska,Zadar,Borik,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,2.,2023.,https://www.njuskalo.hr/nekretnine/novogradnja-borik-dvosoban-stan-drugom-katu-oglas-41221606
19.08.2023.,202,562000,44.119371,15.2313648,133,Zadarska,Zadar - Okolica,Kožino,4,U stambenoj zgradi,Jednoetažni,Nenamješten,A,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-stan-prizemlju-vrtom-bazenom-133.81m2-oglas-41194876
19.08.2023.,203,370230,Unknown,Unknown,86,Zadarska,Zadar - Okolica,Kožino,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,1.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-stan-prvom-katu-200-m-mora-oglas-41194875
19.08.2023.,190,370230,Unknown,Unknown,86,Zadarska,Zadar - Okolica,Kožino,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,1.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-stan-prvom-katu-200-m-mora-oglas-41194874
19.08.2023.,179,1080000,Unknown,Unknown,207,Zadarska,Zadar - Okolica,Kožino,4,U stambenoj zgradi,Jednoetažni,Nenamješten,A,2.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-elitni-stan-drugom-katu-143m2-200-m-mora-oglas-41194873
19.08.2023.,175,668640,Unknown,Unknown,159,Zadarska,Zadar - Okolica,Kožino,4,U stambenoj zgradi,Jednoetažni,Nenamješten,A,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-stan-prizemlju-159.20m2-oglas-41194872
19.08.2023.,214,356083,Unknown,Unknown,82,Zadarska,Zadar - Okolica,Kožino,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,1.,2023.,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-stan-prvom-katu-oglas-41194871
19.08.2023.,182,1080000,Unknown,Unknown,214,Zadarska,Zadar - Okolica,Kožino,4,U stambenoj zgradi,Jednoetažni,Nenamješten,A,2.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-kozino-elitni-stan-200m-mora-oglas-41194870
11.08.2023.,921,210000,44.134287650894,15.214147645047,71,Zadarska,Zadar,Borik,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/zadar-borik-stan-velikom-mkrovnom-terasom-oglas-41147615
06.07.2023.,1004,183000,44.2260363382442,15.169495430848116,59,Zadarska,Nin,Zaton,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2010.,https://www.njuskalo.hr/nekretnine/stan-zaton-59.23-m2-oglas-40891009
05.07.2023.,408,176188,44.442394650777,15.051258197108,51,Zadarska,Pag,Pag,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-2-vpm-novogradnja-prodaja-povljana-otok-pag-51.8-m2-oglas-40889682
