Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
11.05.2024.,1225,170000,45.765067421490215,16.001117038286537,101,Grad Zagreb,Novi Zagreb - Istok,Dugave,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-zagreb-dugave-80.00-m2-oglas-43431683
11.05.2024.,7792,155000,45.739375071921444,16.014780029654787,67,Grad Zagreb,Novi Zagreb - Istok,Veliko Polje,3,U stambenoj zgradi,Jednoetažni,Djelomično namješten,B,2.,2008.,https://www.njuskalo.hr/nekretnine/3-sobni-stan-zagreb-veliko-polje-67.00-m2-novija-gradnja-oglas-41497105
10.05.2024.,1953,760000,45.782799477689,15.981214097214,73,Grad Zagreb,Novi Zagreb - Istok,Bundek,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,5.,Unknown,https://www.njuskalo.hr/nekretnine/stan-zagreb-bundek-76.00-m2-oglas-43292723
10.05.2024.,683,158625,45.770778463148,15.99437713623,70,Grad Zagreb,Novi Zagreb - Istok,Travno,2,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,8.,1974.,https://www.njuskalo.hr/nekretnine/stan-zagreb-travno-70.00-m2-oglas-43703395
02.05.2024.,522,184000,45.804594953628225,15.936977215865397,54,Grad Zagreb,Črnomerec,Črnomerec,1,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-tresnjevka-uvuceni-kat-55-m2-oglas-43323715
01.05.2024.,158,360000,45.83420992625064,15.930809823984108,93,Grad Zagreb,Črnomerec,Fraterščica,4,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,1.,2013.,https://www.njuskalo.hr/nekretnine/stan-zagreb-fraterscica-93.00-m2-oglas-43606485
01.05.2024.,1533,335000,45.82768,15.93535,133,Grad Zagreb,Črnomerec,Šestinski dol,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Potkrovlje,2012.,https://www.njuskalo.hr/nekretnine/sestinski-dol-4s-obiteljski-stan-2012-g-gradnje-oglas-39869211
29.04.2024.,1500,259500,45.833577429233,15.917819775031539,120,Grad Zagreb,Črnomerec,Završje,5,U stambenoj zgradi,Jednoetažni,Unknown,B,1.,2005.,https://www.njuskalo.hr/nekretnine/kustosijski-vidikovec-komforan-stan-prekrasnim-pogledom-oglas-40775720
29.04.2024.,1865,159900,45.821182038351,15.914474364307,62,Grad Zagreb,Črnomerec,Gornje Vrapče,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/zagreb-gornje-vrapce-stan-povrsine-62m2-garaza-oglas-39983151
29.04.2024.,437,490000,45.83111529397769,15.932444445910786,234,Grad Zagreb,Črnomerec,Fraterščica,4,U stambenoj zgradi,Višeetažni,Unknown,B,Unknown,2003.,https://www.njuskalo.hr/nekretnine/stan-zagreb-fraterscica-234.00-m2-oglas-41377380
26.04.2024.,280,155000,45.813784995342,15.936522104428,47,Grad Zagreb,Črnomerec,Črnomerec,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-prodaja-zagreb-crnomerec-48-m2-3-soban-oglas-43563761
25.04.2024.,12694,156000,45.8060828249267,15.93961715698242,80,Grad Zagreb,Črnomerec,Črnomerec,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,1940.,https://www.njuskalo.hr/nekretnine/stan-zagreb-tresnjevka-80.00-m2-oglas-39258247
25.04.2024.,1426,293500,45.8478198,15.9288245,147,Grad Zagreb,Črnomerec,Črnomerec,1,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,1.,2002.,https://www.njuskalo.hr/nekretnine/peterosoban-stan-zagreb-mikulici-147.36-m2-oglas-39713354
25.04.2024.,1511,300208,45.811676801221,15.93819039637,75,Grad Zagreb,Črnomerec,Črnomerec,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/trosoban-stan-zagreb-centar-75-m2-oglas-39800655
25.04.2024.,1793,243510,45.811714192221,15.938206484588,61,Grad Zagreb,Črnomerec,Črnomerec,2,U stambenoj zgradi,Jednoetažni,Nenamješten,A,1.,2024.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-zagreb-centar-61.03-m2-oglas-39816972
25.04.2024.,1572,286602,45.811729148614,15.938185031952,71,Grad Zagreb,Črnomerec,Črnomerec,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,1.,2024.,https://www.njuskalo.hr/nekretnine/trosoban-stan-zagreb-centar-71.83-m2-oglas-39816974
25.04.2024.,1397,378651,45.811213150743,15.938288584022,94,Grad Zagreb,Črnomerec,Črnomerec,4,U stambenoj zgradi,Jednoetažni,Nenamješten,A,2.,2024.,https://www.njuskalo.hr/nekretnine/cetverosoban-stan-zagreb-centar-94-m-oglas-40671490
25.04.2024.,1257,230582,45.81119535,15.939463921692,57,Grad Zagreb,Črnomerec,Črnomerec,2,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/dvosobni-stan-zagreb-centar-57.79-m-oglas-41898320
25.04.2024.,1905,185920,45.82628890258195,15.912776386159196,92,Grad Zagreb,Črnomerec,Gornje Vrapče,4,U stambenoj zgradi,Dvoetažni,Nenamješten,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/cetverosobni-stan-zagreb-gornje-vrapce-nkp-92.96-m2-oglas-42998648
25.04.2024.,744,349000,45.8220595,15.9507849,91,Grad Zagreb,Črnomerec,Jelenovac,3,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/trosobni-stan-crnomerec-vinogradska-nkp-91.85-m-oglas-42233055
25.04.2024.,636,290000,45.8315466,15.9395783,124,Grad Zagreb,Črnomerec,Bijenik,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,2.,2005.,https://www.njuskalo.hr/nekretnine/dvoetazni-cetverosobni-stan-zagreb-crnomerec-nkp-124-m-oglas-42237835
24.04.2024.,120,360000,45.825087,15.956694,136,Grad Zagreb,Črnomerec,Jelenovac,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,1955.,https://www.njuskalo.hr/nekretnine/prodaja-stan-jelenovac-ante-sercera-4s-136m2-oglas-43546463
23.04.2024.,4283,290000,45.82352849076209,15.93860864639282,135,Grad Zagreb,Črnomerec,Sveti Duh,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,5.,1988.,https://www.njuskalo.hr/nekretnine/stan-zagreb-sveti-duh-135.00-m2-oglas-40774098
23.04.2024.,90,299999,45.831344,15.938959,96,Grad Zagreb,Črnomerec,Sveti Duh,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2004.,https://www.njuskalo.hr/nekretnine/prodaja-stan-sveti-duh-trsje-3s-96m2-oglas-43538072
20.04.2024.,168,413600,Unknown,Unknown,94,Grad Zagreb,Črnomerec,Vrhovec,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-prodaja-crnomerec-94m2-oglas-43513198
18.04.2024.,249,189000,45.813708619377,15.935179702954,57,Grad Zagreb,Črnomerec,Črnomerec,1,U stambenoj zgradi,Jednoetažni,Unknown,C,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-prodaja-zagreb-crnomerec-57-m2-2-soban-oglas-43224851
16.04.2024.,876,330000,45.837629,15.9484326,110,Grad Zagreb,Črnomerec,Šestinski dol,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,Prizemlje,2005.,https://www.njuskalo.hr/nekretnine/trosobni-stan-bazenom-zagreb-vrhovec-110-m-2vpm-oglas-42233052
16.04.2024.,597,383000,45.8220595,15.9507849,100,Grad Zagreb,Črnomerec,Jelenovac,3,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/trosobni-stan-zagreb-vinogradska-nkp-100.88-m-oglas-42233054
16.04.2024.,1063,569977,45.8312372,15.9494996,150,Grad Zagreb,Črnomerec,Vrhovec,1,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/peterosoban-stan-novogradnja-vrh-vrhovec-189.99-m2-oglas-39699504
16.04.2024.,1423,328456,45.811751583195,15.938104577419,82,Grad Zagreb,Črnomerec,Črnomerec,3,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,7.,Unknown,https://www.njuskalo.hr/nekretnine/trosoban-stan-zagreb-siri-centar-82.32-m2-oglas-39816983
12.04.2024.,331,149000,45.820697330494,15.912459181381,96,Grad Zagreb,Črnomerec,Gornje Vrapče,3,U kući,Jednoetažni,Unknown,Unknown,1.,1990.,https://www.njuskalo.hr/nekretnine/stan-prodaja-zagreb-vrapce-96-m2-3-soban-oglas-43434216
08.04.2024.,761,420000,45.82025546175,15.943926120613,138,Grad Zagreb,Črnomerec,Sveti Duh,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/stan-prodaja-zagreb-sveti-duh-138-m2-4-soban-oglas-41394834
06.04.2024.,134,355000,45.820367606091,15.943069605225,138,Grad Zagreb,Črnomerec,Sveti Duh,5,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,1.,1999.,https://www.njuskalo.hr/nekretnine/stan-prodaja-zagreb-trsje-138-m2-5-soban-oglas-43357005
04.04.2024.,780,270000,45.8354495,15.9205076,104,Grad Zagreb,Črnomerec,Kustošija,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2006.,https://www.njuskalo.hr/nekretnine/kustosija-4-soban-stan-garazom-pm-povrsine-104.06-m2-oglas-40499968
04.04.2024.,3806,59000,Unknown,Unknown,34,Grad Zagreb,Črnomerec,Sveti Duh,1,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,1945.,https://www.njuskalo.hr/nekretnine/stan-sveti-duh-34.00-m2-oglas-42753595
04.04.2024.,247,169000,Unknown,Unknown,74,Grad Zagreb,Črnomerec,Črnomerec,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2009.,https://www.njuskalo.hr/nekretnine/sestine-3soban-74m2-prvi-kat-noviji-mogucnost-kupovine-garaze-oglas-43319976
03.04.2024.,1471,375000,45.8323,15.939455,138,Grad Zagreb,Črnomerec,Sveti Duh,5,U stambenoj zgradi,Dvoetažni,Unknown,B,1.,1999.,https://www.njuskalo.hr/nekretnine/stan-zagreb-sveti-duh-138.00-m2-oglas-40903046
03.04.2024.,233,215500,45.843457345943,15.929948171017,65,Grad Zagreb,Črnomerec,Mikulići,2,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,1968.,https://www.njuskalo.hr/nekretnine/zagreb-mikulici-stan-65-m2-oglas-42646112
03.04.2024.,1862,250000,45.8128658,15.9095657,149,Grad Zagreb,Črnomerec,Gornje Vrapče,4,U stambenoj zgradi,Višeetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/vrapce-stan-kuca-oglas-41194816
03.04.2024.,4201,270000,45.813221,15.952422,73,Grad Zagreb,Črnomerec,Sveti Duh,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/vinogradska-podolje-3-sobni-parking-oglas-40970668
03.04.2024.,1065,535000,45.828747129241,15.948176537061,583,Grad Zagreb,Črnomerec,Vrhovec,5,U stambenoj zgradi,Jednoetažni,Unknown,C,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/vinogradska-stan-vrt-parking-nkp-583-m2-oglas-39861447
03.04.2024.,119,748250,45.840659913994,15.939769183777,206,Grad Zagreb,Črnomerec,Bijenik,4,U stambenoj zgradi,Jednoetažni,Unknown,A+,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/zagreb-bijenik-luskuzna-novogradnja-206m2-oglas-43319884
