Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
25.04.2024.,400,146265,45.68219056119403,16.134236001054948,73,Zagrebačka,Velika Gorica - Okolica,Gornje Podotočje,3,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/stan-novogradnja-gornje-podotocje-73.50-m2-odmah-useljivo-oglas-43298536
25.04.2024.,226,197000,45.67971008808185,16.130458694035088,99,Zagrebačka,Velika Gorica - Okolica,Gornje Podotočje,4,U stambenoj zgradi,Jednoetažni,Nenamješten,B,2.,2023.,https://www.njuskalo.hr/nekretnine/stan-gornje-podotocje-99.08-m2-novogradnja-oglas-43298614
24.04.2024.,718,308000,45.714232365324115,16.076046215774635,154,Zagrebačka,Velika Gorica,Centar,5,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,Prizemlje,2001.,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-154.00-m2-oglas-42256831
24.04.2024.,1323,238000,45.71182240264116,16.0745400617046,119,Zagrebačka,Velika Gorica,Centar,4,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,Prizemlje,2001.,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-119.00-m2-oglas-42256781
24.04.2024.,2228,175000,45.71129859491844,16.07480276877057,83,Zagrebačka,Velika Gorica,Centar,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,1978.,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-83.00-m2-oglas-42095447
24.04.2024.,758,79900,45.659155034347,16.511752108648,150,Zagrebačka,Križ,Križ,4,U kući,Jednoetažni,Unknown,D,1.,1983.,https://www.njuskalo.hr/nekretnine/ivanic-kriz-stan-150-m2-dvoriste-oglas-43281121
24.04.2024.,205,210000,45.71139233138196,16.08063418297332,74,Zagrebačka,Velika Gorica,Centar,3,U stambenoj zgradi,Jednoetažni,Nenamješten,B,7.,1978.,https://www.njuskalo.hr/nekretnine/velika-gorica-centar-trosoban-stan-74m2-oglas-43322501
24.04.2024.,2170,149000,45.71517,16.073786,57,Zagrebačka,Velika Gorica,Naselje Slavka Kolara,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,4.,1984.,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-57.00-m2-oglas-41789490
24.04.2024.,879,225750,45.7037401,16.0632129,75,Zagrebačka,Velika Gorica,Kurilovec,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/velika-gorica-novogradnja-s3a-luksuzan-trosoban-stan-nkp-75.25-m2-oglas-40250323
24.04.2024.,106,241804,45.711215022072,16.077036521019,79,Zagrebačka,Velika Gorica,Centar,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-velikagorica-stan-79.28m2-b102-oglas-43100903
