Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
06.04.2024.,639000,93,Dubrovačko-neretvanska,Dubrovnik,Stari grad,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,1765.,https://www.njuskalo.hr/nekretnine/dubrovnik-stari-grad-izuzetna-veliki-sta-funkciji-hostela-oglas-41676022
06.04.2024.,348600,83,Dubrovačko-neretvanska,Dubrovnik,�ip�ine,2-sobni,U kući,Jednoetažni,Unknown,Unknown,Visoko potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-dubrovnik-83.00-m2-oglas-41216434
06.04.2024.,320000,79,Dubrovačko-neretvanska,Dubrovnik,Gornji Kono,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,C,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-dubrovnik-79.00-m2-oglas-29272571
06.04.2024.,440000,50,Dubrovačko-neretvanska,Dubrovnik,Stari grad,1-sobni,U kući,Jednoetažni,Potpuno namješten,Unknown,1.,1700.,https://www.njuskalo.hr/nekretnine/jednosobni-stan-dubrovnik-stari-grad-1-kat-50.00-m2-oglas-42592928
06.04.2024.,235494,87,Dubrovačko-neretvanska,Konavle,Gruda,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-87.22-m2-novogradnja-oglas-43154081
05.04.2024.,6500,79,Dubrovačko-neretvanska,Dubrovnik,Lapad,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-komforni-stan-blizini-setnice-lapad-dubrovnik-oglas-42101865
06.04.2024.,456000,51,Dubrovačko-neretvanska,Dubrovnik,Stari grad,2-sobni,U kući,Dvoetažni,Potpuno namješten,A,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-dubrovnik-51.00-m2-oglas-36734185
06.04.2024.,300000,60,Dubrovačko-neretvanska,Dubrovnik,Lapad,1-sobni,U stambenoj zgradi,Jednoetažni,Unknown,B,Visoko potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-dubrovnik-60.00-m2-oglas-43202654
06.04.2024.,200000,59,Dubrovačko-neretvanska,Dubrovnik - Okolica,Zaton,2-sobni,U stambenoj zgradi,Jednoetažni,Djelomi�no namješten,Unknown,Visoko prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-zaton-59.00-m2-novogradnja-oglas-43170420
06.04.2024.,385000,60,Dubrovačko-neretvanska,Dubrovnik,Plo�e,2-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,A,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-dubrovnik-60.00-m2-oglas-40761604
06.04.2024.,490000,60,Dubrovačko-neretvanska,Dubrovnik,Stari grad,3-sobni,U stambenoj zgradi,Dvoetažni,Potpuno namješten,B,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-gradu-prvi-red-zidina-oglas-37399217
07.04.2024.,210000,100,Dubrovačko-neretvanska,Korčula,�rnovo,4-sobni,U stambenoj zgradi,Dvoetažni,Unknown,C,1.,Unknown,https://www.njuskalo.hr/nekretnine/korcula-zrnovo-stan-novorenoviranoj-kamenoj-kuci-100m2-oglas-42962249
07.04.2024.,105000,50,Dubrovačko-neretvanska,Korčula,�rnovo,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,C,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/korcula-zrnovo-stan-novorenoviranoj-kamenoj-kuci-50m2-oglas-42962248
07.04.2024.,138000,93,Dubrovačko-neretvanska,Metkovi�,Metkovi�,3-sobni,U stambenoj zgradi,Jednoetažni,Djelomi�no namješten,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-metkovic-93.00-m2-oglas-38394113
07.04.2024.,125000,40,Dubrovačko-neretvanska,Korčula,Korčula,1-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,2.,2012.,https://www.njuskalo.hr/nekretnine/stan-korcula-40.19-m2-oglas-42454390
06.04.2024.,500000,59,Dubrovačko-neretvanska,Dubrovnik,Stari grad,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-prodaju-unutar-zidina-59.00-m2-oglas-40319035
06.04.2024.,850000,100,Dubrovačko-neretvanska,Dubrovnik,Stari grad,4-sobni,U kući,Dvoetažni,Za renoviranje,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-dubrovnik-stari-grad-2-etazni-stan-renoviranje-odlicna-poz-oglas-40866021
06.04.2024.,410000,115,Dubrovačko-neretvanska,Dubrovnik,Lapad,3-sobni,U kući,Jednoetažni,Potpuno namješten,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-lapadu-zasebnom-garonijerom-115.00-m2-oglas-39115123
06.04.2024.,480000,120,Dubrovačko-neretvanska,Dubrovnik,Plo�e,3-sobni,U kući,Jednoetažni,Potpuno namješten,B,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-dubrovnik-115-m2-oglas-26593674
06.04.2024.,230000,55,Dubrovačko-neretvanska,Dubrovnik - Okolica,Moko�ica,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/dubrovnik-mokosica-55m2-iskljucivo-posredovanje-oglas-43264909
06.04.2024.,240000,65,Dubrovačko-neretvanska,Dubrovnik,Gru� - Luka,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,1995.,https://www.njuskalo.hr/nekretnine/dubrovnik-gruz-stan-65-m2-prizemlje-oglas-42954260
06.04.2024.,1,220,Dubrovačko-neretvanska,Dubrovnik,Gorica,5+ sobni,U stambenoj zgradi,Vi�eetažni,Unknown,Unknown,1.,1978.,https://www.njuskalo.hr/nekretnine/red-mora-top-ponuda-5s-garaza-pm-oglas-43133654
06.04.2024.,274779,101,Dubrovačko-neretvanska,Konavle,Gruda,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-101.77-m2-novogradnja-oglas-43154055
06.04.2024.,235494,87,Dubrovačko-neretvanska,Konavle,Gruda,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-87.22-m2-novogradnja-oglas-43153911
06.04.2024.,274779,101,Dubrovačko-neretvanska,Konavle,Gruda,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-101.77-m2-novogradnja-oglas-43153858
06.04.2024.,286443,106,Dubrovačko-neretvanska,Konavle,Gruda,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/stan-gruda-106.09-m2-novogradnja-oglas-43153763
