Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
07.04.2024.,190000,85,Koprivnièko-križevaèka,Koprivnica,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivne-urbane-vile-2.150-eur-m2-oglas-41101668
07.04.2024.,195000,75,Koprivnièko-križevaèka,Koprivnica,Centar,4-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/cetverosoban-stan-dvoristem-vrlo-atraktivnoj-lokaciji-oglas-42345305
07.04.2024.,275200,128,Koprivnièko-križevaèka,Koprivnica,Pri Magdaleni,5+ sobni,U kuæi,Dvoetažni,Djelomièno namješten,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivne-urbane-vile-2.150-eur-m2-oglas-41101493
07.04.2024.,155000,62,Koprivnièko-križevaèka,Koprivnica,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/trosoban-stan-vrlo-atraktivnoj-lokaciji-novogradnja-oglas-42344588
07.04.2024.,262400,122,Koprivnièko-križevaèka,Koprivnica,Pri Magdaleni,5+ sobni,U kuæi,Dvoetažni,Djelomièno namješten,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivne-urbane-vile-2.150-eur-m2-oglas-41089524
07.04.2024.,160000,61,Koprivnièko-križevaèka,Koprivnica,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/trosoban-stan-dvoristem-vrlo-atraktivnoj-lokaciji-novogradnja-oglas-42344722
06.04.2024.,219000,79,Koprivnièko-križevaèka,Koprivnica,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,B,3.,Unknown,https://www.njuskalo.hr/nekretnine/luksuzan-stan-79m2-papagajka-opremljen-garaza-spremiste-oglas-43180976
06.04.2024.,114999,59,Koprivnièko-križevaèka,Koprivnica,Cinderišèe,2-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/dvosoban-stan-59.00m2-prizemlje-trg-kralja-zvonimira-tkz-oglas-42470936
06.04.2024.,100800,56,Koprivnièko-križevaèka,Koprivnica,Centar,2-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,Prizemlje,1970.,https://www.njuskalo.hr/nekretnine/stan-koprivnica-56.00-m2-oglas-41406512
05.04.2024.,155000,86,Koprivnièko-križevaèka,Koprivnica,Banovac,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-koprivnica-86.25-m2-j-j-strossmayera-oglas-40945605
05.04.2024.,190281,65,Koprivnièko-križevaèka,Križevci,Križevci,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,A+,Unknown,2024.,https://www.njuskalo.hr/nekretnine/stan-krizevci-90.61-m2-novogradnja-oglas-43183068
05.04.2024.,115937,43,Koprivnièko-križevaèka,Koprivnica,Lenišæe,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-s7-lenisce-43.75-m2-novogradnja-oglas-41191410
