# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
07.02.2024.,515000,138,Šibensko-kninska,Vodice,Vodice,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/s11-stan-vodicama-novogradnji-liftom-podzemnom-garazom-oglas-41518331
07.02.2024.,330000,89,Šibensko-kninska,Vodice,Vodice,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/vodice-prekrasan-stan-s6-novogradnji-pogledom-more-oglas-41471106
07.02.2024.,399000,115,Šibensko-kninska,Vodice,Vodice,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/vodice-prekrasan-stan-s5-novogradnji-pogledom-more-oglas-41471104
07.02.2024.,393000,113,Šibensko-kninska,Šibenik - Okolica,Grebaštica,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/penthouse-pogledom-more-grebastica-113-m2-oglas-41195603
05.02.2024.,200000,84,Šibensko-kninska,Šibenik,Grad,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-sredistu-povijesne-jezgre-sibenika-84.00-m2-oglas-40473969
05.02.2024.,367669,99,Šibensko-kninska,Vodice,Srima,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-srima-116.00-m2-novogradnja-oglas-40473953
05.02.2024.,751452,192,Šibensko-kninska,Vodice,Srima,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/stan-srima-192.00-m2-novogradnja-oglas-40473949
01.02.2024.,295000,68,Šibensko-kninska,Šibenik - Okolica,Žaboriæ,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-zaboric-68.00-m2-novogradnja-50-m-mora-oglas-40473667
01.02.2024.,191000,50,Šibensko-kninska,Šibenik,Rokiæ,2-sobni,U kuæi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/novoredeni-stan-garazom-dvoristem-sibenik-50-m2-oglas-41616181
01.02.2024.,122000,51,Šibensko-kninska,Šibenik - Okolica,Bilice,1-sobni,U kuæi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/renoviran-namjesten-jednosoban-stan-kuci-sibenik-predgrade-51-m2-oglas-41738433
01.02.2024.,250000,71,Šibensko-kninska,Vodice,Vodice,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/s3-stan-vodicama-novogradnji-liftom-podzemnom-garazom-oglas-41486282
01.02.2024.,340000,97,Šibensko-kninska,Vodice,Vodice,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/s5-stan-vodicama-novogradnji-liftom-podzemnom-garazom-oglas-41486281
01.02.2024.,285000,81,Šibensko-kninska,Vodice,Vodice,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/s7-stan-vodicama-novogradnji-liftom-podzemnom-garazom-oglas-41486280
01.02.2024.,429000,116,Šibensko-kninska,Vodice,Vodice,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/s10-stan-vodicama-novogradnji-liftom-podzemnom-garazom-oglas-41486276
01.02.2024.,550000,134,Šibensko-kninska,Primošten,Primošten,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/luksuzni-stan-bazenom-pogledom-more-primosten-oglas-40575847
01.02.2024.,199000,72,Šibensko-kninska,Šibenik,Grad,3-sobni,U kuæi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-nedaleko-centra-grada-72.46-m2-oglas-40575842
28.01.2024.,222300,78,Šibensko-kninska,Vodice,Vodice,3-sobni,U stambenoj zgradi,Višeetažni,Unknown,A,2.,2023.,https://www.njuskalo.hr/nekretnine/stan-vodice-85.00-m2-novogradnja-oglas-41918548
26.01.2024.,230000,49,Šibensko-kninska,Šibenik - Okolica,Žaboriæ,2-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,Visoko prizemlje,2007.,https://www.njuskalo.hr/nekretnine/zanimljiv-stan-blizini-mora-zaboricu-oglas-42654244
25.01.2024.,295000,105,Šibensko-kninska,Šibenik - Okolica,Bilice,3-sobni,U kuæi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/sibenik-bilice-moderno-ureden-stan-100-m-mora-oglas-40990849
25.01.2024.,3840,100,Šibensko-kninska,Vodice,Vodice,3-sobni,U stambenoj zgradi,Višeetažni,Unknown,Unknown,Unknown,2024.,https://www.njuskalo.hr/nekretnine/luksuzni-stanovi-novoj-stambenoj-zgradi-650m-mora-vodice-oglas-41540810
24.01.2024.,210000,64,Šibensko-kninska,Rogoznica,Rogoznica,3-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,Prizemlje,2003.,https://www.njuskalo.hr/nekretnine/stan-rogoznica-64.00-m2-oglas-41667519
24.01.2024.,180000,64,Šibensko-kninska,Rogoznica,Rogoznica,2-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,Prizemlje,2002.,https://www.njuskalo.hr/nekretnine/stan-rogoznica-64.00-m2-oglas-41677811
23.01.2024.,300000,106,Šibensko-kninska,Primošten,Primošten Burnji,Garsonijera,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2023.,https://www.njuskalo.hr/nekretnine/dolac-primosten-atraktivna-novogradnja-oglas-42605487
23.01.2024.,300000,106,Šibensko-kninska,Primošten,Primošten Burnji,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,2023.,https://www.njuskalo.hr/nekretnine/dolac-primosten-atraktivan-apartman-novogradnja-oglas-42605483
21.01.2024.,199000,65,Šibensko-kninska,Šibenik,Grad,2-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,A,2.,Unknown,https://www.njuskalo.hr/nekretnine/prostoran-prekrasan-stan-gradskoj-jezgri-sibenik-65m2-oglas-42597308
19.01.2024.,215000,69,Šibensko-kninska,Šibenik,Crnica,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-sibenik-moderan-dvosobni-stan-oglas-42577670
19.01.2024.,267000,86,Šibensko-kninska,Šibenik,Crnica,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-sibenik-komforan-dvosobni-stan-oglas-42577668
19.01.2024.,260000,69,Šibensko-kninska,Šibenik,Crnica,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-sibenik-komforan-stan-krovnom-terasom-oglas-42577667
19.01.2024.,340000,90,Šibensko-kninska,Šibenik,Crnica,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-sibenik-3-soban-stan-krovnom-terasom-oglas-42577666
18.01.2024.,202368,46,Šibensko-kninska,Primošten,Primošten Burnji,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/primosten-dolac-atraktivan-apartman-blizu-mora-oglas-42569441
