Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
08.09.2023.,400000,80,Splitsko-dalmatinska,Split,Table,3-sobni,U stambenoj zgradi,Jednoeta�ni,Potpuno namje�ten,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/split-80-m2-2-apartmana-atraktivnoj-lokaciji-oglas-41352757
04.09.2023.,417000,89,Splitsko-dalmatinska,Dugi Rat,Dugi Rat,3-sobni,U stambenoj zgradi,Vi�eeta�ni,Potpuno namje�ten,A,1.,2018.,https://www.njuskalo.hr/nekretnine/prekasan-3-sobni-stan-89qm-pogledom-more-oglas-41324818
04.09.2023.,256000,128,Splitsko-dalmatinska,Podstrana,Podstrana,3-sobni,U stambenoj zgradi,Jednoeta�ni,Potpuno namje�ten,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/stan-prodaja-podstrana-128m2-oglas-35576625
04.09.2023.,310000,57,Splitsko-dalmatinska,Jelsa,Jelsa,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/hvar-jelsa-predivan-stan-atraktivnoj-lokaciji-centru-jelse-oglas-41318644
02.09.2023.,189500,63,Splitsko-dalmatinska,Okrug,Okrug Gornji,2-sobni,U stambenoj zgradi,Vi�eeta�ni,Unknown,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/dvosobni-stanovi-okrug-gornji-oglas-41302516
30.08.2023.,199000,62,Splitsko-dalmatinska,Okrug,Okrug Gornji,2-sobni,U stambenoj zgradi,Jednoeta�ni,Potpuno namje�ten,B,2.,2023.,https://www.njuskalo.hr/nekretnine/ciovo-okrug-g-2-soban-stan-62-m2-novogradnja-namjesten-pogled-more-oglas-41002814
28.08.2023.,139000,57,Splitsko-dalmatinska,Trogir,Saldun,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/apartman-ciovo-57.00-m2-oglas-40835832
25.08.2023.,250000,80,Splitsko-dalmatinska,Ka�tela,Ka�tel Gomilica,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/kastel-gomilica-kvalitetna-novogradnja-oglas-41243801
25.08.2023.,250000,80,Splitsko-dalmatinska,Ka�tela,Ka�tel Gomilica,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/kastel-gomilica-kvalitetna-novogradnja-oglas-41243800
25.08.2023.,250000,79,Splitsko-dalmatinska,Ka�tela,Ka�tel Gomilica,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/kastel-gomilica-kvalietna-novogradnja-oglas-41243799
