Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
07.04.2024.,127500,75,Virovitièko-podravska,Virovitica,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2011.,https://www.njuskalo.hr/nekretnine/stan-virovitica-75.00-m2-oglas-41290599
07.04.2024.,10000,55,Virovitièko-podravska,Èaðavica,Zvonimirovac,2-sobni,U kuæi,Jednoetažni,Za renoviranje,Unknown,Prizemlje,1960.,https://www.njuskalo.hr/nekretnine/stan-osijek-73.00-m2-oglas-41157713
04.04.2024.,106000,95,Virovitièko-podravska,Slatina,Slatina,4-sobni,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-slatina-86.00-m2-novogradnja-oglas-32583354
03.04.2024.,66720,63,Virovitièko-podravska,Slatina,Slatina,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,2008.,https://www.njuskalo.hr/nekretnine/stan-slatina-63.00-m2-oglas-42929139
02.04.2024.,71000,90,Virovitièko-podravska,Slatina,Slatina,3-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-slatina-90.00-m2-kolodvorska-16-oglas-37095579
02.04.2024.,125000,75,Virovitièko-podravska,Pitomaèa,Pitomaèa,4-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,A+,Prizemlje,2022.,https://www.njuskalo.hr/nekretnine/stan-pitomaca-75.00-m2-oglas-41596216
29.03.2024.,166500,90,Virovitièko-podravska,Virovitica,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,2.,2022.,https://www.njuskalo.hr/nekretnine/stan-virovitica-90.00-m2-novogradnja-oglas-38903838
26.03.2024.,105000,70,Virovitièko-podravska,Pitomaèa,Pitomaèa,2-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-pitomaca-70.00-m2-oglas-43268749
20.03.2024.,85100,46,Virovitièko-podravska,Virovitica,Centar,1-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,Potkrovlje,2023.,https://www.njuskalo.hr/nekretnine/stan-virovitica-46.00-m2-novogradnja-oglas-43208969
19.03.2024.,85000,54,Virovitièko-podravska,Virovitica,Centar,2-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,E,Prizemlje,1961.,https://www.njuskalo.hr/nekretnine/stan-54m-virovitica-oglas-43149600
19.03.2024.,27000,58,Virovitièko-podravska,Pitomaèa,Stari Gradac,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1965.,https://www.njuskalo.hr/nekretnine/stan-stari-gradac-58.00-m2-oglas-41389225
18.03.2024.,88000,70,Virovitièko-podravska,Slatina,Bakiæ,3-sobni,U kuæi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-centru-slatine-oglas-40787165
13.03.2024.,220000,111,Virovitièko-podravska,Virovitica,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,A,2.,2022.,https://www.njuskalo.hr/nekretnine/virovitica-111m2-centar-stan-oglas-42936309
13.03.2024.,165880,75,Virovitièko-podravska,Virovitica,Suvara,3-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,A,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-virovitica-96.00-m2-novogradnja-oglas-33322667
13.03.2024.,114004,51,Virovitièko-podravska,Virovitica,Centar,2-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,A,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-virovitica-42.00-m2-novogradnja-oglas-33322485
