Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
29.09.2023.,239000,67,Zadarska,Kolan,Mandre,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,2022.,https://www.njuskalo.hr/nekretnine/otok-pag-mandre-stan-visokokvalitetnoj-novogradnji-100m-mora-oglas-37559940
28.09.2023.,193000,64,Zadarska,Zadar,Skro�ini,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/zadar-skrocini-stan-s3-novogradnji-oglas-40753613
28.09.2023.,334000,111,Zadarska,Zadar,Skro�ini,3-sobni,U stambenoj zgradi,Dvoeta�ni,Unknown,Unknown,Penthouse,2024.,https://www.njuskalo.hr/nekretnine/zadar-skrocini-stan-s5-novogradnji-oglas-40753612
28.09.2023.,316000,105,Zadarska,Zadar,Skro�ini,3-sobni,U stambenoj zgradi,Dvoeta�ni,Unknown,Unknown,Penthouse,2024.,https://www.njuskalo.hr/nekretnine/zadar-skrocini-stan-s6-novogradnji-oglas-40753611
28.09.2023.,210000,70,Zadarska,Zadar,Borik,3-sobni,U stambenoj zgradi,Dvoeta�ni,Unknown,Unknown,2.,1987.,https://www.njuskalo.hr/nekretnine/zadar-borik-stan-krovnom-terasom-pogledom-more-oglas-40753608
28.09.2023.,360000,120,Zadarska,Zadar,Poluotok,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/poluotok-riva-stan-1-kat-odlicna-lokacija-oglas-26955741
28.09.2023.,410000,106,Zadarska,Suko�an,Suko�an,4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Penthouse,2024.,https://www.njuskalo.hr/nekretnine/zadar-sukosan-penthouse-novogradnji-oglas-41526645
28.09.2023.,340000,84,Zadarska,Suko�an,Suko�an,4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2022.,https://www.njuskalo.hr/nekretnine/zadar-sukosan-moderno-namjesten-stan-2-red-mora-oglas-41526644
26.09.2023.,450000,76,Zadarska,Zadar,Poluotok,2-sobni,U stambenoj zgradi,Jednoeta�ni,Potpuno namje�ten,D,1.,1965.,https://www.njuskalo.hr/nekretnine/ekskluzivne-2-sobe-poluotoku-prodaja-oglas-41513843
23.09.2023.,245000,72,Zadarska,Zadar,Brodarica,4-sobni,U stambenoj zgradi,Jednoeta�ni,Potpuno namje�ten,Unknown,2.,1985.,https://www.njuskalo.hr/nekretnine/zadar-maraska-park-stan-72.5-m2-miran-predio-oglas-41485647
20.09.2023.,250000,99,Zadarska,Zadar,Bulevar,3-sobni,U stambenoj zgradi,Jednoeta�ni,Nenamje�ten,Unknown,4.,Unknown,https://www.njuskalo.hr/nekretnine/bulevar-zadar-kompletno-renoviran-prostrani-stan-99m2-oglas-41462944
20.09.2023.,250000,50,Zadarska,Zadar,Bulevar,2-sobni,U stambenoj zgradi,Jednoeta�ni,Potpuno namje�ten,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/luksuzni-stan-50m2-bulevar-zadar-oglas-41462943
18.09.2023.,300000,60,Zadarska,Zadar,Borik,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,A,2.,2003.,https://www.njuskalo.hr/nekretnine/zadar-borik-stan-60.80-m2-blizina-plaze-odlicna-lokacija-oglas-41423678
12.09.2023.,155000,49,Zadarska,Zadar - Okolica,Petr�ane,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Suteren,2016.,https://www.njuskalo.hr/nekretnine/zadar-petrcane-simpatican-stan-blizini-mora-oglas-41379166
