Date,Price,Url
02.05.2024.,65000,https://www.njuskalo.hr/nekretnine/stan-gradiska-oglas-30671409
11.05.2024.,35000,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-25.00-m2-oglas-43707958
10.05.2024.,165000,https://www.njuskalo.hr/nekretnine/resetari-2s-db-68.56m2-165.000-oglas-43108877
09.05.2024.,88150,https://www.njuskalo.hr/nekretnine/stan-gradiska-55.97-m2-visoko-prizemlje-oglas-43670698
09.05.2024.,128117,https://www.njuskalo.hr/nekretnine/nas-z-frankopan-3sobni-stan-64-m2-pm-kat-oglas-42277506
09.05.2024.,185454,https://www.njuskalo.hr/nekretnine/ive-vojnovica-3sobni-stan-103-m2-vrtom-2pm-oglas-43545323
09.05.2024.,103950,https://www.njuskalo.hr/nekretnine/j-j-strossmayera-2sobni-stan-49-m2-iii-kat-lift-novogradnja-oglas-43281442
09.05.2024.,124124,https://www.njuskalo.hr/nekretnine/j-j-strossmayera-luksuzna-novogradnja-dvosoban-stan-52.60-m2-oglas-41803303
09.05.2024.,99000,https://www.njuskalo.hr/nekretnine/m-gupca-trosobni-stan-80-m2-kat-centr-plin-parking-oglas-37196683
09.05.2024.,140137,https://www.njuskalo.hr/nekretnine/budainka-novogradnja-3sobni-stan-73-m2-kat-oglas-43458708
09.05.2024.,85571,https://www.njuskalo.hr/nekretnine/budainka-novogradnja-garsonijera-prizemlju-povrsine-43-m2-oglas-43437741
09.05.2024.,116600,https://www.njuskalo.hr/nekretnine/najava-projekta-green-meadow-dvosobni-stan-53-m2-1-2-kat-novogradn-oglas-43264917
09.05.2024.,134200,https://www.njuskalo.hr/nekretnine/najava-projekta-green-meadow-dvosobni-stan-61-m2-vrt-32-m2-novogra-oglas-43264916
09.05.2024.,193200,https://www.njuskalo.hr/nekretnine/najava-projekta-green-meadow-4-sobni-stan-92-m2-prizemlje-vrtom-1-oglas-43256091
09.05.2024.,116445,https://www.njuskalo.hr/nekretnine/m-gupca-najava-projekta-novogradnja-stanovi-raznih-povrsina-55-1-oglas-41911527
09.05.2024.,143000,https://www.njuskalo.hr/nekretnine/j-j-strossmayera-luksuzna-novogradnja-dvosoban-stan-60-m2-oglas-41803278
09.05.2024.,91875,https://www.njuskalo.hr/nekretnine/nas-z-frankopan-dvosobni-stan-45-m2-kat-oglas-41986222
09.05.2024.,112850,https://www.njuskalo.hr/nekretnine/budainka-novogradnja-2sobni-stan-57-m2-kat-oglas-43458710
09.05.2024.,138972,https://www.njuskalo.hr/nekretnine/budainka-novogradnja-3sobni-stan-72-m2-kat-oglas-43458707
09.05.2024.,140800,https://www.njuskalo.hr/nekretnine/najava-projekta-green-meadow-oglas-43264915
09.05.2024.,116600,https://www.njuskalo.hr/nekretnine/stambeno-naselje-green-meadow-dvosobni-stan-53-m2-1-2-kat-novogra-oglas-43256094
09.05.2024.,130200,https://www.njuskalo.hr/nekretnine/najava-projekta-green-meadow-trosobni-stan-62-m2-1-2-kat-novogradn-oglas-43256092
09.05.2024.,282200,https://www.njuskalo.hr/nekretnine/j-j-strossmayera-luksuzna-novogradnja-penthouse-94.75-m2-oglas-41803276
09.05.2024.,91200,https://www.njuskalo.hr/nekretnine/novogradnja-stanovi-oglas-43325684
09.05.2024.,135000,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-62.7-m-potpuno-namjesten-oglas-43326338
08.05.2024.,220000,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-69.00-m2-novogradnja-oglas-41402510
