Date,Price,Url
30.05.2024.,74999,https://www.njuskalo.hr/nekretnine/prodaja-stan-grabrik-maksimilijana-vrhovca-1s-34m2-oglas-43878516
29.05.2024.,120000,https://www.njuskalo.hr/nekretnine/prodaja-stana-karlovac-102-m2-adaptaciju-oglas-43082298
29.05.2024.,300000,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-novogradnji-oglas-43013300
29.05.2024.,290000,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-novogradnji-oglas-43013299
29.05.2024.,129999,https://www.njuskalo.hr/nekretnine/prodaja-stan-centar-ivana-mestrovica-3s-70m2-oglas-43871345
29.05.2024.,53998,https://www.njuskalo.hr/nekretnine/prodaja-stan-duga-resa-tusmer-2s-65m2-oglas-43871315
29.05.2024.,47899,https://www.njuskalo.hr/nekretnine/prodaja-stan-duga-resa-bana-josipa-jelacica-26-garsonjera-25m2-oglas-43871313
29.05.2024.,117000,https://www.njuskalo.hr/nekretnine/stan-prodaja-karlovac-banija-90-m2-3-soban-oglas-43871082
29.05.2024.,59000,https://www.njuskalo.hr/nekretnine/stan-prodaja-karlovac-banija-46-m2-2-soban-oglas-43871081
28.05.2024.,79000,https://www.njuskalo.hr/nekretnine/karlovacka-zupanija-ogulin-prodaje-se-stan-51.27-m2-oglas-43854520
28.05.2024.,120000,https://www.njuskalo.hr/nekretnine/ogulin-obiteljski-stan-centru-oglas-43862231
28.05.2024.,120000,https://www.njuskalo.hr/nekretnine/ogulin-3s-kl-stan-parkingom-91-m2-oglas-43862121
27.05.2024.,245000,https://www.njuskalo.hr/nekretnine/karlovac-centar-predivan-salonski-stan-260m2-top-lokaciji-oglas-42267065
27.05.2024.,93000,https://www.njuskalo.hr/nekretnine/stan-prizemlju-kuce-dvoristem-centru-ogulina-oglas-40950019
25.05.2024.,225000,https://www.njuskalo.hr/nekretnine/stan-karlovac-103.00-m2-terasa-vrt-oglas-43844237
25.05.2024.,350000,https://www.njuskalo.hr/nekretnine/dvoetazni-penthouse-novogradnji-oglas-43013302
25.05.2024.,115000,https://www.njuskalo.hr/nekretnine/n-centar-2-60-m2-4-4-kat-2-loggie-novoureden-namjesten-oglas-43841579
25.05.2024.,79000,https://www.njuskalo.hr/nekretnine/vraza-1-33.5-m2-3-3kat-novoureden-pvc-klima-79-000-oglas-43841500
24.05.2024.,96000,https://www.njuskalo.hr/nekretnine/luscic-1.5-48m2-6-kat-et-centralno-lift-pvc-klima-novoureden-oglas-36009222
24.05.2024.,168937,https://www.njuskalo.hr/nekretnine/stan-karlovac-66.25-m2-novogradnja-oglas-42981231
24.05.2024.,85000,https://www.njuskalo.hr/nekretnine/etaza-kuce-2s-db-dvoriste-vrt-oglas-43564856
24.05.2024.,90000,https://www.njuskalo.hr/nekretnine/prostrani-trosobni-stan-oglas-42861259
24.05.2024.,133000,https://www.njuskalo.hr/nekretnine/stan-karlovac-svarca-62.00-m2-renoviran-namjesten-oglas-43287577
24.05.2024.,128000,https://www.njuskalo.hr/nekretnine/stan-karlovac-104.35-m2-dva-odvojena-stana-garaza-citajte-oglas-oglas-43407267
23.05.2024.,180000,https://www.njuskalo.hr/nekretnine/karlovac-centar-4-sobe-109-m2-1-kat-garaza-oglas-41548090
22.05.2024.,213000,https://www.njuskalo.hr/nekretnine/novogradnja-116m2-dvoetazni-stan-vrtom-oglas-40072904
21.05.2024.,65000,https://www.njuskalo.hr/nekretnine/hitna-prodaja-oglas-42736536
21.05.2024.,245000,https://www.njuskalo.hr/nekretnine/karlovac-zvijezda-djelomicno-renoviran-stan-258-m2-starom-centru-oglas-43757108
21.05.2024.,49600,https://www.njuskalo.hr/nekretnine/stan-duga-resa-34.00-m2-oglas-43229260
21.05.2024.,86070,https://www.njuskalo.hr/nekretnine/prodaja-stan-karlovac-zvijezda-45.30m2-oglas-43788026
20.05.2024.,182000,https://www.njuskalo.hr/nekretnine/prodaja-stan-karlovac-korzo-4skl-142.68m2-oglas-41925414
20.05.2024.,110000,https://www.njuskalo.hr/nekretnine/prodaja-stan-karlovac-zvijezda-4s-102m2-oglas-41925360
20.05.2024.,115000,https://www.njuskalo.hr/nekretnine/prodaja-stan-karlovac-v-holjevca-59.19m2-oglas-41925231
20.05.2024.,73430,https://www.njuskalo.hr/nekretnine/prodaja-stan-karlovac-mostanje-67.73m2-2s-oglas-41925461
20.05.2024.,90200,https://www.njuskalo.hr/nekretnine/prodaja-stan-karlovac-mostanje-82.32m2-2s-oglas-41925448
20.05.2024.,88000,https://www.njuskalo.hr/nekretnine/prodaja-stan-karlovac-mostanje-80.26m2-2s-oglas-41925450
20.05.2024.,165000,https://www.njuskalo.hr/nekretnine/prodaja-stan-poslovni-prostor-karlovac-centar-112.60m2-oglas-41925431
20.05.2024.,60000,https://www.njuskalo.hr/nekretnine/prodaja-stan-karlovac-banija-75m2-oglas-41925168
20.05.2024.,52800,https://www.njuskalo.hr/nekretnine/prodaja-stan-karlovac-banija-66m2-oglas-41925154
20.05.2024.,185079,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-stan-karlovac-svarca-97.41m2-2s-db-oglas-42577719
20.05.2024.,94222,https://www.njuskalo.hr/nekretnine/stan-karlovac-36.95-m2-novogradnja-oglas-42981041
20.05.2024.,132906,https://www.njuskalo.hr/nekretnine/stan-karlovac-52.12-m2-novogradnja-oglas-42981272
18.05.2024.,80000,https://www.njuskalo.hr/nekretnine/stan-macekova-preko-puta-hollywoodu-oglas-42884029
18.05.2024.,120000,https://www.njuskalo.hr/nekretnine/stan-karlovac-60.00-m2-oglas-43759997
18.05.2024.,191250,https://www.njuskalo.hr/nekretnine/stan-karlovac-85.00-m2-oglas-43759896
17.05.2024.,399000,https://www.njuskalo.hr/nekretnine/prodaja-stana-karlovac-oglas-42888344
16.05.2024.,60000,https://www.njuskalo.hr/nekretnine/stan-karlovac-27.00-m2-oglas-43748286
16.05.2024.,80000,https://www.njuskalo.hr/nekretnine/stan-karlovac-37.00-m2-oglas-43748241
16.05.2024.,267500,https://www.njuskalo.hr/nekretnine/karlovac-okolica-stan-urbanoj-vili-2s-db-81-m2-oglas-42605948
16.05.2024.,199500,https://www.njuskalo.hr/nekretnine/okolica-karlovca-stan-novogradnji-66.5-m2-1s-db-oglas-42605947
