Date,Price,Url
04.05.2024.,167980,https://www.njuskalo.hr/nekretnine/stan-sveti-kriz-zacretje-centar-90.80-m2-parking-oglas-38830876
03.05.2024.,119000,https://www.njuskalo.hr/nekretnine/zabok-stan-strogi-centar-oglas-43177308
12.05.2024.,209000,https://www.njuskalo.hr/nekretnine/prodaja-stan-zabok-matije-gupca-3s-72m2-oglas-43712624
11.05.2024.,209000,https://www.njuskalo.hr/nekretnine/zabok-prodaje-se-stan-centru-oglas-42965161
10.05.2024.,155000,https://www.njuskalo.hr/nekretnine/donja-stubica-novogradnja-oglas-43151486
10.05.2024.,155000,https://www.njuskalo.hr/nekretnine/donja-stubica-novogradnja-oglas-43207210
10.05.2024.,155000,https://www.njuskalo.hr/nekretnine/donja-stubica-novogradnja-oglas-43151483
10.05.2024.,129000,https://www.njuskalo.hr/nekretnine/krapinske-toplice-centar-dvosobni-stan-67m2-2-katu-oglas-43574996
09.05.2024.,145000,https://www.njuskalo.hr/nekretnine/stan-druzilovec-82.00-m2-oglas-41202336
09.05.2024.,108000,https://www.njuskalo.hr/nekretnine/stan-krapina-62m-oglas-43271971
09.05.2024.,250000,https://www.njuskalo.hr/nekretnine/penthouse-zabok-96.00-m2-novogradnja-gpm-spremiste-oglas-42649847
09.05.2024.,95000,https://www.njuskalo.hr/nekretnine/stan-65-kvadrata-oglas-43694794
09.05.2024.,105000,https://www.njuskalo.hr/nekretnine/1-sobni-stan-49-m2-krapinske-toplice-oglas-43694368
09.05.2024.,140000,https://www.njuskalo.hr/nekretnine/krapina-centar-izuzetan-stan-93m2-perkirno-mjesto-ostava-oglas-42863071
09.05.2024.,240000,https://www.njuskalo.hr/nekretnine/stan-krapini-oglas-43163679
08.05.2024.,110000,https://www.njuskalo.hr/nekretnine/stan-krapinske-toplice-centar-45-m2-oglas-43467031
08.05.2024.,2900,https://www.njuskalo.hr/nekretnine/stan-zabok-stanovi-prodaji-67-163-m2-centar-5-min-2-4-sobni-oglas-43268910
08.05.2024.,475223,https://www.njuskalo.hr/nekretnine/s4-stan-zabok-163.00-m2-loggia-balkon-2-vpm-potkrovlje-razno-oglas-43268718
08.05.2024.,246065,https://www.njuskalo.hr/nekretnine/1-stan-zabok-75.00-m2-3-sobni-terasa-vrt-vpm-oglas-43260191
08.05.2024.,185000,https://www.njuskalo.hr/nekretnine/stan-97m2-renovirano-centar-sv-kriz-zacretje-oglas-42745318
08.05.2024.,149000,https://www.njuskalo.hr/nekretnine/stan-62.12m2-centar-zaboka-novogradnja-dostupan-oglas-42283720
08.05.2024.,147000,https://www.njuskalo.hr/nekretnine/stan-61.28m2-centar-zaboka-novogradnja-dostupno-oglas-42283719
08.05.2024.,88000,https://www.njuskalo.hr/nekretnine/prekrasan-novoadaptirani-stan-37.71m2-st-toplice-oglas-41295980
08.05.2024.,59900,https://www.njuskalo.hr/nekretnine/stan-novogradnja-36m2-oroslavje-oglas-40296837
08.05.2024.,201000,https://www.njuskalo.hr/nekretnine/stan-90.51m2-centar-zaboka-novogradnja-dostupan-oglas-42283718
08.05.2024.,151000,https://www.njuskalo.hr/nekretnine/stan-62.12m2-centar-zaboka-novogradnja-dostupan-oglas-42283717
08.05.2024.,145000,https://www.njuskalo.hr/nekretnine/stan-61.28m2-centar-zaboka-novogradnja-dostupno-oglas-42283716
08.05.2024.,145000,https://www.njuskalo.hr/nekretnine/stanovi-61m2-90m2-centar-zaboka-novogradnja-oglas-42283714
08.05.2024.,155000,https://www.njuskalo.hr/nekretnine/stan-drugi-kat-87m2-novogradnja-donja-stubica-oglas-41784157
08.05.2024.,155000,https://www.njuskalo.hr/nekretnine/stan-prizemlje-87m2-novogradnja-donja-stubica-oglas-41784156
08.05.2024.,155000,https://www.njuskalo.hr/nekretnine/stan-prvi-kat-87m2-novogradnja-donja-stubica-oglas-41784155
08.05.2024.,75000,https://www.njuskalo.hr/nekretnine/stan-zlatar-bistrica-63.00-m2-prodaja-oglas-41631839
08.05.2024.,169200,https://www.njuskalo.hr/nekretnine/novogradnja-centru-zlatara-stan-71.40m2-oglas-42979469
08.05.2024.,153900,https://www.njuskalo.hr/nekretnine/novogradnja-centru-zlatara-stan-74.72m2-oglas-42962628
08.05.2024.,146900,https://www.njuskalo.hr/nekretnine/novogradnja-centru-zlatara-stan-61.99m2-oglas-42962625
08.05.2024.,149000,https://www.njuskalo.hr/nekretnine/stan-62.12m2-centar-zaboka-novogradnja-dostupan-oglas-42283722
07.05.2024.,65000,https://www.njuskalo.hr/nekretnine/novogradnja-moguca-kupnja-preko-apn-a-oglas-40183841
07.05.2024.,145000,https://www.njuskalo.hr/nekretnine/troetazni-stan-150-m2-centru-zlatara-oglas-42805009
06.05.2024.,80000,https://www.njuskalo.hr/nekretnine/stubicke-toplice-centar-2-sobni-stan-potkrovlju-50m2-parking-oglas-34320184
06.05.2024.,106000,https://www.njuskalo.hr/nekretnine/krapinske-toplice-centar-2-sobni-stan-45m2-pm-lift-balkon-oglas-43456069
06.05.2024.,130000,https://www.njuskalo.hr/nekretnine/stan-centar-zaboka-dvoristem-spremistem-parkirnim-mjestom-oglas-41989061
06.05.2024.,104272,https://www.njuskalo.hr/nekretnine/stan-pregrada-59.77-m2-novogradnja-oglas-43663841
05.05.2024.,35000,https://www.njuskalo.hr/nekretnine/stan-krapina-37.20-m2-oglas-43657797
05.05.2024.,65000,https://www.njuskalo.hr/nekretnine/stanovi-adresi-zagrebacka-ul-4-krapinske-toplice-oglas-39480704
04.05.2024.,71000,https://www.njuskalo.hr/nekretnine/konjscina-stan-57-m2-1-kat-oglas-41729750
03.05.2024.,200000,https://www.njuskalo.hr/nekretnine/zabok-novogradnja-stan-90.5-m-oglas-42474042
03.05.2024.,145000,https://www.njuskalo.hr/nekretnine/zabok-stan-61.28-m-novogradnja-oglas-42474040
03.05.2024.,149000,https://www.njuskalo.hr/nekretnine/zabok-centar-stan-62.10-m-novogradnja-oglas-42474041
03.05.2024.,1790,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-109.00-m2-novogradnja-oglas-38895519
03.05.2024.,145000,https://www.njuskalo.hr/nekretnine/stan-zlatar-104.00-m2-novogradnja-oglas-41579528
03.05.2024.,95000,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-52.00-m2-oglas-41384497
03.05.2024.,239000,https://www.njuskalo.hr/nekretnine/stan-zabok-150.00-m2-oglas-43220263
03.05.2024.,137000,https://www.njuskalo.hr/nekretnine/stan-pregrada-78.53-m2-novogradnja-oglas-39474358
03.05.2024.,70000,https://www.njuskalo.hr/nekretnine/konjscina-visoko-prizemlje-75-m2-3-soban-stan-oglas-43334883
03.05.2024.,70000,https://www.njuskalo.hr/nekretnine/konjscina-visoko-prizemlje-75-m2-3-soban-stan-oglas-43334882
03.05.2024.,75000,https://www.njuskalo.hr/nekretnine/stan-klanjec-48.00-m2-oglas-43606290
30.04.2024.,130000,https://www.njuskalo.hr/nekretnine/zagorje-zabok-2s-stan-balkonom-oglas-39981212
30.04.2024.,210000,https://www.njuskalo.hr/nekretnine/krapinske-toplice-centar-novogradnja-stan-84m2-terasa-dvoriste-oglas-39802898
30.04.2024.,209000,https://www.njuskalo.hr/nekretnine/stan-zabok-72.00-m2-oglas-43595351
30.04.2024.,210000,https://www.njuskalo.hr/nekretnine/stan-kuci-dvoriste-centru-krapine-369.41m2-oglas-37795165
28.04.2024.,285000,https://www.njuskalo.hr/nekretnine/vrhovi-pregrade-resonant-living-oglas-38890394
28.04.2024.,195000,https://www.njuskalo.hr/nekretnine/stan-pregrada-72.00-m2-novogradnja-oglas-38977693
28.04.2024.,215000,https://www.njuskalo.hr/nekretnine/vrhovi-pregrade-stan-87m2-oglas-38977305
26.04.2024.,125000,https://www.njuskalo.hr/nekretnine/stan-zabok-65.5-m2-8-m2-balkona-oglas-24401292
26.04.2024.,195000,https://www.njuskalo.hr/nekretnine/luksuzna-oaza-zelenilu-oglas-43012563
26.04.2024.,215000,https://www.njuskalo.hr/nekretnine/luksuzna-oaza-zelenilu-oglas-43012560
26.04.2024.,285000,https://www.njuskalo.hr/nekretnine/penthouse-zelenilu-nadomak-zagreba-oglas-43012556
26.04.2024.,145000,https://www.njuskalo.hr/nekretnine/stan-veliko-trgovisce-druzilovec-84-m2-oglas-43565536
25.04.2024.,70000,https://www.njuskalo.hr/nekretnine/stan-oroslavje-andrije-gredicaka-3h-32.00-m2-oglas-33954524
24.04.2024.,76526,https://www.njuskalo.hr/nekretnine/dvosoban-stan-konjscini-oglas-42445879
23.04.2024.,88435,https://www.njuskalo.hr/nekretnine/stan-mokrice-116.00-m2-oglas-41399732
22.04.2024.,145000,https://www.njuskalo.hr/nekretnine/novogradnja-zabok-dvosobni-stan-oglas-42699857
22.04.2024.,149000,https://www.njuskalo.hr/nekretnine/novogradnja-zabok-trosobni-stan-oglas-42699844
22.04.2024.,149000,https://www.njuskalo.hr/nekretnine/novogradnja-zabok-oglas-42653952
22.04.2024.,135000,https://www.njuskalo.hr/nekretnine/stan-130-m2-centru-zlatara-oglas-42805012
20.04.2024.,130000,https://www.njuskalo.hr/nekretnine/stan-uzem-centru-zaboka-oglas-39127445
20.04.2024.,220000,https://www.njuskalo.hr/nekretnine/sveti-kriz-zacretje-stan-prodaju-oglas-40657945
14.04.2024.,175000,https://www.njuskalo.hr/nekretnine/stan-krapinske-toplice-72.00-m2-novogradnja-oglas-42271734
03.04.2024.,159000,https://www.njuskalo.hr/nekretnine/prodaje-se-stan-zaboku-oglas-43314887
03.04.2024.,115000,https://www.njuskalo.hr/nekretnine/stan-donja-stubica-75.00-m2-oglas-42898904
03.04.2024.,1790,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-67.00-m2-novogradnja-oglas-42898555
03.04.2024.,145000,https://www.njuskalo.hr/nekretnine/stan-zlatar-140.00-m2-novogradnja-oglas-41590983
03.04.2024.,135000,https://www.njuskalo.hr/nekretnine/stan-zlatar-123.00-m2-novogradnja-oglas-41590893
03.04.2024.,85000,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-63.00-m2-oglas-38886360
03.04.2024.,1500,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-88.00-m2-oglas-37043530
03.04.2024.,168000,https://www.njuskalo.hr/nekretnine/pregrada-centar-stan-93m2-netto-novogradnja-oglas-42907041
03.04.2024.,120000,https://www.njuskalo.hr/nekretnine/krapinske-toplice-stan-69m2-sjajna-lokacija-mirna-ulica-zelenilo-oglas-40992628
02.04.2024.,295000,https://www.njuskalo.hr/nekretnine/stan-prodaja-oroslavje-160-m2-4-soban-oglas-42871941
25.03.2024.,188000,https://www.njuskalo.hr/nekretnine/stan-pregrada-103.00-m2-novogradnja-oglas-39183512
28.02.2024.,228000,https://www.njuskalo.hr/nekretnine/stan-veliko-trgovisce-75.00-m2-novogradnja-oglas-42999952
27.02.2024.,28000,https://www.njuskalo.hr/nekretnine/stan-donja-stubica-40.00-m2-oglas-42991784
25.02.2024.,2000,https://www.njuskalo.hr/nekretnine/stan-lug-zabocki-55.00-m2-novogradnja-prizemlje-oglas-41966157
25.02.2024.,2000,https://www.njuskalo.hr/nekretnine/stan-lug-zabocki-60.00-m2-novogradnja-kat-oglas-41966217
25.02.2024.,2000,https://www.njuskalo.hr/nekretnine/stan-lug-zabocki-60.00-m2-novogradnja-potkrovlje-oglas-41966301
15.02.2024.,155000,https://www.njuskalo.hr/nekretnine/prodaja-stan-donja-stubica-toplicka-3s-87m2-oglas-42880845
15.02.2024.,155000,https://www.njuskalo.hr/nekretnine/prodaja-stan-donja-stubica-toplicka-3s-87m2-oglas-42880841
06.02.2024.,105000,https://www.njuskalo.hr/nekretnine/stan-konjscina-zagrebacka-cesta-10a-oglas-38344485
22.12.2023.,86300,https://www.njuskalo.hr/nekretnine/stan-prizemlju-zaseban-ulaz-iza-zgrade-prilaz-invalide-terasa-oglas-39228117
06.12.2023.,200000,https://www.njuskalo.hr/nekretnine/stan-zabok-90.00-m2-novogradnja-oglas-41510672
06.12.2023.,145000,https://www.njuskalo.hr/nekretnine/stan-zabok-61.00-m2-novogradnja-oglas-41510631
