Date,Price,Url
29.05.2024.,210000,https://www.njuskalo.hr/nekretnine/stan-osijek-90.61-m2-novogradnja-oglas-40386200
29.05.2024.,154710,https://www.njuskalo.hr/nekretnine/trosobni-stan-73-m2-treci-kat-divaltova-izgradnji-oglas-42452655
29.05.2024.,104500,https://www.njuskalo.hr/nekretnine/s4-dvosobni-stan-1-kat-47.50-m2-pocetak-visnjevca-oglas-41109201
28.05.2024.,350000,https://www.njuskalo.hr/nekretnine/stan-osijek-91.00-m2-novogradnja-oglas-39903838
15.05.2024.,145990,https://www.njuskalo.hr/nekretnine/s2-trosobni-stan-prizemlje-69.59-m2-pocetak-visnjevca-oglas-41109199
27.03.2024.,195000,https://www.njuskalo.hr/nekretnine/cetverosoban-stan-drugom-katu-novogradnja-oglas-41912016
30.05.2024.,2300,https://www.njuskalo.hr/nekretnine/centar-prizemlje-dvorisni-vrt-2-parkirna-mjesta-128.00-m2-oglas-43842965
30.05.2024.,120000,https://www.njuskalo.hr/nekretnine/stan-osijek-60.00-m2-oglas-42699229
30.05.2024.,2500,https://www.njuskalo.hr/nekretnine/novogradnja-oglas-43297093
30.05.2024.,103546,https://www.njuskalo.hr/nekretnine/stan-osijek-45.00-m2-novogradnja-oglas-43794541
30.05.2024.,114770,https://www.njuskalo.hr/nekretnine/stan-osijek-49.00-m2-novogradnja-oglas-43740565
30.05.2024.,97405,https://www.njuskalo.hr/nekretnine/stan-osijek-42.35-m2-novogradnja-oglas-40880549
30.05.2024.,103937,https://www.njuskalo.hr/nekretnine/stan-vukovarska-222-osijek-45.19-m2-novogradnja-prizemlje-oglas-40880537
30.05.2024.,101131,https://www.njuskalo.hr/nekretnine/stan-vukovarska-222-osijek-43.97-m2-novogradnja-oglas-40633597
30.05.2024.,143014,https://www.njuskalo.hr/nekretnine/stan-vukovarska-222-osijek-60.19-m2-novogradnja-oglas-40624726
30.05.2024.,2700,https://www.njuskalo.hr/nekretnine/ekskluzivan-cetverosobni-stan-dvoriste-prizemlje-oglas-43129463
30.05.2024.,2700,https://www.njuskalo.hr/nekretnine/ekskluzivan-cetverosobni-stan-1-kat-oglas-43129562
