Date,Price,Url
10.05.2024.,29900,https://www.njuskalo.hr/nekretnine/stan-marino-selo-76.00-m2-p-r-l-k-a-oglas-38906335
08.05.2024.,79999,https://www.njuskalo.hr/nekretnine/stan-gradiska-57-m2-oglas-9857630
06.05.2024.,56000,https://www.njuskalo.hr/nekretnine/stan-pozega-90.00-m2-oglas-34359583
04.05.2024.,70000,https://www.njuskalo.hr/nekretnine/stan-pozegi-oglas-43123401
23.04.2024.,50000,https://www.njuskalo.hr/nekretnine/stan-pozega-antuna-gustava-matosa-30-p-58.69-m2-oglas-39442557
23.04.2024.,55000,https://www.njuskalo.hr/nekretnine/stan-pozega-65.67-m2-oglas-32229795
16.04.2024.,358000,https://www.njuskalo.hr/nekretnine/porec-vranici-4sb-db-226.14m2-porec-luksuzna-dvojna-vila-oglas-42103206
12.04.2024.,89900,https://www.njuskalo.hr/nekretnine/stan-pakrac-90-m2-1-kat-strogi-centar-luksuzan-prostran-oglas-43430978
26.03.2024.,34000,https://www.njuskalo.hr/nekretnine/stan-kutjevo-70.05-m2-oglas-42741072
26.03.2024.,50000,https://www.njuskalo.hr/nekretnine/stan-pozega-antuna-gustava-matosa-30-p-58.69-m2-oglas-40503692
18.03.2024.,158000,https://www.njuskalo.hr/nekretnine/stan-pozega-76.00-m2-novogradnja-oglas-43202355
