Date,Price,Url
29.05.2024.,54000,https://www.njuskalo.hr/nekretnine/2s-stan-sisak-blizina-centra-oglas-43134698
30.05.2024.,105000,https://www.njuskalo.hr/nekretnine/stan-sisak-centar-144.95-m2-5-sobni-90-m2-podrum-dvoriste-oglas-43408189
29.05.2024.,85000,https://www.njuskalo.hr/nekretnine/stan-sisku-60.05-m2-brzaj-oglas-41638892
28.05.2024.,63000,https://www.njuskalo.hr/nekretnine/sisak-dvosoban-50m2-oglas-43410786
22.05.2024.,70000,https://www.njuskalo.hr/nekretnine/stan-sisak-55.00-m2-oglas-43801586
21.05.2024.,102480,https://www.njuskalo.hr/nekretnine/stan-sisak-85.00-m2-oglas-43790742
20.05.2024.,115000,https://www.njuskalo.hr/nekretnine/stan-sisak-80.00-m2-oglas-42921288
20.05.2024.,105000,https://www.njuskalo.hr/nekretnine/prodaje-se-dvosobni-stan-sisku-odlicnoj-lokaciji-oglas-41624274
20.05.2024.,140000,https://www.njuskalo.hr/nekretnine/stan-sisak-77.80-m2-oglas-43774698
15.05.2024.,64000,https://www.njuskalo.hr/nekretnine/stan-sisak-56.00-m2-oglas-43305480
14.05.2024.,95000,https://www.njuskalo.hr/nekretnine/stan-sisak-centar-vis-prizemlje-oglas-43507565
14.05.2024.,105000,https://www.njuskalo.hr/nekretnine/novoadaptirani-stan-zibelu-52.00-m2-oglas-43458490
13.05.2024.,77000,https://www.njuskalo.hr/nekretnine/stan-kutina-94.00-m2-3-soban-terasa-garaza-vrt-prodaja-oglas-40394243
09.05.2024.,79000,https://www.njuskalo.hr/nekretnine/stan-novska-48.00-m2-novogradnja-oglas-43171126
06.05.2024.,42000,https://www.njuskalo.hr/nekretnine/stan-sisak-restauraciju-lokacija-oglas-42506224
04.05.2024.,63500,https://www.njuskalo.hr/nekretnine/prodaje-se-stan-sisak-44m2-oglas-43649245
30.04.2024.,1590,https://www.njuskalo.hr/nekretnine/stan-brestaca-1.00-m2-oglas-40416796
29.04.2024.,80600,https://www.njuskalo.hr/nekretnine/prodajem-stan-62-m2-sisak-trg-mestrovica-22-tel-0955885718-oglas-41505842
29.04.2024.,87000,https://www.njuskalo.hr/nekretnine/stan-sisak-67.00-m2-oglas-41997385
27.04.2024.,78000,https://www.njuskalo.hr/nekretnine/stan-sisak-60.85-m2-oglas-43577771
26.04.2024.,96500,https://www.njuskalo.hr/nekretnine/stan-sisak-57.00-m2-oglas-43568827
23.04.2024.,89000,https://www.njuskalo.hr/nekretnine/stan-kutina-82.00-m2-oglas-43544168
23.04.2024.,74000,https://www.njuskalo.hr/nekretnine/stan-kutina-prvi-kat-oglas-40292257
21.04.2024.,32000,https://www.njuskalo.hr/nekretnine/stan-hrvatskoj-kostajnici-prodajem-oglas-43519471
18.04.2024.,61600,https://www.njuskalo.hr/nekretnine/dvosoban-stan-centru-sisak-44.00-m2-oglas-43500605
17.04.2024.,100000,https://www.njuskalo.hr/nekretnine/stan-kutina-73.5-m2-oglas-43469466
04.04.2024.,130000,https://www.njuskalo.hr/nekretnine/trosobni-stan-oglas-43336230
03.04.2024.,80000,https://www.njuskalo.hr/nekretnine/stan-sisak-76.00-m2-oglas-42648706
03.04.2024.,65000,https://www.njuskalo.hr/nekretnine/stan-sisak-57.00-m2-oglas-41670381
03.04.2024.,64000,https://www.njuskalo.hr/nekretnine/stan-sisak-80.00-m2-oglas-41061909
03.04.2024.,19000,https://www.njuskalo.hr/nekretnine/stan-sisak-32.00-m2-oglas-40884696
03.04.2024.,70600,https://www.njuskalo.hr/nekretnine/stan-sisak-54.00-m2-oglas-39607871
03.04.2024.,80000,https://www.njuskalo.hr/nekretnine/stan-sisak-74.00-m2-oglas-39463138
03.04.2024.,60000,https://www.njuskalo.hr/nekretnine/stan-petrinja-58.00-m2-oglas-38629296
19.03.2024.,83000,https://www.njuskalo.hr/nekretnine/stan-sisak-51.00-m2-oglas-43212843
19.03.2024.,70000,https://www.njuskalo.hr/nekretnine/stan-sisak-69.00-m2-oglas-43208424
11.01.2024.,145000,https://www.njuskalo.hr/nekretnine/prodajem-4-sobni-stan-98.7-m-2-centralno-grijanje-klima-izo-stolarija-oglas-42491116
08.08.2023.,106000,https://www.njuskalo.hr/nekretnine/stan-novska-62.09-m2-oglas-41130212
07.06.2023.,73000,https://www.njuskalo.hr/nekretnine/stan-zeljezara-49-m2-oglas-40641109
01.02.2022.,47500,https://www.njuskalo.hr/nekretnine/stan-prodaja-centar-51.5m2-oglas-34830008
