Date,Price,Url
29.05.2024.,188000,https://www.njuskalo.hr/nekretnine/varazdin-banfica-novoureden-3-soban-stan-spreman-useljenje-78.7-m2-oglas-43873930
26.05.2024.,247450,https://www.njuskalo.hr/nekretnine/stan-varazdin-101.00-m2-novogradnja-oglas-41504214
24.04.2024.,148660,https://www.njuskalo.hr/nekretnine/stan-varazdin-kucan-marof-3-sobni-67.57-m2-novogradnja-urbana-vila-oglas-43216127
24.04.2024.,182000,https://www.njuskalo.hr/nekretnine/stan-varazdin-banfica-70-m2-odlicna-lokacija-blizini-centra-oglas-42940574
30.05.2024.,125000,https://www.njuskalo.hr/nekretnine/stan-varazdinske-toplice-85.00-m2-oglas-42597524
30.05.2024.,99999,https://www.njuskalo.hr/nekretnine/varazdin-garsonijera-24m2-stari-grad-strogi-centar-oglas-43686635
30.05.2024.,188000,https://www.njuskalo.hr/nekretnine/varazdin-80.00-m2-vrhunski-ureden-kompletno-namjesten-garaza-2-lifta-oglas-43712302
30.05.2024.,115000,https://www.njuskalo.hr/nekretnine/stan-varazdin-56.00-m2-oglas-43539581
30.05.2024.,140000,https://www.njuskalo.hr/nekretnine/stan-varazdin-54.00-m2-oglas-43516078
30.05.2024.,185000,https://www.njuskalo.hr/nekretnine/atraktivni-stan-galerijom-79-m2-oglas-40730762
30.05.2024.,120000,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-51-m2-oglas-42584775
30.05.2024.,110000,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-49m2-oglas-41763219
30.05.2024.,300000,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-86-m2-ekskluzivna-lokacija-oglas-39468596
30.05.2024.,149900,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-70.50-m2-oglas-36498958
30.05.2024.,145000,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-50-m2-namjesteno-oglas-43706615
30.05.2024.,115200,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-96-m2-150.000-oglas-39216443
30.05.2024.,287100,https://www.njuskalo.hr/nekretnine/varazdin-novogradnja-2-etazni-4-sobni-stan-114.84-m2-vrt-parking-oglas-43879692
30.05.2024.,115000,https://www.njuskalo.hr/nekretnine/varazdin-v-novaka-trosobni-stan-58.60-m2-oglas-41872073
30.05.2024.,80000,https://www.njuskalo.hr/nekretnine/varazdin-texas-stan-kuci-oglas-43566485
30.05.2024.,185000,https://www.njuskalo.hr/nekretnine/varazdin-centar-cetverosobni-stan-119.55-m2-oglas-42632519
30.05.2024.,194416,https://www.njuskalo.hr/nekretnine/varazdin-novogradnja-stanovi-67.04-m2-150.96-m2-novogradnja-oglas-42201864
30.05.2024.,288000,https://www.njuskalo.hr/nekretnine/novogradnja-zavrsna-faza-izgradnje-4-stan-115-m2-hallers-varaz-oglas-42224207
30.05.2024.,180000,https://www.njuskalo.hr/nekretnine/stan-dvoetazni-pos-naselju-varazdin-80.00-m2-prodaja-oglas-41361330
30.05.2024.,188000,https://www.njuskalo.hr/nekretnine/3-soban-stan-78-m2-9-kat-lift-banfica-varazdin-prodaja-oglas-43877373
29.05.2024.,170000,https://www.njuskalo.hr/nekretnine/prodajem-lijepi-3-sobni-stan-oglas-42942414
29.05.2024.,265491,https://www.njuskalo.hr/nekretnine/varazdin-niskoenergetska-novogradnja-4-sobni-stan-98.33-m2-oglas-42905040
29.05.2024.,201500,https://www.njuskalo.hr/nekretnine/varazdin-odlican-3-sobni-penhouse-bruto-128-m2-novogradnja-oglas-42341484
29.05.2024.,2000,https://www.njuskalo.hr/nekretnine/varazdin-ekskluzivno-stan-145.65-m2-0-provizije-kupca-oglas-41530332
29.05.2024.,200000,https://www.njuskalo.hr/nekretnine/varazdin-gradska-jezgra-5-sobni-stan-180-m2-pogodan-ured-oglas-38901922
29.05.2024.,259725,https://www.njuskalo.hr/nekretnine/varazdin-niskoenergetska-novogradnja-stan-103.89-m2-garaza-oglas-43747529
29.05.2024.,320619,https://www.njuskalo.hr/nekretnine/varazdin-novogradnja-3-sobni-stan-terasa-dvoriste-2-parking-mjesta-oglas-42959042
29.05.2024.,207630,https://www.njuskalo.hr/nekretnine/varazdin-novogradnja-3-sobni-stan-odlicna-lokacija-oglas-42449927
29.05.2024.,245696,https://www.njuskalo.hr/nekretnine/varazdin-3-sobni-stan-70.28-m2-visokokvalitetnoj-novoradnji-oglas-38673664
29.05.2024.,222248,https://www.njuskalo.hr/nekretnine/varazdin-3-sobni-stan-67.58-m2-visokokvalitetnoj-novoradnji-oglas-38484052
29.05.2024.,228696,https://www.njuskalo.hr/nekretnine/varazdin-centar-3-sobni-stan-84-m2-novogradnja-pretprodaja-oglas-36676680
29.05.2024.,115128,https://www.njuskalo.hr/nekretnine/varazdin-3-soban-stan-95.94-m2-blizina-centra-naslovna-oglas-41982361
29.05.2024.,204000,https://www.njuskalo.hr/nekretnine/stan-varazdin-59.00-m2-novogradnja-oglas-43089905
29.05.2024.,330000,https://www.njuskalo.hr/nekretnine/penthouse-najljepsim-pogledom-varazdinu-oglas-43420832
29.05.2024.,259616,https://www.njuskalo.hr/nekretnine/novogradnja-najuzem-centru-varazdina-oglas-41378604
29.05.2024.,228696,https://www.njuskalo.hr/nekretnine/prekrasan-stan-smart-home-sistem-oglas-41615923
29.05.2024.,348740,https://www.njuskalo.hr/nekretnine/novogradnja-najuzem-centru-varazdina-oglas-41378607
29.05.2024.,279272,https://www.njuskalo.hr/nekretnine/novogradnja-najuzem-centru-varazdina-oglas-41378606
29.05.2024.,199220,https://www.njuskalo.hr/nekretnine/novogradnja-najuzem-centru-varazdina-oglas-41378605
29.05.2024.,90000,https://www.njuskalo.hr/nekretnine/trosobni-stan-banfica-4-katu-oglas-40029205
29.05.2024.,450000,https://www.njuskalo.hr/nekretnine/dva-stana-centar-varazdina-oglas-41386834
29.05.2024.,299000,https://www.njuskalo.hr/nekretnine/varazdin-centar-stan-144m2-kat-oglas-43743471
29.05.2024.,103000,https://www.njuskalo.hr/nekretnine/prodaja-stan-varazdin-56m2-oglas-42358770
29.05.2024.,475000,https://www.njuskalo.hr/nekretnine/centar-grada-prekrasan-stan-dvoristem-pogled-stari-grad-oglas-38213528
29.05.2024.,120000,https://www.njuskalo.hr/nekretnine/rezidencijalna-nekretnina-centru-varazdina-oglas-41272440
29.05.2024.,298497,https://www.njuskalo.hr/nekretnine/pretprodaja-3-stan-102.93-m2-2-kat-varazdin-centar-prodaja-oglas-40257272
29.05.2024.,175000,https://www.njuskalo.hr/nekretnine/stan-varazdin-62.30-m2-balkon-spremiste-oglas-43466602
29.05.2024.,200000,https://www.njuskalo.hr/nekretnine/stan-varazdin-180m2-strogi-centar-parking-top-lokacija-oglas-39925426
29.05.2024.,185000,https://www.njuskalo.hr/nekretnine/prodaja-stan-varazdin-120m2-centar-garaza-oglas-38681457
29.05.2024.,296175,https://www.njuskalo.hr/nekretnine/varazdin-jezgra-luksuzan-3-sobni-stan-118-m2-podrum-tavan-oglas-42900934
