Date,Price,Url
10.05.2024.,195000,https://www.njuskalo.hr/nekretnine/dalmacija-privlaka-novogradnja-prizemlju-vrtom-oglas-43411588
09.05.2024.,47000,https://www.njuskalo.hr/nekretnine/trosoban-stan-borovo-naselje-oglas-40065661
09.05.2024.,212900,https://www.njuskalo.hr/nekretnine/zadar-privlaka-moderan-stan-novogradnja-oglas-41309343
09.05.2024.,141000,https://www.njuskalo.hr/nekretnine/prodajem-stan-76.92-m2-strogi-centar-grada-oglas-41370924
09.05.2024.,62000,https://www.njuskalo.hr/nekretnine/stan-centru-grada-pjesacka-zona-prodaja-oglas-34403995
09.05.2024.,51000,https://www.njuskalo.hr/nekretnine/zupanja-trosoban-stan-73.58-m2-oglas-37403108
09.05.2024.,98000,https://www.njuskalo.hr/nekretnine/vinkovci-stan-58-m2-centar-oglas-42145504
09.05.2024.,49000,https://www.njuskalo.hr/nekretnine/vinkovci-centar-dvorisni-stan-oglas-40906948
09.05.2024.,195000,https://www.njuskalo.hr/nekretnine/predivan-luksuzan-dvoetazni-stan-vinkovci-220-m2-prodaja-oglas-34403997
09.05.2024.,44000,https://www.njuskalo.hr/nekretnine/vrbanja-stan-centru-60-m-oglas-40420394
07.05.2024.,64000,https://www.njuskalo.hr/nekretnine/vinkovci-dvorisni-stan-oglas-40482692
07.05.2024.,57500,https://www.njuskalo.hr/nekretnine/132-vukovar-kresimira-cosica-10-odlican-dvoetazni-stan-56.24-m2-p-oglas-43677938
07.05.2024.,53000,https://www.njuskalo.hr/nekretnine/126-vukovar-olajnica-17-25-stan-44.20-m2-4-kat-bez-lifta-zatvoreno-oglas-41481257
06.05.2024.,178350,https://www.njuskalo.hr/nekretnine/sta-centru-vukovara-122.00-m2-oglas-40003733
06.05.2024.,145286,https://www.njuskalo.hr/nekretnine/stan-vukovar-89.00-m2-oglas-39995112
06.05.2024.,152210,https://www.njuskalo.hr/nekretnine/stan-centru-vukovara-oglas-40003601
03.05.2024.,93000,https://www.njuskalo.hr/nekretnine/stan-zupanja-centar-93.77-m2-prodaja-oglas-41681794
03.05.2024.,98000,https://www.njuskalo.hr/nekretnine/ekskluzivno-stan-odlicnoj-lokaciji-centru-grada-oglas-41109319
03.05.2024.,55433,https://www.njuskalo.hr/nekretnine/131-vukovar-ul-domovinskog-rata-54-20-odlican-stan-58.35-m2-6-kat-oglas-43406742
02.05.2024.,319320,https://www.njuskalo.hr/nekretnine/apartman-novoj-zgradi-70-m-mora-oglas-43224586
01.05.2024.,45000,https://www.njuskalo.hr/nekretnine/vukovar-zupanijska-ulica-1-sobni-stan-33m2-prodajemo-oglas-43599715
30.04.2024.,100000,https://www.njuskalo.hr/nekretnine/prodaja-stana-vinkovci-88.00-m2-oglas-42535582
30.04.2024.,189000,https://www.njuskalo.hr/nekretnine/privlaka-prizemlje-pogledom-zalazak-sunca-oglas-43356143
30.04.2024.,185000,https://www.njuskalo.hr/nekretnine/privlaka-prizemlje-pogledom-zalazak-sunca-oglas-43356142
30.04.2024.,330000,https://www.njuskalo.hr/nekretnine/privlaka-zadar-penthouse-pogledom-oglas-43356135
29.04.2024.,60000,https://www.njuskalo.hr/nekretnine/130-vukovar-vijenac-k-branimira-5-8-odlican-stan-62.35-m2-4-kat-zgra-oglas-43350111
29.04.2024.,65000,https://www.njuskalo.hr/nekretnine/90-vukovar-j-j-strossmayera-5b-23-stan-68-m2-3-kat-zgradi-bez-li-oglas-35378017
27.04.2024.,113000,https://www.njuskalo.hr/nekretnine/prodajem-namjesten-trosoban-stan-zupanji-65-m-oglas-38251853
24.04.2024.,265000,https://www.njuskalo.hr/nekretnine/stan-vinkovci-180.00-m2-oglas-43095525
23.04.2024.,98000,https://www.njuskalo.hr/nekretnine/stan-vinkovci-centar-anina-ulica-257.00-m2-oglas-42052884
22.04.2024.,93000,https://www.njuskalo.hr/nekretnine/stan-zupanja-centar-93.00-m2-oglas-43100253
22.04.2024.,99900,https://www.njuskalo.hr/nekretnine/prodaja-stana-vinkovci-centar-oglas-42830408
20.04.2024.,60000,https://www.njuskalo.hr/nekretnine/stan-zupanja-65.00-m2-oglas-43519893
19.04.2024.,102000,https://www.njuskalo.hr/nekretnine/stan-vinkovci-centar-3-sobni-91-m2-4-m2-spremiste-oglas-37072596
17.04.2024.,117620,https://www.njuskalo.hr/nekretnine/dvoetazni-trosoban-stan-pogledom-dunav-76.50-m2-vukovar-oglas-43466818
17.04.2024.,67000,https://www.njuskalo.hr/nekretnine/trosoban-stan-borovom-naselju-64.71-m2-oglas-43466816
11.04.2024.,95000,https://www.njuskalo.hr/nekretnine/stan-zupanja-63.00-m2-oglas-43201226
09.04.2024.,79000,https://www.njuskalo.hr/nekretnine/stan-vinkovcima-59m2-visoko-prizemlje-lapovci-oglas-41785432
09.04.2024.,1900,https://www.njuskalo.hr/nekretnine/stan-zupanja-10.00-m2-novogradnja-oglas-43202585
06.04.2024.,75000,https://www.njuskalo.hr/nekretnine/prodajem-stan-vinkovcima-oglas-39726581
05.04.2024.,127000,https://www.njuskalo.hr/nekretnine/moderan-novoopremljen-stan-centru-vinkovaca-86.34-m2-oglas-43349710
05.04.2024.,110000,https://www.njuskalo.hr/nekretnine/stan-vukovar-88.50-m2-oglas-43316347
02.04.2024.,1800,https://www.njuskalo.hr/nekretnine/dvosoban-stan-1-kat-novogradnja-zupanja-oglas-42478054
02.04.2024.,1800,https://www.njuskalo.hr/nekretnine/trosoban-stan-1-kat-novogradnja-zupanja-oglas-42477937
02.04.2024.,1800,https://www.njuskalo.hr/nekretnine/dvosoban-stan-1-kat-novogradnja-zupanja-oglas-42477910
02.04.2024.,1800,https://www.njuskalo.hr/nekretnine/stan-zupanja-64.35-m2-novogradnja-oglas-42477871
29.03.2024.,114256,https://www.njuskalo.hr/nekretnine/stan-vinkovci-53.00-m2-novogradnja-oglas-38459883
22.03.2024.,49600,https://www.njuskalo.hr/nekretnine/stan-borovo-56.44-m2-oglas-43240126
17.03.2024.,69900,https://www.njuskalo.hr/nekretnine/stan-vukovar-58.00-m2-novogradnja-oglas-43186571
14.03.2024.,50000,https://www.njuskalo.hr/nekretnine/stan-vinkovci-38-m2-oglas-43164323
12.02.2024.,114000,https://www.njuskalo.hr/nekretnine/stan-76.5m2-centru-vukovara-dunav-oglas-42860239
08.02.2024.,78000,https://www.njuskalo.hr/nekretnine/stan-vukovar-79.90-m2-oglas-42809680
