Date,Price,Url
12.05.2024.,135000,https://www.njuskalo.hr/nekretnine/stan-zadar-34.00-m2-oglas-43709287
08.05.2024.,237480,https://www.njuskalo.hr/nekretnine/visnjik-dvosoban-stan-79m2-vrtom-oglas-43104102
07.05.2024.,520000,https://www.njuskalo.hr/nekretnine/kalelarga-lux-namjesten-novoureden-stan-80-m2-top-oglas-43675779
03.05.2024.,277000,https://www.njuskalo.hr/nekretnine/stan-s1-a-mandre-105.00-m2-novogradnja-oglas-43638024
03.05.2024.,255000,https://www.njuskalo.hr/nekretnine/stan-zadar-95.00-m2-vidikovac-novogradnja-oglas-41771628
09.04.2024.,515075,https://www.njuskalo.hr/nekretnine/stan-marina-project-zadar-100.00-m2-oglas-39420855
13.05.2024.,228000,https://www.njuskalo.hr/nekretnine/stan-zadar-prekrasan-pogled-oglas-43403468
13.05.2024.,463500,https://www.njuskalo.hr/nekretnine/stan-zadar-poluotok-oglas-43264513
13.05.2024.,190000,https://www.njuskalo.hr/nekretnine/stan-biograd-moru-mirna-lokacija-blizina-mora-oglas-43151057
13.05.2024.,222000,https://www.njuskalo.hr/nekretnine/stan-vir-blizina-mora-oglas-43272767
12.05.2024.,206444,https://www.njuskalo.hr/nekretnine/stan-dvije-spavace-sobe-zadar-bokanjac-novogradnja-oglas-43281174
12.05.2024.,210990,https://www.njuskalo.hr/nekretnine/jednosoban-stan-prizemlju-zadar-vidikovac-novogradnja-oglas-43545744
12.05.2024.,100000,https://www.njuskalo.hr/nekretnine/manji-jednosoban-stan-zadar-relja-odlicna-lokacija-oglas-43281246
12.05.2024.,206444,https://www.njuskalo.hr/nekretnine/stan-dvije-spavace-sobe-zadar-bokanjac-novogradnja-oglas-43281172
12.05.2024.,246960,https://www.njuskalo.hr/nekretnine/stan-2-katu-dvije-spavace-sobe-zadar-crvene-kuce-novogradnja-oglas-43281253
12.05.2024.,200000,https://www.njuskalo.hr/nekretnine/stan-zadar-skrocini-pogled-more-novogradnja-oglas-43281146
