Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors
350000,122,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Jednoetažni
410000,200,Splitsko-dalmatinska,Dugi Rat,Dugi Rat,5+ sobni,U stambenoj zgradi,Dvoetažni
1500000,315,Splitsko-dalmatinska,Split,Grad,5+ sobni,U stambenoj zgradi,Dvoetažni
220000,97,Splitsko-dalmatinska,Trogir,Miševac,2-sobni,U stambenoj zgradi,Jednoetažni
270270,69,Splitsko-dalmatinska,Split - Okolica,Slatine,1-sobni,U stambenoj zgradi,Jednoetažni
250000,110,Splitsko-dalmatinska,Trogir,Trogir,3-sobni,U stambenoj zgradi,Jednoetažni
240000,90,Splitsko-dalmatinska,Trogir,Trogir,3-sobni,U stambenoj zgradi,Jednoetažni
274000,90,Splitsko-dalmatinska,Trogir,Trogir,3-sobni,U stambenoj zgradi,Jednoetažni
267020,76,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
206350,58,Splitsko-dalmatinska,Seget,Seget Donji,1-sobni,U stambenoj zgradi,Jednoetažni
314710,89,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
171595,47,Splitsko-dalmatinska,Seget,Seget Donji,1-sobni,U stambenoj zgradi,Jednoetažni
265546,75,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
266954,76,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
176595,47,Splitsko-dalmatinska,Seget,Seget Donji,1-sobni,U stambenoj zgradi,Jednoetažni
180000,92,Splitsko-dalmatinska,Okrug,Okrug Gornji,4-sobni,U stambenoj zgradi,Jednoetažni
376400,117,Splitsko-dalmatinska,Marina,Marina,3-sobni,U stambenoj zgradi,Jednoetažni
355000,114,Splitsko-dalmatinska,Marina,Marina,3-sobni,U stambenoj zgradi,Jednoetažni
295000,122,Splitsko-dalmatinska,Split,Sućidar,3-sobni,U kući,Jednoetažni
345000,135,Splitsko-dalmatinska,Kaštela,Kaštel Lukšić,4-sobni,U stambenoj zgradi,Dvoetažni
460000,230,Splitsko-dalmatinska,Kaštela,Kaštel Gomilica,3-sobni,U stambenoj zgradi,Jednoetažni
420000,130,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Jednoetažni
195000,65,Splitsko-dalmatinska,Okrug,Okrug Gornji,1-sobni,U stambenoj zgradi,Jednoetažni
292882,82,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
263193,76,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
202268,56,Splitsko-dalmatinska,Seget,Seget Donji,1-sobni,U stambenoj zgradi,Jednoetažni
274544,76,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
269286,75,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
349000,100,Splitsko-dalmatinska,Split - Okolica,Slatine,3-sobni,U stambenoj zgradi,Jednoetažni
270000,90,Splitsko-dalmatinska,Split,Škrape,2-sobni,U kući,Jednoetažni
320000,134,Splitsko-dalmatinska,Trogir,Trogir,4-sobni,U stambenoj zgradi,Jednoetažni
270000,124,Splitsko-dalmatinska,Okrug,Okrug Gornji,4-sobni,U stambenoj zgradi,Jednoetažni
150000,80,Splitsko-dalmatinska,Kaštela,Kaštel Sućurac,2-sobni,U kući,Jednoetažni
420000,100,Splitsko-dalmatinska,Kaštela,Kaštel Gomilica,3-sobni,U kući,Jednoetažni
305895,89,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
250000,230,Splitsko-dalmatinska,Trogir - Okolica,Mastrinka,5+ sobni,U stambenoj zgradi,Dvoetažni
195000,78,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
222000,78,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
190029,54,Splitsko-dalmatinska,Seget,Seget Donji,1-sobni,U stambenoj zgradi,Jednoetažni
350000,99,Splitsko-dalmatinska,Seget,Seget Vranjica,3-sobni,U stambenoj zgradi,Jednoetažni
260000,100,Splitsko-dalmatinska,Seget,Seget Vranjica,3-sobni,U stambenoj zgradi,Jednoetažni
210000,83,Splitsko-dalmatinska,Okrug,Okrug Gornji,2-sobni,U stambenoj zgradi,Jednoetažni
